unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00261,67.7,0.01674,0.04186,*
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.69277,64.5,0.0695,0.1097,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.57134,58.1,0.03648,0.07134,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,0.02313,48.4,0.3658,0.439,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04511,54.8,0.1341,0.1829,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,0.00022,48.4,0.6857,0.6857,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.99132,62.9,0.01177,0.0392,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-1.0241,66.1,0.00141,0.02017,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.04236,62.9,0.006406,0.02746,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.02665,58.1,0.03805,0.07134,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00234,61.3,0.04887,0.08145,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-1.11766,71,0.006235,0.02746,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.73807,61.3,0.01307,0.0392,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.02313,48.4,0.3957,0.4566,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.01023,51.6,0.2025,0.2531,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00015,51.6,0.5996,0.6203,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.44729,59.7,0.07835,0.1175,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.9595,64.5,0.00269,0.02017,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.05556,62.9,0.004939,0.02746,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.0296,59.7,0.0221,0.051,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00142,58.1,0.1031,0.1473,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-1.11766,71,0.01674,0.04186,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.73807,64.5,0.01242,0.0392,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.02594,41.9,0.4805,0.5297,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.02997,54.8,0.1428,0.1862,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00069,53.2,0.4944,0.5297,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.38702,59.7,0.04829,0.08145,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.89968,62.9,0.002466,0.02017,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.0579,66.1,0.002413,0.02017,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.02889,58.1,0.03061,0.06558,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00122,55.7,0.2893,0.3214,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.94709,64.8,0.002811,0.01406,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.89968,64.8,0.0001917,0.003833,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.0341,59.1,0.007422,0.02724,*
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.0296,58,0.01226,0.02724,*
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00019,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.96875,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,0.20198,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.02313,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.14521,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00089,53.5,0.3734,0.393,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.74811,62.8,0.01026,0.02724,*
