response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0378,0.0395,-4.72,55.4,0.1437,0.2972, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0377,0.039,-6.1,58.9,0.08644,0.1995, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0335,0.0327,-3.88,58,0.07681,0.1995, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0329,0.0334,-4.26,56.2,0.1579,0.3057, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0377,0.0379,-2.99,56.2,0.1776,0.3229, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.037,0.038,-3.4,56.2,0.03865,0.116, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0319,0.0327,-2.24,54.5,0.3731,0.4866, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0341,0.0334,1.83,48.2,0.3632,0.4843, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0266,0.0271,-1.12,54.5,0.2128,0.3359, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0259,0.0276,0.54,47.3,0.5946,0.6198, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0249,0.0253,-1.64,52.7,0.393,0.4913, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0247,0.0249,-0.69,52.7,0.3481,0.4776, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.9732,4.9655,-12.44,62.5,7.272e-05,0.0004363,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,6.0673,5.1188,-16.68,67,3.96e-05,0.0003351,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.0156,4.849,-11.83,67.9,4.469e-05,0.0003351,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.3262,4.7287,-13.83,66.1,1.427e-05,0.0003351,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.5735,5.1659,-15.89,62.5,9.283e-05,0.0005031,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.8523,5.031,-16.9,66.1,0.0001006,0.0005031,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.3243,4.8098,-11.18,67.9,3.637e-05,0.0003351,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.1571,4.6789,-14.6,67,1.445e-05,0.0003351,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.4456,3.575,1.53,46.4,0.556,0.6065, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.6941,3.6088,-1.98,57.1,0.2119,0.3359, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.4856,3.4709,-0.62,51.8,0.3863,0.4913, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2567,3.4566,-0.62,53.6,0.2991,0.4377, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.9086,4.5274,-19.07,64.3,2.643e-05,0.0003351,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.9161,4.7005,-22.09,65.2,3.593e-05,0.0003351,***
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.5795,4.3517,-12.89,65.2,0.0001338,0.0006174,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.5672,4.4402,-14.89,67,0.0001711,0.0006845,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.9194,4.688,-18.19,61.6,0.0001601,0.0006845,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.4875,4.3966,-13.95,62.5,0.000354,0.001327,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.596,4.5184,-16.03,67,4.157e-05,0.0003351,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.5928,4.3685,-15.49,64.3,6.023e-05,0.0004015,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.9899,2.7658,-1.15,50.9,0.2901,0.4352, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,2.9863,2.99,-2.1,54.5,0.1565,0.3057, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.6613,2.6146,0.31,49.1,0.4983,0.5749, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.6709,2.6367,-1.04,54.5,0.6137,0.6241, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7025,0.6763,-9.69,56.2,0.02796,0.08828, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7343,0.6664,-6.94,56.2,0.09016,0.2003, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7358,0.667,-2.18,50.9,0.2119,0.3359, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.6994,0.6749,-4.58,55.4,0.3502,0.4776, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7775,0.6318,-6.53,58,0.01246,0.04153,*
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7255,0.741,-7.32,57.1,0.05309,0.1517, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.7313,0.7253,-3.3,52.7,0.262,0.4031, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.6975,0.6943,-5.96,55.4,0.06878,0.1876, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4762,0.5044,1.01,48.2,0.5491,0.6065, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4741,0.4809,-3.14,57.1,0.1899,0.3296, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4466,0.4608,0.52,49.1,0.7437,0.7437, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4606,0.474,-0.08,50,0.4189,0.513, ns
