unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00144,54.1,0.4282,0.5031,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.35435,56.8,0.03752,0.08659,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.96808,62.2,0.003623,0.01391,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.14411,64.9,0.07168,0.1366,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.02059,48.6,0.56,0.6222,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00198,56,0.1276,0.2126,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.79026,65.3,0.0003595,0.005307,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.81589,65.3,0.001413,0.008673,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.01203,52,0.1088,0.192,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.00039,50.7,0.436,0.5031,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00144,51.4,0.3643,0.4554,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.36332,56.8,0.005164,0.01408,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.4901,70.3,0.0005031,0.005307,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01203,56.8,0.1489,0.2352,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.0517,59.5,0.1991,0.2844,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00194,57.3,0.1611,0.2416,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.7196,65.3,0.001735,0.008673,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.68446,61.3,0.003983,0.01391,*
