response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0391,0.0393,1.92,44.6,0.7326,0.8454, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0364,0.0423,1.98,41.5,0.8841,0.9645, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0353,0.0371,0.26,47.7,0.6926,0.8361, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0345,0.037,4.05,40,0.9229,0.9714, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0388,0.0408,3.28,43.1,0.9687,0.997, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0394,0.0422,4.96,40,0.9814,0.997, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0325,0.0372,2.94,44.6,0.9119,0.9714, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.034,0.0359,3.67,46.2,0.7537,0.8532, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.026,0.026,0.21,47.7,0.633,0.8361, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0267,0.0259,0.35,49.2,0.4739,0.7483, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0268,0.0242,0.56,47.7,0.4248,0.7327, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0259,0.0252,-0.13,52.3,0.2652,0.6365, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7234,4.8738,1.78,49.2,0.3869,0.7327, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.7862,4.7376,0.59,49.2,0.4739,0.7483, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.0237,4.746,-3.69,60,0.2442,0.6365, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.3444,5.2321,-3.5,55.4,0.2826,0.6478, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.2655,4.8557,-6.32,52.3,0.2341,0.6365, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.2027,4.6951,-3.46,53.8,0.1464,0.5775, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,4.8525,4.9588,0.72,49.2,0.5364,0.785, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.9955,4.7588,-1.64,52.3,0.3645,0.7327, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,4.0289,3.8938,0.67,44.6,0.7107,0.8361, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.8117,3.8856,7.6,30.8,0.997,0.997, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.7939,3.7552,-2.1,55.4,0.3969,0.7327, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.7425,3.8084,1.94,44.6,0.6833,0.8361, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4318,4.914,-2.89,56.9,0.2652,0.6365, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4967,5.2908,-3.01,52.3,0.4922,0.7572, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,5.0498,4.3711,-6.08,55.4,0.09232,0.5036, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.796,4.5868,-3.04,63.1,0.02312,0.398, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.5223,4.834,-6.79,60,0.154,0.5775, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.6931,4.952,1.27,47.7,0.4274,0.7327, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,5.0797,4.3659,-5.83,53.8,0.05185,0.4444, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.6225,4.4376,-3.9,55.4,0.07434,0.5036, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.5613,3.6776,-1.94,55.4,0.2567,0.6365, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.2385,3.335,0.43,49.2,0.5623,0.7882, ns
