unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00121,40.9,0.5388,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,0.06099,45.5,0.4228,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.81787,63.6,0.2085,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01357,45.5,0.7625,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01617,54.5,0.6983,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-0.00163,61.9,0.3511,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.36903,61.9,0.2545,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,0.04809,47.6,0.7109,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.02845,57.1,0.2773,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.00524,52.4,0.7778,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00181,31.8,0.9136,0.9136,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.26316,40.9,0.7419,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.19063,59.1,0.2795,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,-0.00327,50,0.5772,0.7954,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.01175,45.5,0.3484,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00185,40.9,0.5645,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,0.06099,45.5,0.4871,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.23552,50,0.4871,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.02478,54.5,0.4741,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01224,54.5,0.7205,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00046,47.6,0.7455,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,-0.12945,57.1,0.3772,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.16392,57.1,0.5139,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.01143,52.4,0.3511,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,-0.03123,61.9,0.5139,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,6e-04,45.5,0.5645,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,0.12033,45.5,0.4741,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.46468,63.6,0.1148,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.01826,45.5,0.7205,0.7954,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,0.01605,36.4,0.7095,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00121,40.9,0.5645,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.31358,50,0.3851,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.69421,54.5,0.3851,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.02478,54.5,0.3727,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.01224,54.5,0.7313,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,21,0.00167,47.6,0.7109,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,21,-0.02546,52.4,0.4585,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,21,-0.16392,61.9,0.431,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,21,-0.01732,52.4,0.3641,0.7954,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,21,-0.02923,57.1,0.5277,0.7954,ns
