unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00121,40.9,0.5388,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,0.06099,45.5,0.4228,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.81787,63.6,0.2085,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01357,45.5,0.7625,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01617,54.5,0.6983,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,9e-04,46.5,0.7409,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.02546,51.2,0.4639,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.04309,53.5,0.4783,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.02183,53.5,0.3699,0.7625,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.00962,48.8,0.5837,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00185,40.9,0.5645,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,0.06099,45.5,0.4871,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.23552,50,0.4871,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.02478,54.5,0.4741,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01224,54.5,0.7205,0.7625,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00046,46.5,0.7086,0.7625,ns
