response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0385,0.0389,-4.8,54.8,0.06128,0.1226, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0356,0.0394,-0.35,51.6,0.4121,0.4945, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0342,0.0345,-0.46,52.7,0.6378,0.715, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0347,0.0334,4.43,39.8,0.9479,0.9479, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0371,0.0386,-0.82,52.7,0.2061,0.2876, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0401,0.039,-0.68,52.7,0.7108,0.7754, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0349,0.0338,-0.47,50.5,0.6435,0.715, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0328,0.0349,2.14,43,0.945,0.9479, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0262,0.0252,1.56,48.4,0.5503,0.635, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0259,0.027,3.62,44.1,0.7805,0.8363, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0255,0.0263,4.14,44.1,0.8423,0.8866, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0255,0.0267,4.09,40.9,0.9401,0.9479, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.5699,5.3045,-10.44,61.3,0.0004851,0.002239,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.3413,5.4419,-13.25,65.6,0.0003339,0.001821,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.7722,5.3359,-11.94,64.5,6.774e-05,0.0006774,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.8365,5.1201,-12.5,67.7,3.322e-05,0.0004321,***
GPPsat,Anomaly / 24m,C vs C+D,93,6.4689,5.2986,-10.69,65.6,0.0001512,0.001082,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.2747,5.659,-7.59,65.6,0.0009076,0.00363,**
