unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00426,61.3,0.01757,0.0503,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.16444,58.1,0.1218,0.203,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-1.12612,74.2,0.006959,0.0232,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.01251,51.6,0.2558,0.3069,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.01318,54.8,0.166,0.249,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00117,51.6,0.3551,0.3805,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.71515,62.9,0.0007287,0.006139,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-1.21637,71,0.000107,0.003211,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.02046,51.6,0.09374,0.1654,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,0.00328,48.4,0.1923,0.2509,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00302,64.5,0.01844,0.0503,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.53754,58.1,0.05512,0.1102,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-1.33963,77.4,0.001593,0.006825,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.10938,48.4,0.5117,0.5117,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.00922,51.6,0.1916,0.2509,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00014,50,0.3499,0.3805,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.49711,62.9,0.002115,0.00793,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-1.16461,69.4,0.0005169,0.006139,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.02468,53.2,0.049,0.105,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.00331,50,0.1923,0.2509,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00202,61.3,0.04692,0.105,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.59273,54.8,0.06692,0.1255,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-1.74405,80.6,0.0008871,0.006139,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.10938,45.2,0.4883,0.5051,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.00922,51.6,0.275,0.3173,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00151,51.6,0.2549,0.3069,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.48269,64.5,0.001042,0.006139,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-1.16461,67.7,0.001228,0.006139,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.02468,54.8,0.04292,0.105,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.00331,50,0.134,0.2116,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00189,54.5,0.1063,0.1631,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.57955,63.6,0.000201,0.001005,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-1.22423,71.6,1.087e-05,0.0002106,***
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.02468,53.4,0.03696,0.1056,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.00331,50,0.1142,0.1631,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,-0.00741,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,1.08579,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,-0.73537,80,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.13744,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,-0.00922,60,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.00215,55.8,0.07642,0.1389,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.55196,62.8,0.0004298,0.001719,**
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-1.21637,70.9,2.54e-05,0.0002106,***
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,86,-0.01367,52.3,0.07397,0.1389,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,86,0.00328,48.8,0.1507,0.1773,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,1e-05,42.9,0.3363,0.354,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.492,42.9,0.2771,0.3078,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-1.12612,85.7,0.05416,0.1204,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.11081,42.9,0.5337,0.5337,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.10815,71.4,0.1359,0.1773,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,88,-0.00258,56.8,0.05166,0.1204,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,88,-0.48269,61.4,0.0007234,0.002411,**
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,88,-1.20386,70.5,3.158e-05,0.0002106,***
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,88,-0.00944,51.1,0.111,0.1631,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,88,0.00328,48.9,0.142,0.1773,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,0.00191,20,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-2.20137,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-2.83195,100,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.10486,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.10815,80,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,-0.00364,60,0.08076,0.1824,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.21088,60,0.1125,0.1875,ns
