trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.67594102,0.8821047920345414,0.4756717840482361,1.5906494070018073,0.07693921970265623,28,1000,60
1,0.65951231,0.5710008812490917,0.9112176178485398,0.12008374830927636,0.04289221164660345,7,700,45
2,0.66027986,0.6225530262377614,0.9135697711435096,17.36081305849726,0.02186503611141275,34,400,50
3,0.67508032,0.5685807023749128,0.3958133908204393,0.9698175408231383,0.11118284378493451,17,700,32
4,0.72112912,0.7107738236501319,0.5752217971131951,0.02304646135800146,0.25265733939916096,33,400,26
5,0.64730844,0.8055227851286857,0.8341067299874203,0.020822794318856495,0.024624025631999856,2,800,12
6,0.65373752,0.8429382925190632,0.7880213549774093,2.1432040910750114,0.010467562133266025,13,1000,25
7,0.69038154,0.8142730924245569,0.7097452913509437,1.0086666886662825,0.17683962591831098,16,400,10
8,0.71841771,0.7316616023016904,0.536750715194465,3.2860678636004637,0.19909620254463953,37,500,14
9,0.70389225,0.5283913482115692,0.23357318549448236,0.08648935388423974,0.14483877683395194,26,1000,56
10,0.67252770,0.8591728354708955,0.3085154662681413,0.0018640839403666362,0.013685341233354513,33,1000,50
11,0.65017095,0.5312741273559736,0.9211521092392858,0.22028281341869507,0.011883918867231965,17,700,18
12,0.65540242,0.5243423163864425,0.43751813818136,1.470452687225271,0.0979082800494188,18,800,5
13,0.67577722,0.9170539156492049,0.3283722927295937,0.22797534374987555,0.09602947893618183,17,200,49
14,0.65104553,0.5126826038265182,0.8387630437906188,2.8352438933683684,0.035520246949657476,14,400,20
15,0.67783897,0.9976697730966207,0.9822285354718556,0.002042251954385672,0.04032483705910002,7,100,3
16,0.67656745,0.6932071284364224,0.9402992124493186,0.00437149657368975,0.03726422549057953,4,700,2
17,0.67663484,0.646900147676212,0.7730850111203929,45.90677752043343,0.04591791406051831,3,800,21
18,0.65369174,0.6719252414815967,0.8117273664916469,0.014305738169573028,0.011121778145169813,4,700,22
19,0.65772845,0.7887922891340675,0.7990707831642385,0.01759901801611841,0.013828245962747067,10,800,21
20,0.65180274,0.6447901814212809,0.7823165854803497,0.01595533687173778,0.01027263921315091,11,800,20
21,0.65913445,0.7892751281667599,0.7853060113846442,0.015085512734835582,0.010829860874373208,2,800,35
22,0.66136955,0.7749283733686219,0.6995093708329791,0.015788000614137536,0.01983615295269779,3,800,36
23,0.65569760,0.7821333952310107,0.6547236207365328,0.031706075330838336,0.01940045428635944,22,600,36
24,0.65724195,0.7785230115117452,0.6538354263817875,0.015107860905461252,0.019004322164183886,22,600,33
25,0.66968541,0.983889439887867,0.667403518694348,0.2930865580250382,0.021498278328948416,22,600,36
26,0.65578519,0.5053834037043994,0.8557441651466319,0.32120754079147606,0.02691536649651936,22,300,13
27,0.65985023,0.5014550193691536,0.8729927111749045,6.520666126221228,0.02586562677632449,23,500,13
28,0.66290573,0.5091784503203483,0.8454068521999402,0.37414991031958306,0.026687896976381322,23,300,13
29,0.66326272,0.5793467776181325,0.9976488793978175,4.9839112274279085,0.05936562316265431,13,900,16
30,0.65147133,0.6074979935060545,0.6918237421931266,5.88458432009179,0.06275045499034217,13,900,8
31,0.65418222,0.5826875690896115,0.9770459053546499,0.06049386339611574,0.05635060655413955,13,900,7
32,0.65657571,0.5739192266550308,0.9939097224026883,0.05672456912232376,0.062477466238801634,13,900,7
33,0.65521090,0.5651388075947077,0.997326878413344,0.0055041585071538175,0.015502766085478065,8,900,17
34,0.65658710,0.9056115269496365,0.9972459210459909,0.6366657331948713,0.014668296633810057,29,900,18
35,0.66925463,0.8947192290786082,0.7170222925069456,0.007138086772356743,0.03315268003220752,28,100,17
36,0.65682257,0.6100529090553254,0.7191626905336923,17.478730283950892,0.03194377734926101,9,900,18
37,0.66928632,0.5437075607030364,0.8925385772382975,12.515143077459719,0.0769889485871971,8,900,27
38,0.66449140,0.5471416628753321,0.8978881793954457,9.78746631405734,0.07635562527196202,8,900,26
39,0.66348032,0.6046611428933788,0.9083902650207596,25.896429097540686,0.07629410844658376,19,700,28
40,0.66475313,0.5486523021800268,0.8792053404845788,11.4911613816684,0.07511454685545076,8,700,28
41,0.66971394,0.5493275959283446,0.9224806456892474,10.188006993557748,0.07481947887245767,15,500,29
42,0.65618655,0.5323225013868251,0.5876402935722269,8.314083950274194,0.04942749455126466,7,500,8
43,0.65470513,0.5504578627967224,0.5926586061530014,8.63262366531224,0.046992331294950014,15,500,9
44,0.65821263,0.742192883169964,0.5832587696131695,2.185887718876292,0.04757185926412734,16,500,10
45,0.65383883,0.7293875635603898,0.5934133881779876,2.7379273074281287,0.04677334782528377,16,500,9
46,0.65727132,0.6510543792861629,0.6210358637170972,0.13787578905311315,0.012346642168232209,10,1000,9
47,0.66065086,0.6378280211916657,0.7487161884276409,2.5346789148813538,0.012164201902805049,10,1000,23
48,0.66274757,0.6434036350495358,0.756524711806895,2.4903923614177503,0.017027020879784256,10,1000,23
49,0.65528481,0.739022588315506,0.755405238672332,0.13436369886307414,0.016870526881694665,11,1000,11
