trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.64194018,0.734427917282488,0.9759263894151997,8.470932059821171,0.012931842673177476,22,300,9
1,0.66095586,0.8881676123525486,0.7627833862785447,3.371798599058671,0.07796401550383683,7,500,30
2,0.63870909,0.8674770150089701,0.8330790714028884,1.6951167829397584,0.027615361738381628,8,200,14
3,0.64006401,0.7063599955730758,0.5249950063069886,0.00908074766557172,0.03707174645077945,13,300,51
4,0.66748822,0.726190278470923,0.7564525116895486,0.5257211666606464,0.06612513289509207,33,600,35
5,0.65741354,0.9175679090069058,0.8389310602809379,0.06367833744285885,0.15258349095181772,12,1000,45
6,0.64177170,0.8043503177297784,0.9157478963190069,0.01572142875528944,0.038543229544527435,11,100,23
7,0.67142068,0.5217250699230531,0.7991295824722222,0.04135845235137366,0.06837504610963129,32,500,38
8,0.68522974,0.6957396375440135,0.6077028169580243,12.640301243283146,0.27042312920629635,8,600,29
9,0.63799740,0.8441957177460329,0.6503445513082046,0.003823833134078395,0.018624217710499665,14,800,23
10,0.69215983,0.9397237795042583,0.8397483470181004,0.04179944749129182,0.015116322440805791,8,100,58
11,0.70453937,0.5727165854481433,0.8755489187305345,0.6761663988116563,0.28205072324524294,27,700,11
12,0.65669556,0.5321855251392369,0.27330152721113743,2.3365911300599382,0.04384454574177567,22,700,22
13,0.69063030,0.9351350115144818,0.395255798582245,44.74806725463528,0.019303088442151898,35,200,14
14,0.66336645,0.8125716452642856,0.8549556650296866,4.81397135840844,0.10347171195946663,31,1000,34
15,0.73905328,0.997035327168764,0.5991533286926611,0.001221981778367829,0.2633265351914711,2,1000,2
16,0.67135445,0.8437086044141104,0.5634916173731539,0.0037304772199143483,0.03068958061764121,2,400,61
17,0.65094190,0.8502366227967093,0.6538312461755265,0.0030894262047434814,0.02443026317155286,3,1000,4
18,0.66473820,0.835045414497274,0.6405117015571647,0.004097776264952494,0.026181948649223283,2,1000,3
19,0.64024200,0.8355723090292677,0.6490008830853662,0.0012238120971070526,0.02362707714651676,16,1000,44
20,0.63847283,0.807298893755871,0.47515987921216707,0.15628305772919068,0.011408574133377944,16,900,19
21,0.63977783,0.78561155553458,0.442565481980506,0.19350648350374824,0.010327855279962246,17,800,20
22,0.63601641,0.776700168747996,0.4951160308637145,0.12590744300540935,0.010155471077377794,17,800,19
23,0.63358608,0.6317325322730133,0.4695984017082815,0.21178849640976227,0.01145601854300218,16,800,18
24,0.65076943,0.6156627630741693,0.7273257725179003,0.18951675691035358,0.025668875906836232,40,400,16
25,0.64512831,0.6532384285680944,0.2503106195193404,0.08120766623417235,0.015487311216102707,19,800,19
26,0.63866471,0.7675701642228735,0.5020485045071814,1.0260560014823572,0.010281644555202012,18,800,25
27,0.63891953,0.7683661902977866,0.4718826486052043,0.17109760313668132,0.010002349169954483,18,800,27
28,0.63714843,0.772576029136149,0.485027434547517,0.15003858975932108,0.010164130810278815,20,800,27
29,0.64301278,0.6472549656534011,0.3260488318291888,0.6559372124881137,0.016195299497838805,21,800,26
30,0.64783021,0.767041557389879,0.3486219246631563,0.017501860829919655,0.017330780721835696,22,800,26
31,0.63804051,0.7754827470848299,0.5423731903725795,0.012677409009290552,0.010101477653163127,25,700,9
32,0.63825390,0.7541663915656751,0.534263204010973,0.017567356679828755,0.010266118878370502,25,900,28
33,0.64402497,0.7541785964956473,0.38930651807608396,0.016374898396540303,0.012694729281410572,26,900,8
34,0.64847940,0.6698997657902426,0.3635672683455525,0.021158335650470643,0.013412556814811398,26,900,9
35,0.64176671,0.6704429531826835,0.5464616433253738,0.3597496956841678,0.013156598650281104,26,900,9
36,0.63952712,0.7369467992879167,0.40522067915280546,0.4240570813013632,0.012922037738230198,13,900,17
37,0.63241372,0.6742678871240372,0.5634345641426453,0.3682847405331223,0.013034946942299161,13,900,33
38,0.64316802,0.8919256639054353,0.7111287109887515,0.2948558468452791,0.013592007376612113,14,900,32
39,0.63362657,0.5949948585239286,0.7079272635709518,0.40402030611072287,0.019760032675522964,14,600,31
40,0.64363112,0.8987532548220648,0.7099986346664755,0.43076698229097826,0.01934444563901199,14,600,33
41,0.66871139,0.887180785430656,0.2018131564434022,0.3724920324208353,0.019573183163215224,14,600,34
42,0.63858086,0.7116742788884838,0.7081245494250794,0.08158377020628418,0.02064552260017794,11,700,17
43,0.63486869,0.5960760220819448,0.7273313397763731,0.0801972955739531,0.020722773827854136,11,700,31
44,0.63086781,0.5769501715350918,0.951582193252384,0.07520111214295298,0.021178051411512445,10,600,32
45,0.63562898,0.6028027206190284,0.7053349603538489,1.285923861565645,0.021720225285429478,10,600,45
46,0.64109955,0.576239137165905,0.4476107614075063,1.1605039101714263,0.014436599496911676,10,700,38
47,0.63660714,0.6065354645295231,0.9976322960973965,0.09099435004049845,0.02141854010061421,10,700,38
48,0.64433995,0.5980285189470103,0.944373801349725,0.07736657045551328,0.0326735628527824,10,700,39
49,0.64749720,0.607589850954051,0.7595176420755665,0.07883329835958376,0.033457703668972494,5,700,43
