trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.87775315,0.6600214538315868,0.9870360277452004,16.51221187697434,0.1387339907298927,34,500,25
1,0.86611782,0.9239700674983604,0.47548930791730665,0.004858612736852444,0.029470605041865203,11,900,51
2,0.85118976,0.6597707484496795,0.3120094534089233,0.08885823776255888,0.03861746752779993,35,100,41
3,0.83765742,0.980470587922391,0.8600580313860615,0.02009169983578252,0.017820178059564096,23,800,31
4,0.83705135,0.6287345739760087,0.9275767799174577,0.007609098327903602,0.01959702199303502,32,800,27
5,0.93812935,0.889829887891909,0.5028034075252252,0.05549530396379989,0.09550274175221679,2,300,39
6,0.89356061,0.9479647492302494,0.20278223854973093,0.009778515649372594,0.07617403486937811,22,500,13
7,0.85040062,0.9642819502546449,0.8957703675384774,2.523143373977646,0.13497032371260595,12,100,14
8,0.85402976,0.883953912016629,0.5642545158294967,1.7753974955006189,0.04236078984129083,8,400,44
9,0.84571752,0.6569726811296098,0.7995811854311163,2.591724626007816,0.06080298472723125,18,400,61
10,0.83354909,0.9791634792002688,0.9420945381845778,41.081713638539206,0.016825088010926734,18,900,37
11,0.84869125,0.8363530341063059,0.9308536568792554,0.7479679903460072,0.05382480226568953,36,300,40
12,0.87517631,0.9794723026356182,0.3401265653378631,0.010910390592782883,0.03509394362347866,9,300,18
13,0.91508759,0.9599007971791707,0.3597661156889556,0.9275848051409196,0.2935769110866468,36,600,24
14,0.92172969,0.6870716659613796,0.745948826319637,0.016021061934456283,0.2732933070103348,32,700,33
15,0.89534004,0.5561582708712633,0.7034989282703568,38.95521368874571,0.28437279577350927,27,700,7
16,0.83750611,0.5031931340565752,0.8102563762090058,0.00149981332760794,0.013259037962144572,27,900,27
17,0.83165577,0.5084806158543353,0.7167182339012755,0.0012297733195897036,0.011370718114619758,26,900,31
18,0.83948022,0.5043189938845455,0.7386499432322056,0.0014826372831703725,0.012200318382836,27,900,4
19,0.82887532,0.7692889923020216,0.7545030928856655,0.0024722040737094712,0.013343209753275064,28,900,32
20,0.83186388,0.7622785927733938,0.8460622909965347,0.13621927918990537,0.014398831430724434,27,1000,30
21,0.83920933,0.5007926170360576,0.6559243582976346,0.0015332942041133171,0.010991280691938185,29,1000,27
22,0.82505345,0.7760245564031341,0.6527351949103763,0.0023144460451094474,0.010607437208684027,16,1000,51
23,0.82893688,0.7688844805989345,0.6283274387481935,0.1696308535383042,0.010340957754859333,18,1000,52
24,0.82744697,0.7690097603723662,0.6298726416662698,0.19243982184884098,0.010149145273478676,17,1000,49
25,0.83217887,0.7802064310548398,0.6213997063825789,0.18203899490115474,0.022587902609668944,17,1000,50
26,0.82969686,0.7814484462652436,0.6585352731160828,0.2057471939221368,0.017264011939914413,18,1000,35
27,0.85983729,0.7547828689216661,0.6292622350595214,0.1534912093594904,0.02470782480519047,40,1000,20
28,0.84832043,0.7402750157071676,0.6235015750927237,0.0033254225271698522,0.023659051461549636,21,1000,52
29,0.85104713,0.7831302382473746,0.6241883804215321,0.2523579607225225,0.021450089729874014,40,1000,53
30,0.85189656,0.7697234787854369,0.5885651569487502,0.003585312432655664,0.023726672746129683,40,800,62
31,0.83123715,0.8131575559798214,0.5600399268027386,0.00352380840228644,0.02263318893279058,15,800,52
32,0.82947385,0.8200519740846792,0.5613258580000553,0.03767128182528219,0.015465812022764595,14,800,62
33,0.82769089,0.7190558863268426,0.5257484816039077,0.04351862058584881,0.014649462932138615,14,700,56
34,0.82975731,0.7176131117426854,0.48542843981213346,0.036662399223993454,0.015060413436423139,15,700,46
35,0.82892814,0.716253616810135,0.5261605803223083,0.036168914117557946,0.014269899182949644,22,700,47
36,0.82758950,0.8298347566612089,0.515314072132925,0.03500836021024767,0.010060437550209878,14,800,57
37,0.83402606,0.7140054979035025,0.4635032162389201,0.036753790433955276,0.010157918592898425,14,900,46
38,0.83623005,0.7114974526589725,0.481252907302184,0.035547122589418854,0.01356425775908028,13,700,57
39,0.87457859,0.829101560336081,0.4513343279879845,0.030268607202423005,0.013915000597194981,6,900,57
40,0.85292059,0.8184745347137234,0.7894454614160304,0.5274813561671554,0.02974512681291979,5,900,57
41,0.89557590,0.6191790926763916,0.44380598437830276,0.39583397014986244,0.029536325701555444,5,600,56
42,0.88489062,0.8562787723369276,0.398938716226756,0.6254924835108029,0.010498226727797235,5,800,57
43,0.87996780,0.8571178775474492,0.4094754845394686,0.43135692027936745,0.010410648767535863,5,600,57
44,0.90014573,0.8562593716939695,0.39045667164975123,0.37711012937631305,0.030557212479647797,4,600,57
45,0.85356248,0.8777830493382519,0.4106372817955263,0.061523815550368045,0.018174413064143573,11,600,58
46,0.85543788,0.8585754864292159,0.39554037978229245,0.00649657627752533,0.010146695638137242,10,800,43
47,0.83059523,0.9161107165604214,0.7762299399180215,0.08499600120512389,0.018266928986741832,11,800,49
48,0.82590297,0.8006383607785321,0.6742620117152947,0.007180092875483977,0.012286279676490057,20,800,43
49,0.83364249,0.8041413588449154,0.6832598397471478,0.006979396285347074,0.012305292233111803,10,900,49
