trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.66880457,29,0.5621459061660342,750,0.9618543332391915
1,0.70003838,3,0.22094469926849786,250,0.7499632721052041
2,0.65876585,3,0.8661769227504349,1250,0.8061921464888305
3,0.67126957,27,0.8057510429874541,1000,0.527701529266678
4,0.66236098,10,0.748279505176502,1500,0.703688114628179
5,0.66171435,2,0.7548240591564975,750,0.5888031895311522
6,0.72109591,30,0.17766169644121646,750,0.7184776147097368
7,0.66090833,23,0.99277048232153,750,0.7466981846380448
8,0.66453873,15,0.7795676791497166,1000,0.5625436524883769
9,0.66309180,1,0.9350860162725712,1250,0.5024668998155356
10,0.77597482,6,0.021880429835592574,750,0.7315486148305943
11,0.71381217,27,0.25747117912106826,500,0.5210585348084412
12,0.66946019,22,0.4654154849095101,750,0.9762378229455478
13,0.66523680,6,0.5781968307974483,750,0.8582768438697888
14,0.70441532,21,0.2580332905308599,250,0.6104485266244392
15,0.67935948,11,0.5304192984289585,1500,0.41560572809242796
16,0.65903907,17,0.9857925006650075,1250,0.9018670937795695
17,0.66592745,12,0.9562602682334111,1250,0.4371010162999563
18,0.65774680,1,0.9616888478893489,1000,0.8498679882646482
19,0.66031549,16,0.9933203116933425,1250,0.841783181464448
20,0.65808357,19,0.9875097224416308,500,0.8155425301158767
21,0.65965884,18,0.9996617186765775,1250,0.8493349948455577
22,0.66025305,19,0.999534062955529,1250,0.8242031114278718
23,0.66017741,17,0.8843404774795145,1250,0.8676173473696791
24,0.66118541,19,0.8552056192168561,500,0.8437111802386799
25,0.66038530,19,0.8716467603394067,500,0.8310635655386344
26,0.65909735,17,0.8742656587927945,1000,0.9121859792780661
27,0.66044559,15,0.8672161985687726,1000,0.9215221894304855
28,0.66047316,13,0.8757794414767839,1000,0.9463339964161043
29,0.66114884,14,0.6648844810319099,1000,0.914930893386442
30,0.66354182,13,0.6524803824319825,1000,0.9110423980983224
31,0.66270615,5,0.6688130303173586,1000,0.6559773532611042
32,0.66196613,5,0.6822022882010194,1000,0.7928154712227181
33,0.66196417,5,0.705854914614942,1500,0.7760669408134039
34,0.66311342,6,0.693386352146796,1500,0.7826109016150631
35,0.66214915,8,0.7026003532862872,1500,0.7823360614965631
36,0.65915583,8,0.9307574637045104,1500,0.7871956253469424
37,0.65809844,8,0.922972679512752,1500,0.7962459174315196
38,0.65827550,9,0.9282383160272527,1500,0.9985268554615965
39,0.65900986,8,0.9369428790804349,1500,0.7872569748857075
40,0.66070494,3,0.9097100694370251,1250,0.6781162011164484
41,0.66363388,25,0.8064691172011094,250,0.8817683642272597
42,0.65949410,9,0.9433153296001272,1250,0.995050530765604
43,0.65713852,2,0.813428872322714,500,0.9975654455562261
44,0.66043376,2,0.8104841108312734,500,0.6701997385823976
45,0.66008718,9,0.8159787039596574,500,0.6940894971473707
46,0.65803637,1,0.9250936345552655,1500,0.9993886392046255
47,0.66027344,3,0.9272428396954338,250,0.9854464396680684
48,0.65808194,3,0.9304944852299244,250,0.9863726265973861
49,0.65856952,3,0.9084301669160322,250,0.9784307351075383
