trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.65268448,11,0.4708359169164173,500,0.9242103491161624
1,0.65258954,24,0.6481979237637892,1000,0.7886955428480364
2,0.65007239,5,0.915731066285157,500,0.5149476577136405
3,0.65084667,13,0.8563019994686157,250,0.517973016967822
4,0.66284940,2,0.29546469696258376,750,0.878884472610783
5,0.64892888,12,0.6057671583353547,1500,0.7248301390754708
6,0.66871118,30,0.5162123042210933,1000,0.47274452969011815
7,0.65301233,23,0.6653610814671143,250,0.9295943603589342
8,0.65111345,19,0.8085839067349171,1250,0.5628429709872813
9,0.71787824,21,0.15658148564651642,1500,0.43179590575922133
10,0.66167396,18,0.3981935753066687,750,0.6670631968585115
11,0.65701422,26,0.9172397612483295,500,0.998863910753028
12,0.64692874,2,0.7824904697957851,1250,0.6669895357112837
13,0.65116230,24,0.862454759242331,1500,0.6028922772694537
14,0.68510988,16,0.23934599286142724,1500,0.5766557270513999
15,0.72408337,9,0.07663000116260243,1500,0.6611566376510812
16,0.64857643,4,0.7519339747302499,1500,0.6194177520155831
17,0.64805453,4,0.7156281224076801,1500,0.6827011962297054
18,0.64905592,4,0.9650308846043172,1250,0.6396466937487416
19,0.64728262,5,0.7594884506187449,1250,0.741070479546075
20,0.65180723,5,0.9996966020945368,1000,0.7673518193752461
21,0.64828029,7,0.6922862100364482,1250,0.76089183568587
22,0.64887825,1,0.7623938087663963,1250,0.8050521389844995
23,0.65137806,6,0.9987154032354775,1250,0.7947891978932945
24,0.65112675,8,0.9610710216896142,1250,0.784512322733977
25,0.64983119,8,0.5415581909669165,1250,0.7719570954889993
26,0.64780956,1,0.7358322360850789,1250,0.7252884417476666
27,0.64723312,1,0.7562697317727356,1250,0.7168689040353534
28,0.64716349,1,0.7982246179946206,1250,0.7135821184212319
29,0.64892528,1,0.7697101670221107,1000,0.7132913449221192
30,0.64787627,1,0.7523642938317818,1000,0.7028676088427817
31,0.64728717,1,0.732073120063716,1000,0.7199357596643153
32,0.64910422,1,0.5909727511266178,1000,0.7109414124789136
33,0.64753994,2,0.8182091727296563,1000,0.7105948934730486
34,0.64847374,10,0.5952084864109082,1000,0.8471268422943067
35,0.64963936,3,0.5810930438026559,1000,0.8485750986561136
36,0.64932691,10,0.5988686379511198,1000,0.8615643354596415
37,0.64995601,3,0.8420462536017868,1250,0.8388234082089576
38,0.64991342,10,0.8651300485632093,1250,0.8551363780714968
39,0.65092840,3,0.8414850453387728,1250,0.8391284424726524
40,0.65055260,3,0.8387310908989809,750,0.8252552989679038
41,0.65147780,3,0.8743685390216408,750,0.8251881316910623
42,0.65193503,6,0.879004715316146,750,0.8211382351306675
43,0.65205796,6,0.6530369389891963,750,0.5413862493807916
44,0.65516554,14,0.44066161477607685,1250,0.7489352781679592
45,0.66047568,6,0.43471366903118003,1250,0.5216917967134922
46,0.64721945,3,0.7960199162455057,1250,0.7464512282111445
47,0.64843026,3,0.6744319412100945,1250,0.7487825353252902
48,0.65314687,5,0.45468606629445646,1250,0.7569634613142036
49,0.64729294,5,0.6915950562107955,1250,0.7439395224951199
