trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.85438512,8,0.2358887140090336,1250,0.7584214715275156
1,0.87892027,15,0.1551749417681692,250,0.5140387140540097
2,0.89027223,3,0.09240053074176739,1500,0.828568515430567
3,0.80029447,27,0.7156658456537712,250,0.5701883424675122
4,0.81349374,25,0.5923380597079053,1500,0.40898630186736473
5,0.81078992,28,0.6313925159192383,750,0.677718000297469
6,0.81084990,10,0.4983673806366918,500,0.5826586306210327
7,0.83279840,28,0.4106962669197934,1500,0.7832903038878091
8,0.84300163,15,0.29860397007962025,1250,0.8236197172592967
9,0.80866427,15,0.6200094527642603,1500,0.9808116943984667
10,0.83718781,18,0.34254950101049075,1000,0.6526397107658042
11,0.80584385,10,0.6844163161339009,1500,0.9448892275398744
12,0.91630425,24,0.027104528382890545,250,0.5815077015803622
13,0.79275183,26,0.8303364202413546,1000,0.5198773388306619
14,0.83566630,14,0.32456246276092005,750,0.7953513775477696
15,0.79615050,19,0.9198319815272488,750,0.9921668172960207
16,0.79850747,30,0.9000918156467508,750,0.9938013882301322
17,0.79217186,21,0.9009628648893393,750,0.44129160832963393
18,0.79266275,21,0.8976406198028504,500,0.9985100477947799
19,0.78931957,21,0.9679917670635743,750,0.43158158297627297
20,0.78587828,20,0.9881028630194585,1000,0.4261629410651746
21,0.79414043,21,0.9714650579409247,500,0.9662288388387276
22,0.79476371,21,0.987280027866751,500,0.9261191598630066
23,0.79632809,22,0.9869417147958288,500,0.9066673540187837
24,0.78617781,22,0.9954573461573629,500,0.40702997288736986
25,0.78820387,22,0.9928932368063453,500,0.45955800187924056
26,0.78749131,22,0.9974363799407602,500,0.40445614568318006
27,0.78843994,22,0.978096199622595,500,0.4698657567084806
28,0.79660416,18,0.783285422256167,1000,0.464366296506849
29,0.79681809,23,0.8120773110549393,1000,0.46171289982026337
30,0.79313269,24,0.8029011054774993,1000,0.4765274860747027
31,0.79242433,18,0.7862534911052983,1000,0.4754658399048912
32,0.79086817,18,0.7978187530952988,1000,0.4793155039684659
33,0.79396376,18,0.8044879711158424,1000,0.5051750516540319
34,0.79133641,16,0.8013229362913454,1250,0.5123577887042612
35,0.79634360,18,0.7609114288369281,1250,0.40352304017344537
36,0.78968058,18,0.8834538286816433,1250,0.5263700436801779
37,0.78481523,19,0.8632138275317452,250,0.519950359129201
38,0.79196710,19,0.868321410888401,250,0.4027316332664948
39,0.78376301,3,0.86221927348064,250,0.5358896212574445
40,0.78969727,13,0.8675769779052223,250,0.40631643884671054
41,0.79713458,2,0.7210855829267352,250,0.5422515472698732
42,0.79935700,12,0.7117787449504931,1250,0.5442561644602276
43,0.80018867,2,0.7112409914741399,250,0.5439255467094416
44,0.79847050,2,0.7170570646948473,250,0.5471019077792783
45,0.80583446,8,0.5679351729374678,250,0.6306199744933313
46,0.78752045,7,0.9429826889276257,250,0.6239773628752413
47,0.78857777,5,0.9271097806379056,250,0.6202351812849589
48,0.78547086,5,0.9380421958073926,250,0.5589909756042472
49,0.78989126,5,0.9342115677995848,250,0.5936011473993343
