trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.59181151,0.5105539344733698,0.010579501287549076,8,5.5378312346370615,900,12.637832865124771,0.5183535608231937
1,0.61588693,0.28285985002940345,0.1445140026314761,6,11.94392181695605,300,34.8823362679178,0.8086964285197129
2,0.58880577,0.6948115894521829,0.01575699044254641,6,19.001418823104302,300,1.6141495009403601,0.961933440315389
3,0.61578077,0.29056483354950435,0.17113790704268367,6,19.903030456723116,200,29.049775978929212,0.5260660769697393
4,0.59655774,0.6238357821666095,0.029564670093040053,8,6.049586591385369,500,0.21274874169716887,0.7571749647262069
5,0.60147322,0.6158738085603106,0.01222973953763101,6,8.011139789251798,700,25.53296053981097,0.9922333496963114
6,0.67343210,0.6595532258123948,0.014185668496431117,1,11.528113680773858,200,0.006307920186471594,0.9097360279818135
7,0.61840386,0.23860197019056548,0.07779201752393136,5,11.705376971983588,600,25.837749972428686,0.9030935203871818
8,0.62627084,0.7104719832242581,0.1985418594687352,5,13.516405449366172,900,0.020554774646528755,0.8734594866342509
9,0.63535451,0.24280135994621244,0.14169906728957374,4,19.63943813044714,700,0.015973184831072337,0.8202656414539119
10,0.63771990,0.4640718317968842,0.016371431184349874,1,2.7785165293733884,300,7.126063335008955,0.7262645660296785
11,0.63594122,0.8184495064169763,0.24996637727470472,2,10.285806113755006,700,0.007485015313286265,0.544460975672364
12,0.61166461,0.45021203659271114,0.011456690730806707,5,9.6639191675447,300,0.04660320877114604,0.9419576758285506
13,0.66783196,0.2590020053485549,0.2685670528826554,8,18.39530242927843,900,11.882632766306104,0.5071126102071594
14,0.62283346,0.2057326792551809,0.018372599999968264,7,3.3992697041936477,300,0.02122529881550402,0.5124451383702042
15,0.60593694,0.9873440857503765,0.046977519826830856,8,16.060672508933905,1000,0.8429520087356038,0.9800783698184424
16,0.60391094,0.9888996621810919,0.030648720602816995,8,1.3578662978603688,500,0.5361641336593155,0.6713363032659613
17,0.59246238,0.9372933842185946,0.02789157408124667,8,3.137685803019618,500,0.489673875103577,0.6699723405207385
18,0.62845877,0.9891913952508726,0.034777467688079544,8,6.587759083223935,600,0.7944408930534466,0.9969838080206679
19,0.57947354,0.9609980080662661,0.03061706311026125,8,15.831762617285435,500,0.621750306958997,0.6591885243710369
20,0.59080640,0.9864313318449858,0.030612962428090543,7,15.641051185896682,1000,1.7186424576849975,0.6312251338555603
21,0.58380843,0.9959063283963046,0.035064769263380154,7,16.15939525266701,500,1.5594093750521518,0.653058973464832
22,0.59220827,0.9828788334816037,0.027192349826502267,3,15.639158783607884,100,1.1500421729520343,0.6281281692110027
23,0.58272013,0.9604845370551572,0.03624439876441606,7,15.100789500120742,500,0.2713274908399512,0.6273261091231865
24,0.58560502,0.8960928161752523,0.0582345622455644,7,15.898414576568177,500,0.14560284334129367,0.643092375362989
25,0.58914693,0.8555388372996078,0.06027967979614729,7,17.281978223668883,600,0.21021021014618274,0.6534981432344243
26,0.59063857,0.8604737049990507,0.050708865791783686,7,17.936988818367087,500,0.21507275303161494,0.6686786524080701
27,0.58539243,0.866409019064702,0.05870951692545316,7,17.20600537544343,400,3.286012189726141,0.5886420555463167
28,0.59479795,0.8691348264333051,0.05614338637477099,7,17.333327780860053,500,0.0012526869942345233,0.576554088506629
29,0.60052564,0.8471597254812797,0.09113107189092325,7,17.433250801690026,400,3.194090526499704,0.5706172229907904
30,0.57974447,0.7877551057267453,0.021346490251927145,7,13.644750023780198,600,0.0011256685169598124,0.6995934459007237
31,0.60508211,0.7975761307872462,0.09813956789563516,7,13.980422325505666,600,0.13912792548028224,0.7283505004378588
32,0.57820755,0.7736898420553127,0.02133122593770272,7,13.86996330062388,400,0.0019066060869122143,0.7118197112294261
33,0.57661399,0.7618726392633703,0.022395546667834616,6,14.247580520723139,400,0.07230108902490458,0.7184680215427496
