trial,value,colsample_bytree,learning_rate,max_depth,min_child_weight,nrounds,reg_lambda,subsample
0,0.77926938,0.8701483466780682,0.014187511061114589,3,5.786620344829606,300,9.896236332467502,0.6246551994935021
1,0.80717388,0.31912718718229105,0.01341453568350559,4,17.721128022584427,800,1.3027265123153355,0.7528647790823507
2,0.80684843,0.8647787256624295,0.08660459751646357,7,16.167344604286118,600,20.40528058637312,0.5669490311400147
3,0.81669831,0.38411215952345934,0.03512886186879293,8,10.205693814010635,700,32.11644065561903,0.7285421253120798
4,0.81930531,0.6728094912641083,0.08502052335252212,4,9.566985709148582,400,0.018145647591022974,0.7354195750997496
5,0.80133033,0.3651798145477539,0.03734160723782654,2,16.977614145608197,900,18.600358100979257,0.8104252284146852
6,0.79823172,0.8531582089097332,0.02603105468681291,1,9.56023410061878,600,0.856637024334376,0.5855235380612376
7,0.80270558,0.5980288515745749,0.024319594858300896,5,5.863273840158276,200,0.01640545711626159,0.5261687145433691
8,0.79797993,0.8060177249051059,0.04684167598657751,8,13.177824696607447,300,0.3141019476283456,0.5794256743707009
9,0.87471732,0.4435897789798956,0.2972870138443308,5,9.476359482610544,500,29.598763479409225,0.7798245927812544
10,0.86153186,0.30070910476584567,0.11722666387454964,8,19.724116436706883,700,0.004958796523054537,0.5013783206313481
11,0.85663377,0.9996300503949427,0.29342892024595013,3,1.521999031067067,1000,0.0044306585308242444,0.524945315406438
12,0.82926355,0.6620641398043846,0.0467857579583128,6,7.383960674635879,300,6.200103250643617,0.8656121621672251
13,0.80647337,0.33487445303668173,0.013323354726359706,8,11.46211623757882,1000,31.80988862380109,0.5154672352454701
14,0.81715424,0.7718183770849947,0.019110777131109487,4,6.590471182623752,1000,0.3757246731887933,0.9218776801033214
15,0.84556592,0.9997046287749991,0.011974784334246917,2,1.422066786742624,100,0.09155062007871625,0.9959479818900665
16,0.81668001,0.9422686896211796,0.012033118697583533,6,1.257102661637111,100,0.4915219266233224,0.6358197908350643
17,0.79917672,0.7809014273430287,0.06090918758646682,6,12.77090380788033,300,1.42576547010544,0.6451177262621627
18,0.80400813,0.7638474240628926,0.055539473139426594,6,13.34142285435604,300,1.8232499391803938,0.6621583079225623
19,0.77804654,0.7823174387808332,0.0178914837638572,6,13.179389793301857,400,0.28791221264839995,0.6515968559473982
20,0.84750973,0.7954996050592308,0.018757087433424798,1,4.285283254037601,100,0.20907377739240232,0.6385263994698726
21,0.78329931,0.5293131349396414,0.010886315310608314,7,13.445217483831332,400,3.853140394053121,0.6670713097701441
22,0.85219982,0.5185969422234338,0.1604690723328382,7,13.919851191611944,400,4.211880636288775,0.6805707378089387
23,0.83820654,0.5668219088000694,0.17701166903687526,3,13.54449932019239,400,0.0011421426673701828,0.6931112983642516
24,0.78580036,0.594800886326769,0.020228620584451597,3,14.943137428745892,400,0.0010221406385312634,0.5884877272941695
25,0.79668676,0.8752272034302818,0.018817751293464403,7,4.1585429365629505,400,5.4349021113614695,0.5858254067537481
26,0.78196961,0.873381862594075,0.02509810954191081,7,15.461779192283768,400,0.09149494096984438,0.5871718125847236
27,0.80869296,0.2228141201255633,0.019179435340204033,3,15.395498894696786,500,0.06656340788677792,0.6013019662501512
28,0.80732392,0.21916596134809574,0.018762157778224577,3,15.174320971076597,500,0.07000098236725034,0.6117046585931538
29,0.80536122,0.6810823726671213,0.010044140113877078,7,3.907561180019081,500,6.140179824579072,0.6123645426387767
30,0.77444065,0.6941384566295785,0.01025695420103756,7,19.06382134636789,500,5.515931639926673,0.6174099670344102
31,0.81297792,0.7054839279198301,0.010276057710341683,7,3.804983762731517,200,6.5646791136613345,0.6947392255257651
32,0.79991782,0.6949649778772711,0.01006632023799982,7,11.383793929219191,200,6.677282723881968,0.6957933728144013
33,0.76694294,0.8995125425260747,0.02916026506092746,5,18.469292363337942,200,0.02281155199828437,0.6905140549168169
34,0.76920696,0.9050348959566827,0.02828798034164362,5,18.327386107076364,200,0.027359128741433654,0.5537010027768589
35,0.77358629,0.7266365401071506,0.01514642293994435,5,19.494893585559105,600,10.561197225388714,0.5523122666099121
36,0.76811300,0.9250850616816111,0.01515603218469408,5,19.182767426979705,200,8.530100612963125,0.7270581645859906
37,0.76382628,0.9151966188308103,0.015326790868542021,5,19.26880956504798,200,0.0195267760707197,0.5556132323955976
38,0.77194700,0.9099373918257112,0.03183471581114863,5,19.04113319971492,200,0.01825444609397244,0.6208284996571221
39,0.76232346,0.9222256086647791,0.015080390027305202,5,19.610962476282893,200,0.02262764766956746,0.5536047223442134
40,0.76169621,0.9280166467898546,0.03033587282302295,5,18.263331085415405,200,0.01727254681078655,0.5469322484500002
41,0.76940669,0.932905887088257,0.031422195896914286,5,18.13919018862525,200,0.026669201112154824,0.7878787723247486
42,0.76575136,0.941093551839195,0.03140939902014314,4,17.353311789455088,200,0.028917716494987263,0.7711165958392687
43,0.76919296,0.9450046605224998,0.029503503363581804,4,17.69686162419508,200,0.033201749412784455,0.7675143218351911
44,0.77610582,0.9528934340083304,0.015004153129951958,4,17.22070419940992,100,0.005004747603354856,0.7615891541580074
45,0.75775125,0.95201229614087,0.03821669259018905,4,17.206201383629722,100,0.007310695099055482,0.5468133451409678
46,0.76019449,0.961280740335241,0.03326114324140583,4,17.55120737034479,100,0.0067367287130194724,0.557027526907932
47,0.76543878,0.8366002041220038,0.03846413603949923,4,16.896009787456926,100,0.007037218553362357,0.5506251599402825
48,0.75729640,0.960715952811088,0.039181618592949524,4,16.81046647386798,100,0.008929707240995012,0.5421985736807399
49,0.76593165,0.8465610875002082,0.038245222563458234,4,16.64196540325319,100,0.008980629402307184,0.5488426523545861
