learner,response,best_cv,n_trials,bagging_fraction,colsample_bytree,feature_fraction,lambda_l2,learning_rate,max_depth,min_child_weight,min_data_in_leaf,min_node_size,mtry_frac,nrounds,num_leaves,num_trees,reg_lambda,sample_fraction,subsample
LGB,ETmax,0.647308,50,0.8055227851286857,,0.8341067299874203,0.020822794318856495,0.024624025631999856,,,2,,,800,12,,,,
LGB,GPPsat,0.630868,50,0.5769501715350918,,0.951582193252384,0.07520111214295298,0.021178051411512445,,,10,,,600,32,,,,
LGB,NEPmax,0.574829,50,0.657970721890738,,0.7512390129247388,4.916143954025222,0.017576589161797253,,,20,,,700,20,,,,
LGB,WUE,0.762161,50,0.5712987594294591,,0.8875676406468275,0.5722108381980253,0.011844887624879397,,,16,,,500,13,,,,
LGB,uWUE,0.825053,50,0.7760245564031341,,0.6527351949103763,0.0023144460451094474,0.010607437208684027,,,16,,,1000,51,,,,
RF,ETmax,0.657139,50,,,,,,,,,2,0.813428872322714,,,500,,0.9975654455562261,
RF,GPPsat,0.646929,50,,,,,,,,,2,0.7824904697957851,,,1250,,0.6669895357112837,
RF,NEPmax,0.594799,50,,,,,,,,,9,0.7229692437682714,,,250,,0.9788484868347456,
RF,WUE,0.783763,50,,,,,,,,,3,0.86221927348064,,,250,,0.5358896212574445,
RF,uWUE,0.79257,50,,,,,,,,,17,0.91435014909182,,,250,,0.6726599278025491,
XGB,ETmax,0.648792,50,,0.9857547536606963,,,0.025135626022195517,2,18.98106847589506,,,,1000,,,0.02389553468147807,,0.8693870223780494
XGB,GPPsat,0.626387,50,,0.8429394143498288,,,0.01475720306424959,3,18.152509504202577,,,,500,,,0.0026815932221913056,,0.5716629358529364
XGB,NEPmax,0.573384,50,,0.7883481057863736,,,0.020021663075699542,6,14.297961657650022,,,,400,,,0.10067030015810116,,0.7164167912278077
XGB,WUE,0.757296,50,,0.960715952811088,,,0.039181618592949524,4,16.81046647386798,,,,100,,,0.008929707240995012,,0.5421985736807399
XGB,uWUE,0.807061,50,,0.7943480056054163,,,0.010677071073724754,8,9.008071127206874,,,,400,,,0.07312024038721415,,0.5430383065312392
