trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.72831787,0.9320200498090778,0.8744187527743879,0.004621053006409796,0.0981752580847614,17,900,31
1,0.71716225,0.7723656758745758,0.31548174131328754,0.08486405584989191,0.07930394030132465,39,100,24
2,0.75450010,0.7803269125462984,0.49567879663037573,1.1812764148895114,0.08449902308995685,10,700,19
3,0.75842579,0.7762338066917307,0.3800856458373043,0.0731480551523464,0.23417695351885714,38,1000,41
4,0.69212777,0.5092652219968429,0.8724884862865001,0.004378329984277277,0.02081422640556128,12,700,54
5,0.72310118,0.934049534714593,0.20961562817400373,0.035428393330679625,0.10157285667562051,32,300,31
6,0.72995810,0.6691634011113965,0.4031654619676708,0.053773233401262284,0.12847069081523074,24,600,62
7,0.71831736,0.8584333359809888,0.4898802246010294,0.013890140196078225,0.03280279096756037,11,200,52
8,0.72984353,0.5219650509936791,0.43527679824888116,11.35564408580871,0.10804057520639195,10,1000,26
9,0.74066035,0.7593211839735889,0.40946857706372974,0.016867412431427888,0.039126365719580745,2,1000,22
10,0.72340680,0.7281621941642908,0.6812456010303689,1.7175117446372945,0.24517972242760933,33,600,34
11,0.72675200,0.8533614621507684,0.8575241413172725,0.16039873333488552,0.11194731462697852,19,900,8
12,0.70784825,0.7181831777929963,0.925384396421902,0.010659069746100654,0.07929603795817237,29,700,40
13,0.69277760,0.9350413817989232,0.9333647628504036,37.021184180498956,0.17404340384421388,35,200,28
14,0.70856884,0.54085818129983,0.6233733980174795,0.0017504468092514663,0.08322019659008634,26,1000,9
15,0.68779397,0.5034810009136512,0.9854944351442334,0.0017555224453874919,0.014833153478413642,19,800,2
16,0.68205903,0.5033057397011877,0.9983409298549075,0.001098723050439596,0.010136713687256707,19,400,4
17,0.68427639,0.5088667231423526,0.7571209545000985,0.0015226561874513264,0.010809390331467971,19,400,6
18,0.69895945,0.6037247446357477,0.7795399113631265,0.0012029365084004432,0.010667058287814541,21,400,2
19,0.68698332,0.5757316278053021,0.979526771712893,0.0012591384826640061,0.010582107943818725,19,900,2
20,0.68586482,0.5906560694273881,0.8269328560549551,0.0034065919134711694,0.010460186147959719,17,500,11
21,0.69970888,0.6001690086719504,0.9803106413735657,0.0011631989299692807,0.010476332514140011,2,500,12
22,0.69578280,0.5899426488553805,0.9886817333367763,0.0010843742397757452,0.010051349070372308,4,500,15
23,0.70458231,0.592826139787164,0.7297794107255668,0.005449662107187828,0.027002406621104095,3,400,13
24,0.71397750,0.6026960279954796,0.7477459290171338,0.006284746845612965,0.027806792125028724,2,400,20
25,0.71319776,0.6406641945087073,0.7291361008347071,0.011032347896538309,0.028020789824440482,7,400,16
26,0.69074927,0.6087895128481202,0.7367662947840303,0.004664641175354494,0.01698844368780375,15,400,14
27,0.69363837,0.6432419756996225,0.7883639120201149,0.0032417815510759613,0.01598497404871678,15,500,16
28,0.69119522,0.6361955196363743,0.7897030253786923,0.0040737011103015655,0.016383478762647497,14,400,17
29,0.68804540,0.6433330927627086,0.6062267009220865,0.0027110013554257663,0.014355856214457377,25,500,18
30,0.68399292,0.6666579104902433,0.7978138988809658,0.002843956298329338,0.01584064181777365,24,300,8
31,0.68751399,0.5578024133467012,0.8327048882129156,0.0031631624965497147,0.014398793935012349,24,300,7
32,0.68937192,0.5469195327430006,0.6175450942542611,0.002690974025743091,0.014360868101259743,24,300,7
33,0.69188499,0.5491507366348943,0.6134590343602904,0.0026556890279916053,0.014493104943704847,24,300,6
34,0.70374929,0.980186798848786,0.8029652285537862,0.02894932052695428,0.01867708065217504,15,300,6
35,0.69206931,0.5543166472092377,0.6240874797860374,0.024941132530684904,0.049993240407183455,22,300,6
36,0.70191825,0.9865555014333334,0.8191902045373092,0.0024120155916902415,0.021476500164830686,22,300,7
37,0.69039620,0.6845084052752308,0.8176321782422266,0.024010797501293257,0.019678116579845074,16,200,6
38,0.71221066,0.7011706587606756,0.91921679634422,0.022072641118475525,0.019397900962506633,21,100,10
39,0.70425176,0.9948848205057212,0.9166212246810934,0.01984340639534839,0.021242133641140994,21,200,11
40,0.70626302,0.6925633767482069,0.9096320455139156,0.007338690813442574,0.020337381629338732,28,100,11
41,0.74162285,0.529103158547984,0.8840852190901942,0.007961367361292979,0.012416255324978665,18,100,11
42,0.69391691,0.5222698063123958,0.6781691578556209,0.19326588801823183,0.012077533880053958,28,600,11
43,0.69333296,0.5189097510683097,0.6777643921501628,0.007400119685392362,0.011830513343741985,28,600,11
44,0.69040499,0.515463054753692,0.8991361517831465,0.008324957004620008,0.0119854079762492,29,600,11
45,0.68850534,0.5227089686100803,0.6768978125607906,0.1579774795300618,0.012578879385184365,13,600,20
46,0.68881204,0.570049870547411,0.67857277190483,0.0016404160936633076,0.01206895593284919,17,600,2
47,0.68503319,0.5744209138111217,0.9591148898080067,0.0016901557799668652,0.012067212080180483,13,600,4
48,0.68648241,0.5030614651940541,0.8624280015426524,0.0010947924364329566,0.011809344827334605,12,900,4
49,0.68027504,0.5013938496407156,0.9516770935112914,0.001016842506698009,0.0123716405416395,13,800,3
