trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.78159572,24,0.1491828265923039,250,0.6707020544776466
1,0.73878590,23,0.41506745489834146,1500,0.4641238760346476
2,0.71006287,15,0.7623354072140714,250,0.5825753627401113
3,0.71083729,12,0.7763833754559925,500,0.5736443431318172
4,0.84752889,16,0.03605145449212867,750,0.43479300602193743
5,0.75707032,22,0.20757686441159084,1000,0.8510018544491341
6,0.71092621,2,0.8910133842737012,1000,0.9742102889469377
7,0.71118071,24,0.7797748620147493,250,0.637201399430065
8,0.71431747,10,0.5316155440660728,500,0.9763460969974374
9,0.71078360,6,0.9683481672164768,1000,0.877968482404051
10,0.72150796,20,0.49793137293164896,250,0.5957676879234777
11,0.80413938,27,0.08050927652792,1000,0.9298868587515507
12,0.73022953,10,0.36456232799652566,250,0.9165208745403973
13,0.71991845,5,0.6079804491681314,750,0.42923541343486804
14,0.77225346,16,0.17403982486546077,750,0.6411679406083005
15,0.71094439,1,0.9884748759273013,1500,0.7919608362643853
16,0.70803193,1,0.9845103748302582,750,0.5421535753011532
17,0.70976453,2,0.9894036886184419,500,0.5439784429116836
18,0.70836916,12,0.9673428176135551,500,0.5541966842499336
19,0.70557901,3,0.9671030799241037,500,0.5232722954883384
20,0.70776517,1,0.9973440826200775,500,0.7442317358687964
21,0.70698611,1,0.9919501397899982,500,0.7525092640537041
22,0.70860990,1,0.8805658863390007,1500,0.7549989524205211
23,0.70933411,2,0.866993769965227,1250,0.7329693476789936
24,0.70991710,6,0.8405456448665232,1500,0.7346481865588735
25,0.70942841,6,0.8406600881883962,1500,0.7451487177133561
26,0.70808332,5,0.8655600820156234,500,0.7629319256274013
27,0.70684477,7,0.8572398173075616,500,0.7417170690123499
28,0.70717392,7,0.8786907255287373,500,0.7262293318081953
29,0.70745242,7,0.6769417802565898,500,0.7237726995420654
30,0.70970017,8,0.6833750316981146,500,0.8048030376993509
31,0.71033235,7,0.6926259725000801,750,0.8019635129130223
32,0.70975912,8,0.6800890691262985,750,0.8063485788450876
33,0.71584198,9,0.6749107438218789,750,0.48081560160067083
34,0.70977325,4,0.6713859944101139,750,0.8156094172620914
35,0.71010739,4,0.9218437620111712,750,0.4955984789058341
36,0.70690051,4,0.9189318338982246,750,0.6875042454263711
37,0.71298256,4,0.9074697536501539,250,0.6675304572091163
38,0.70669530,4,0.9267598390666454,250,0.6823049742848362
39,0.70778630,4,0.9207921016660549,250,0.685217416253481
40,0.71211498,4,0.7803416159419653,250,0.6878901068632752
41,0.70785411,4,0.7978649854508526,250,0.6892520538132836
42,0.71147072,3,0.806541443536788,250,0.513972086784697
43,0.70878492,13,0.7933393358972358,250,0.6926282191881218
44,0.71127011,13,0.7995765871502858,250,0.6817477404975552
45,0.71063838,12,0.7825457822022741,250,0.6039059470879448
46,0.70700872,3,0.8130491175467071,500,0.8530983253253405
47,0.70734238,10,0.9321229322014929,500,0.6010875242749848
48,0.70722863,9,0.9261861308405631,500,0.6202816821113223
49,0.70547969,10,0.938017922575308,500,0.6136370663975292
