learner,response,best_cv,n_trials,learning_rate,nrounds,num_leaves,min_data_in_leaf,feature_fraction,bagging_fraction,lambda_l2,mtry_frac,num_trees,min_node_size,sample_fraction,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
LGB,ETmax,0.72632614,50,0.0154844266489224,300,36,31,0.813075872891709,0.730641268992299,0.391670837793892,,,,,,,,,
LGB,GPPsat,0.68027504,50,0.0123716405416395,800,3,13,0.951677093511291,0.501393849640716,0.00101684250669801,,,,,,,,,
LGB,NEPmax,0.64093731,50,0.0283015023856405,300,53,23,0.948472272485886,0.604218999401513,0.00436684265051743,,,,,,,,,
LGB,uWUE,0.73855895,50,0.0223302048986875,400,39,11,0.783565993691517,0.525992756046929,4.73829665386209,,,,,,,,,
LGB,WUE,0.69769343,50,0.0133995231127101,400,55,27,0.731138434686787,0.774838790633068,0.0228611300679256,,,,,,,,,
RF,ETmax,0.73459308,50,,,,,,,,0.997988716335913,500,16,0.410949578767688,,,,,
RF,GPPsat,0.69699523,50,,,,,,,,0.710446105866021,1000,8,0.748245260842012,,,,,
RF,NEPmax,0.64207957,50,,,,,,,,0.710807085239546,1500,13,0.904176158953099,,,,,
RF,uWUE,0.74893154,50,,,,,,,,0.99694750169764,1250,3,0.635060944731305,,,,,
RF,WUE,0.70547969,50,,,,,,,,0.938017922575308,500,10,0.613637066397529,,,,,
XGB,ETmax,0.72122932,50,0.016158230130272,200,,,,,,,,,,4,17.1088013483732,0.583288776226089,0.883442376535781,0.00786321985249065
XGB,GPPsat,0.68079818,50,0.0432321752848334,300,,,,,,,,,,4,18.6733515036319,0.601683458345795,0.64052907107652,8.92035611854494
XGB,NEPmax,0.63961693,50,0.0200388417599433,500,,,,,,,,,,1,6.04366672996198,0.742726110758915,0.815364211959833,0.0400293430191007
XGB,uWUE,0.74260262,50,0.0177230552837993,200,,,,,,,,,,7,5.62303555097672,0.588055495352762,0.789080432428777,0.00677389992272352
XGB,WUE,0.69889804,50,0.0121717164446933,600,,,,,,,,,,4,4.38124422608365,0.707201677609698,0.862792499791466,0.0858821440444961
