trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.74067540,0.7844114707691487,0.9907613422429227,1.6931372194720438,0.19428083253054113,38,600,26
1,0.75092578,0.5853621890283123,0.8665104231293312,0.45812466183815653,0.04122315555105762,17,700,15
2,0.75482410,0.8862289032238205,0.5135701245598885,0.032424454979108217,0.033509953638162775,12,300,46
3,0.73942925,0.7167499462413081,0.5689310695062747,0.8093720534615808,0.028183009101478983,34,800,53
4,0.77723233,0.9821107437528547,0.28927428925442905,0.024138056891198093,0.03905680558313576,19,300,47
5,0.77577221,0.586142335697662,0.390915157996968,0.001276006241057146,0.041477442511633475,11,400,8
6,0.77389533,0.9028433125974653,0.32323319084328994,9.527804609712263,0.06589796143417889,31,700,16
7,0.75765655,0.506366562695627,0.4840731965560677,0.118893104019337,0.05738869307568836,23,700,25
8,0.76580551,0.7544549574703607,0.3568879088407793,6.798522334566916,0.047714284658260116,24,800,41
9,0.73997704,0.6872527508670264,0.20180123261689273,0.1390924345042117,0.034839419862394645,29,700,2
10,0.72610787,0.7704604643776447,0.8456146180171213,0.8617871917499792,0.012078175989220617,29,700,19
11,0.79104648,0.5770141747028188,0.3970725832476683,0.0010083801139101273,0.0544846617818308,13,400,52
12,0.75029507,0.7168574203413879,0.28868674487001034,3.78277231490746,0.01838022203492536,19,400,56
13,0.73309782,0.8536088599965815,0.2707185371619706,0.00793805217166014,0.040289032800545854,15,300,2
14,0.76117681,0.9348561050690714,0.7546887844780488,31.67966235302702,0.11417438446810484,35,400,57
15,0.76717434,0.9992904194897965,0.7072574037745122,46.356142652018235,0.012650183918510636,2,1000,60
16,0.72825208,0.8072330076218408,0.7270498007494183,0.0012490985330068712,0.011185805363403929,3,1000,61
17,0.74505191,0.8375846098509506,0.677643795599934,0.001019601540301107,0.01608972953404787,2,1000,62
18,0.73670162,0.8342469996864706,0.6182857173115119,0.007845182936257737,0.010476121428126558,3,1000,62
19,0.73722973,0.8253680566823908,0.6458100062033751,0.006627241468233153,0.017116648539985523,3,1000,33
20,0.73060752,0.8060984913005153,0.6740573257567745,0.007719068595281736,0.010503697573318944,3,1000,33
21,0.77986970,0.827207752318323,0.647068285198088,0.004444503865977857,0.010959337070467211,4,100,33
22,0.75387228,0.857950083659786,0.9995574024776336,0.009266604812218221,0.02032840489727916,26,100,2
23,0.73434271,0.7968498283254104,0.8501740556101274,0.18559591629057354,0.08356938882712865,7,1000,12
24,0.76638408,0.6544702206114988,0.8465326890324989,0.1626749938677677,0.1047059438478453,8,200,14
25,0.73051759,0.6499109688635022,0.8412716946186526,0.1575082128199898,0.010304871719672216,7,900,22
26,0.73229530,0.7859259402951566,0.8634103243776494,0.033787882581514585,0.010468091524314858,7,900,22
27,0.74159064,0.7619445477032736,0.8480235709410188,0.03454437854984463,0.024050936420995914,8,900,23
28,0.72738439,0.7761052192953243,0.8020705857607104,0.0015669827138042427,0.014188695130641237,6,900,23
29,0.73585976,0.7594295575674728,0.7605105631737933,0.002442266918508398,0.013816310883739965,8,900,24
30,0.73819021,0.6422132361399331,0.7716242612553625,0.5648841939875883,0.0139452984627012,8,900,22
31,0.73481130,0.6392116456526611,0.7737156463948427,0.6255406061369672,0.015669021096444045,40,900,20
32,0.73429928,0.6436367184766585,0.7705182334749462,1.5233449747845358,0.015181901659052583,40,900,39
33,0.72785306,0.7249680492178786,0.9133467330953452,1.8221759845489356,0.01454012466668208,21,800,30
34,0.72817224,0.7497763557555296,0.9285173428872838,1.9472073205267046,0.01327947115857238,10,600,28
35,0.77681469,0.7287133282355076,0.9245347600494255,2.283394484175919,0.2515848878458376,10,600,30
36,0.78389890,0.7025575578487862,0.9316016450704896,0.0027641440571559888,0.2993804821359168,5,600,31
37,0.72313440,0.7181342392023721,0.9608820232994592,0.0029303864192966136,0.02242742978392079,5,600,19
38,0.72583482,0.731968925445808,0.9426845996318791,2.627929115666293,0.02326679672337714,22,600,28
39,0.79409917,0.7256326789014012,0.9345644590580479,1.723309148328473,0.28255310129382655,28,600,18
40,0.72711863,0.728862055234568,0.9273183204347334,1.8420016779208663,0.020929762744571218,19,600,29
41,0.72562159,0.7234599289648949,0.9397284366782509,14.024456516038274,0.024236851832159838,20,600,30
42,0.72823634,0.6869439436763618,0.9235535657732521,10.39165221525748,0.02403664480642443,21,600,27
43,0.73343170,0.686776031986093,0.9248690371226037,11.884268064270668,0.02487866194722595,21,800,10
44,0.73045302,0.6884682254247465,0.8078649572860925,18.468118030002458,0.02711644666387686,34,500,37
45,0.72864527,0.68422728976617,0.9591189179942256,11.926569581534364,0.02319375693138325,33,500,39
46,0.72785006,0.6868951971491442,0.8145219780884035,23.217097446031886,0.02800194663386022,16,500,36
47,0.73676574,0.7732967611838076,0.9711986204687579,5.434623881333233,0.0223115333353188,16,500,11
48,0.73312393,0.7768066422752272,0.9685992642060012,5.764007349319853,0.020783969004740242,17,500,18
49,0.73909971,0.7758170829760759,0.8855394500465817,4.142742631303899,0.020773114664110415,16,500,17
