trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.80250489,0.7768818153318047,0.7054524880720128,2.0339462161218145,0.040940675299735475,24,400,39
1,0.83395520,0.9903132485376593,0.3368027785532052,8.379681841687876,0.10741300560228982,13,900,61
2,0.85079487,0.9997121765195149,0.7032866137800473,0.0010256222775847585,0.22250147122588065,29,900,28
3,0.83445317,0.9541528814232869,0.8261973358281194,14.360141963654243,0.13829672977029697,19,900,57
4,0.89008041,0.929921203703183,0.389738383461056,40.96613479944058,0.01082413281223268,19,100,54
5,0.81925847,0.9787834093570236,0.3428540804573247,0.040534265946821996,0.18320777542122288,18,1000,58
6,0.77696325,0.7814331156400696,0.5152515221835481,0.21357147285918718,0.014562176466480014,33,300,58
7,0.85508165,0.8600153867534616,0.2930753193564912,0.025422614501367156,0.20825496104586003,27,1000,19
8,0.80376041,0.930381363934917,0.8983257625752699,0.17974654104317703,0.023870012736372383,18,800,28
9,0.79464197,0.6400426846282392,0.5648535804921782,36.129382280922854,0.01709699897672334,33,1000,20
10,0.82269199,0.9828931837490164,0.25048256940893626,0.005817216416539584,0.01254658263476202,10,800,28
11,0.80769039,0.9776200416558214,0.7812377492149738,20.07663652498331,0.04161010250911935,26,300,41
12,0.79249415,0.670142109711984,0.5762482295910287,0.10979275813056238,0.04018960154571138,10,800,10
13,0.77138406,0.5050255600621458,0.6507767373014985,0.0019411556401035645,0.011238802982889417,16,300,63
14,0.84824331,0.9429713686391674,0.2797798645132481,0.012198586832136007,0.24136575463809007,19,700,63
15,0.77338233,0.541095216196133,0.9238427486873033,0.36212201897479973,0.06247611888452928,2,600,2
16,0.76575164,0.5239484918647122,0.967427676570284,0.26196244622421133,0.052026150289218885,2,600,2
17,0.75577761,0.5006870983204937,0.9966248281800996,0.006967563587992412,0.03239466475849246,2,600,3
18,0.76045776,0.5002890427921882,0.9165753581519402,0.0012279773415242229,0.027174736441867957,2,600,4
19,0.75494568,0.5265926697669444,0.977991916354623,0.0013189035689038207,0.026333865735599517,3,600,2
20,0.76539839,0.5154392618404031,0.5583757582809725,0.003995228565680647,0.08235340523636603,2,500,2
21,0.75858778,0.51559829929771,0.9934352467646204,0.0010214169024590992,0.02653047926393084,2,500,3
22,0.77422439,0.6039107890282254,0.9519996373759955,1.4292492203715796,0.0674264953314596,3,500,2
23,0.82420072,0.598217445584372,0.4841665236818933,0.004432463952066741,0.09659892094109904,7,500,10
24,0.75981688,0.5991912781766988,0.9942889645912406,0.04988231362313064,0.02256532478527433,7,500,12
25,0.77406830,0.5998180710468171,0.8619979915467395,0.05542157719787419,0.026608997469512067,8,700,11
26,0.77115484,0.5854830380549291,0.9869341883526971,0.0011150545381304802,0.025996822411016283,7,600,11
27,0.77287162,0.5762067861121117,0.9892526267201324,0.0035025759135415883,0.025470673273748412,7,600,10
28,0.77013567,0.5832012133323948,0.9977279255734187,0.004332180292237267,0.024782092174782343,7,500,10
29,0.77150666,0.5622615955383898,0.9970232116039809,0.012081641224163947,0.023222117646688294,7,700,10
30,0.77662828,0.5597941303496239,0.8478688601319857,0.010367332772554716,0.0303561570927931,6,700,15
31,0.77449779,0.5721914251800092,0.8613523072527633,0.0155266636424746,0.03190737314130942,6,700,16
32,0.78527008,0.680424463358526,0.8334283084228246,0.012058373159241225,0.03163574093267212,11,700,16
33,0.78099768,0.6769401049558832,0.8516997341401054,0.01218585526060875,0.03340112680953828,11,700,17
34,0.77264888,0.6903669141573963,0.7915070683664321,0.012689589980869116,0.035832008760070116,5,400,20
35,0.79701665,0.6829011088013374,0.7961900793586829,0.011599690667213412,0.034560121564101785,40,400,19
36,0.76222555,0.548066946066708,0.8746850164805582,0.0022320896007173405,0.01819327985748269,5,400,6
37,0.76249302,0.5497925065856686,0.8838346643013864,0.0021504343660021415,0.018163429473028965,5,400,6
38,0.77542367,0.6268347439134758,0.9295333492552696,0.9573371453387443,0.019535063425075258,13,400,6
39,0.76742884,0.6329671797571009,0.9298997753827785,0.6841730026995125,0.01883907702848566,5,400,6
40,0.76736954,0.6286047683841651,0.9173084806667716,0.001925607378215588,0.018508921383254582,14,200,6
41,0.76946628,0.6368356069973199,0.9359544322714468,0.027987228352593645,0.020036059608024556,14,200,6
42,0.78472801,0.6322793135125678,0.9400262874549765,1.1273046780135154,0.04826713453175675,15,100,6
43,0.77747406,0.6245206773314164,0.7302187638127938,0.641274228206418,0.020409716481744188,14,200,24
44,0.78104260,0.7345209390760342,0.9451445389131387,0.034502630278826864,0.04679910642187523,14,100,7
45,0.76457698,0.5304174219565201,0.7291719203518353,0.047754872967813757,0.01439464422508312,4,500,25
46,0.75916636,0.5269786457408513,0.9364112524091585,0.0010118430631261398,0.015352205453570652,4,500,5
47,0.76729644,0.5017480177775017,0.7102372312018773,0.0012175020571257751,0.015713125973242474,4,500,25
48,0.77750623,0.5019612285143201,0.746280947689617,0.001213730348511589,0.015449453597843449,3,600,14
49,0.76888540,0.5031472724078437,0.7335588579039697,0.0010439995957328939,0.013514092850344548,3,500,14
