trial,value,bagging_fraction,feature_fraction,lambda_l2,learning_rate,min_data_in_leaf,nrounds,num_leaves
0,0.92420475,0.799734422088349,0.3308468062636669,15.867190866317824,0.11135522591263383,10,500,16
1,0.86895577,0.7183394246309956,0.6751412802353423,0.33148954886106624,0.052157223284794545,31,400,59
2,0.87644851,0.9453036611579713,0.8640518130806407,27.835646865153446,0.04140157071013521,23,800,51
3,0.88739037,0.634632603706929,0.30178836048489455,0.001556558061538754,0.04891990918215924,27,700,4
4,0.86664439,0.8246731571785451,0.5987586351924233,0.09234820501395098,0.017348911828654688,25,100,4
5,0.91461171,0.6644326406752508,0.32288771259346466,7.29376600736915,0.022129026650465507,2,500,28
6,0.93592678,0.6809436847773391,0.6401633096128856,0.010446955918531039,0.05581082421459495,8,600,59
7,0.91900246,0.6360127715119811,0.6757390729864166,0.4495270283642244,0.04973349699199034,22,900,32
8,0.91566123,0.744597759385186,0.815217054201997,0.11370047096559092,0.014890076422648686,2,400,51
9,0.91634195,0.982178018117676,0.9836879346035676,0.0018308759546982862,0.10517214166510283,24,700,17
10,0.90884733,0.6142426694150152,0.4333796114813625,0.03307512799205896,0.013330637981032185,2,200,36
11,0.88013116,0.5323339582594246,0.6119396548667138,1.1102817410529338,0.01064587554429208,11,800,17
12,0.90264917,0.9758799601366871,0.31932782701213763,5.096409579456642,0.021141864690645534,14,300,9
13,0.87839776,0.6247888158673991,0.7899662924176649,33.49809970766695,0.014604171001592555,11,200,21
14,0.91410243,0.9944127844713104,0.6304288351789615,2.7022693710547374,0.2844766876413607,30,200,29
15,0.90161250,0.8360978461023519,0.49662385315776425,0.03793104286632408,0.010133845282154077,37,100,39
16,0.90375969,0.8087601310940427,0.5027889832988608,0.12892417194066924,0.010336420080956463,40,100,44
17,0.90213138,0.7925142413800594,0.5287966384880044,0.11245195076768735,0.01020476469635377,39,100,46
18,0.86362858,0.766880724541761,0.49147237873223537,0.2706802976417237,0.028194203303477536,35,400,45
19,0.85854036,0.5054195064497424,0.4807202052651472,0.6175680395854342,0.0293865216732991,32,400,62
20,0.85367671,0.5252182007542898,0.7801551945172631,1.054872680792962,0.02998399818456091,32,400,57
21,0.85981097,0.7363023274865732,0.7667653074408296,0.012735807511204228,0.029006155864035828,32,400,62
22,0.85493720,0.739107467036309,0.7617984406439876,0.23470890703107333,0.02921915339152019,33,400,56
23,0.86651069,0.8889111812056012,0.41501043291110196,0.01708398141659517,0.02889578450953024,33,400,52
24,0.86257412,0.5273486282015243,0.20293980256566874,1.0691895730965064,0.029560602687111588,34,400,52
25,0.85639674,0.5017667964675225,0.7737775679187977,1.3368702693625438,0.03246320732098969,34,400,63
26,0.86290669,0.5023598393755638,0.22330549196027882,1.226284100898654,0.031497333048024,33,400,62
27,0.88464682,0.5608763243118259,0.7584981347663122,1.4280816360133988,0.07719656987555697,31,500,62
28,0.90021103,0.5710129938184885,0.9241417268910874,1.329721420826663,0.07781494205837476,28,500,52
29,0.89494963,0.5003634609655031,0.9459596091132427,1.2886837037324537,0.07624401219897681,28,500,56
30,0.91182869,0.5765153491302114,0.8680675568954331,1.83962935460744,0.07499381588184185,18,500,56
31,0.90326218,0.5765619894442574,0.87555545944031,3.348878048364312,0.08076164735864619,28,600,55
32,0.87150006,0.5814080189805447,0.877033063975695,3.0760992677451244,0.03802834282018918,19,300,55
33,0.87099177,0.5819796155072616,0.8553781785048447,3.9204181576024864,0.03961597321901495,19,300,55
34,0.94915073,0.572560999079796,0.8278536624121896,10.534004903477312,0.23281068068251895,20,300,55
35,0.86575083,0.8683195898388885,0.8156777773520991,10.694591318922651,0.03914328417650038,20,300,47
36,0.85748737,0.5376933654978341,0.7431894712774065,9.834198136066718,0.02249328872614398,37,300,48
37,0.85601806,0.5489935658956592,0.7195376026814215,0.48222553550337993,0.02156004785442619,36,300,48
38,0.85986536,0.5322295882598296,0.7180868702065317,0.5610991559510589,0.022361612923177527,36,300,48
39,0.86334172,0.5366355719535335,0.7099036121923507,0.29477684683818817,0.022720305125068528,36,600,49
40,0.85616604,0.8635049121522153,0.7157560438673668,17.954911231566356,0.021749597843480784,36,600,48
41,0.85845843,0.8764424215903605,0.701657657313504,0.21472286054838582,0.01847759469964971,36,600,40
42,0.84860628,0.6909567781893643,0.7009668172571804,0.2427604106841497,0.017795528011997453,38,600,58
43,0.85743429,0.685668973075489,0.8153375581073085,0.24906096775827263,0.018555412339462184,38,1000,59
44,0.85267967,0.664972849133172,0.6877155838546017,0.24199482036570275,0.017082117494402662,26,200,42
45,0.85613740,0.6942939572784569,0.5695347984484272,0.18259714217422773,0.017868550393282005,26,200,40
46,0.87075801,0.697026976195129,0.6875013595413045,0.05985506071541285,0.01785263127411997,26,1000,41
47,0.85623302,0.6909118919897229,0.5765967307645713,0.1942319943800267,0.016177994897138576,26,200,41
48,0.86340642,0.7003864106590904,0.5788151788465004,0.057685620119534584,0.014790693975335055,26,1000,41
49,0.86213658,0.6518961723010661,0.6525757435465125,0.06699943799143687,0.015328855948422851,39,1000,59
