trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.71891992,19,0.8489524856377197,1500,0.5782874272791738
1,0.71634494,11,0.9192497383472091,750,0.5006826480877208
2,0.74943966,30,0.34277884404018,750,0.5838296447161033
3,0.73236732,19,0.47420909388215093,500,0.7025687188586799
4,0.77945226,21,0.12789376288268298,1250,0.9267451736977668
5,0.79724548,29,0.07188721618707254,1250,0.8611991520575868
6,0.74057797,27,0.3111010937649232,750,0.9554857810401313
7,0.72221195,12,0.5609962268143145,1000,0.9617198567168894
8,0.71798335,9,0.8996832255365989,1500,0.4464814913858338
9,0.71857931,24,0.7799183135000478,1000,0.8711287605969791
10,0.78766024,3,0.08810419809978208,750,0.599675978614288
11,0.72999975,29,0.6048856553975741,1250,0.48346544070152186
12,0.72559815,30,0.5672809475529788,500,0.9893554921003934
13,0.76814210,21,0.22621861480325184,250,0.4681233366017532
14,0.75556020,23,0.2735360065408205,750,0.5252453987947799
15,0.71882719,1,0.9957501399263162,250,0.4251606177303551
16,0.71689912,6,0.9329897389097794,1500,0.4068787217931449
17,0.71626762,8,0.9357443378964097,1000,0.7854835527415246
18,0.71649960,9,0.9871821442490807,1000,0.7850091458225069
19,0.71625241,12,0.9961940229988397,1000,0.7633108854977814
20,0.71647689,10,0.9991025553392453,1500,0.4000388675350967
21,0.71634147,9,0.987512664968568,1500,0.699830404978148
22,0.71817633,10,0.7340403273486895,1000,0.6700474377049466
23,0.71793390,14,0.745025256947498,1000,0.6654656647455819
24,0.71956958,15,0.7207243419279815,1000,0.7064377497905077
25,0.71905434,15,0.7581113283653533,500,0.6877895410505617
26,0.71827224,14,0.7850903039229814,1000,0.7066351202197674
27,0.71732016,14,0.7674314184429443,1000,0.757407304912604
28,0.71673274,6,0.8350158294275563,1000,0.7420660037789133
29,0.71537714,5,0.8555988682581759,1250,0.7636736128866423
30,0.71566674,6,0.8423395086323376,1250,0.7806234428862182
31,0.71768207,6,0.8375604617020875,1250,0.7730539408735241
32,0.71722774,6,0.835868631140751,1250,0.7732166329726997
33,0.71517639,7,0.8683136438921747,1250,0.7959628830744405
34,0.71579883,7,0.8734958637320804,1250,0.8087370425215742
35,0.71522068,6,0.8560506332155197,1250,0.8313706299287782
36,0.71583451,5,0.8650458903385903,1250,0.8330244263192152
37,0.71429889,4,0.8858419709551013,1250,0.8225338798348761
38,0.71513774,3,0.89514041614789,1250,0.828797464743352
39,0.71846881,3,0.65665117953242,1250,0.8374203026118925
40,0.71736575,4,0.6587902121791007,1250,0.8382133640934226
41,0.71750036,3,0.6580984885119794,1250,0.8375009705747809
42,0.71745996,3,0.653252124459452,1250,0.8739083746405659
43,0.71735924,3,0.6869034025977555,1500,0.8840074983507152
44,0.71825314,3,0.676379959499952,1500,0.8989421888444733
45,0.71739163,2,0.9187071030001759,1500,0.8996381683610596
46,0.71843843,1,0.9188567948567139,1500,0.9117884191343721
47,0.71764263,1,0.9209339939866281,1500,0.8870306171092115
48,0.71851830,1,0.9165264731530972,1500,0.9154669990141273
49,0.71818723,1,0.9257724933891117,1500,0.909639297144192
