trial,value,min_node_size,mtry_frac,num_trees,sample_fraction
0,0.76415367,3,0.9759476777752937,1000,0.7973445241541318
1,0.76430654,24,0.4701964689200327,1250,0.8677798875019723
2,0.76135153,13,0.5107337930455448,1500,0.7144535853780416
3,0.78837698,1,0.21775640092589402,1000,0.8538072004011448
4,0.81877430,8,0.08977945988238208,1000,0.8739664346346272
5,0.76621884,13,0.4151333420430556,750,0.8375445886290388
6,0.76100199,18,0.4943269729766881,250,0.8660306496611354
7,0.80043199,13,0.16966973649267492,250,0.8464141442436539
8,0.77171743,18,0.3485375032728609,1250,0.9212440111682899
9,0.76386903,4,0.5056791963236755,1000,0.4250193849112006
10,0.76600276,12,0.3959659724704585,1000,0.7281405852596377
11,0.76521011,23,0.8638504488183151,750,0.8459465254887745
12,0.76434689,25,0.8406074254052563,750,0.8816527476630845
13,0.81158424,2,0.12997254878863498,250,0.8397802695515286
14,0.75878158,14,0.859829324179007,1000,0.6635426653052712
15,0.75496728,30,0.8177832586372651,250,0.40483059141903915
16,0.75726202,21,0.7643597105740889,1500,0.6567828251663552
17,0.75661636,30,0.8275238354539287,500,0.4052215824875462
18,0.75517406,30,0.8423869336508077,500,0.4089534594884825
19,0.75244180,28,0.8814275666144571,500,0.4092733958115963
20,0.75726097,30,0.7084044176170659,500,0.4073435335164771
21,0.75701241,30,0.6992072866813239,500,0.5076194476053377
22,0.75309283,27,0.9949417315181575,500,0.5190253275870457
23,0.75345687,26,0.9793112464523811,500,0.49319750327110273
24,0.75288935,25,0.9978022026666015,250,0.5140364138198608
25,0.75420611,26,0.9936628707267217,750,0.5399252382763933
26,0.75395745,26,0.9924509269867842,250,0.5110507263151127
27,0.75505828,26,0.9748760695365986,500,0.5589774645469563
28,0.75727673,21,0.9819803554841009,250,0.5627811631729216
29,0.75702861,22,0.9415295572830441,500,0.5897032087932049
30,0.75700587,27,0.9664860071536729,750,0.5692949551926633
31,0.75619214,27,0.7030403739286017,750,0.5726150828699097
32,0.75844521,27,0.6288044273978235,750,0.4710990939074721
33,0.75864472,28,0.606184471255491,750,0.4776462075774385
34,0.75802759,28,0.6306411654127614,500,0.4575583027913148
35,0.76003339,28,0.6158447727854113,750,0.46854645236448733
36,0.75356437,27,0.9123562079976553,750,0.46852758787630205
37,0.75444834,24,0.9214170762657308,500,0.47016376306362745
38,0.75837004,24,0.9134188932199825,500,0.6153215655480682
39,0.75830775,24,0.9160355650168457,500,0.6053725089176242
40,0.75907153,19,0.9185053530669072,500,0.6253309574011335
41,0.75426328,19,0.9209702801924133,500,0.5042182215988393
42,0.75923078,19,0.9205250265471512,250,0.6211218441879093
43,0.75578039,20,0.9042546162309253,250,0.6301649737573158
44,0.76951233,18,0.8809516162264459,250,0.9890907636013002
45,0.75269547,18,0.7712122903565205,250,0.5268124077578524
46,0.75420091,22,0.7769977014429763,250,0.5188045518151597
47,0.75479977,25,0.759998126616775,250,0.4361607018293913
48,0.75159496,22,0.7743343234993336,250,0.5377547467029403
49,0.75130897,21,0.7747521715455856,250,0.5292292119575869
