unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00057,51.4,0.4699,0.482,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.15675,54.1,0.09467,0.2127,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.36451,51.4,0.09216,0.2127,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.00546,51.4,0.2731,0.3724,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.05353,62.2,0.212,0.3487,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00084,57.3,0.09742,0.2127,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.90705,66.7,0.0004111,0.01233,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.65085,64,0.003625,0.02719,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.0191,52,0.347,0.4526,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.00465,48,0.4527,0.482,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00057,59.5,0.2345,0.3517,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.65128,64.9,0.02084,0.06948,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.39227,56.8,0.0167,0.06803,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01894,56.8,0.1867,0.3487,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.01308,59.5,0.2208,0.3487,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00084,53.3,0.1826,0.3487,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.78132,61.3,0.002587,0.02587,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.647,61.3,0.01216,0.06078,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,0.00901,49.3,0.4319,0.4799,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.00065,49.3,0.3888,0.4665,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00034,54.1,0.482,0.482,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.65128,62.2,0.02966,0.08899,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-0.69097,62.2,0.007573,0.04544,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.0166,54.1,0.2534,0.362,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.03203,59.5,0.2076,0.3487,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00093,56,0.09925,0.2127,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.78132,62.7,0.001487,0.02231,*
