unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00048,45.5,0.4871,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.61993,59.1,0.2085,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.73045,72.7,0.05583,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.00453,54.5,0.5388,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00151,50,0.7821,0.8584,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00043,47.6,0.8076,0.8652,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.3806,66.7,0.3383,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,0.02415,47.6,0.5553,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.00695,57.1,0.4174,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.00829,57.1,0.3905,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00083,40.9,0.6149,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.29861,36.4,0.7724,0.8584,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.82899,63.6,0.1148,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,-0.01579,59.1,0.3727,0.8352,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.00812,59.1,0.4612,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00089,54.5,0.3365,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.64632,63.6,0.1993,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.96208,68.2,0.1571,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00453,54.5,0.6753,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.0113,54.5,0.6273,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00118,28.6,0.9881,0.9881,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.48417,47.6,0.867,0.9073,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,0.02415,47.6,0.569,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.02339,66.7,0.1406,0.8352,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.01023,47.6,0.6617,0.8352,ns
