response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0352,0.039,-0.84,52.7,0.529,0.6689, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0346,0.0393,-0.75,52.7,0.4061,0.5915, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0333,0.0344,0.2,48.4,0.673,0.7918, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0341,0.0346,-0.33,53.8,0.5351,0.6689, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0357,0.0397,0.33,48.4,0.7438,0.8421, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0364,0.0396,-1.15,55.9,0.4136,0.5915, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0329,0.0356,1.21,41.9,0.9548,0.9548, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0344,0.0358,-0.48,52.7,0.3146,0.4968, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0265,0.026,-0.4,52.7,0.2827,0.4585, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0253,0.0256,0.07,48.4,0.4316,0.5915, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0275,0.0274,0.17,48.4,0.4771,0.6223, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0273,0.0258,-0.03,50.5,0.424,0.5915, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.0332,5.4594,-10.83,66.7,0.0008728,0.006632,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.935,5.4518,-11.78,65.6,0.001401,0.007642,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.9251,5.251,-4.23,60.2,0.0004348,0.004721,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.909,5.3325,-3.52,58.1,0.0008843,0.006632,**
GPPsat,Anomaly / 24m,C vs C+D,93,6.1044,5.5662,-8.22,66.7,0.001283,0.007642,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,5.9712,5.4991,-9.23,63.4,0.002261,0.009603,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.0859,5.4569,-3.69,59.1,0.0004721,0.004721,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.064,5.3967,-3.59,55.9,0.001366,0.007642,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6338,3.5951,0.53,45.2,0.8067,0.8644, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.3666,3.3198,-0.09,50.5,0.4436,0.5915, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.5283,3.5675,0.17,48.4,0.4421,0.5915, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.4016,3.2522,-1.11,53.8,0.155,0.2657, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.069,4.8101,-9.76,62.4,0.003185,0.01194,*
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.0315,4.7854,-9.48,63.4,0.001796,0.008287,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.6957,4.4044,-6.46,65.6,0.0001581,0.003161,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.5769,4.8902,-6.3,68.8,5.359e-05,0.001608,**
NEPmax,Anomaly / 24m,C vs C+D,93,5.4593,4.9146,-9.68,63.4,0.002401,0.009603,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.2072,4.8047,-11.43,64.5,0.001568,0.007838,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.8189,4.6216,-3.49,63.4,0.0003434,0.004721,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.8875,4.6401,-5.89,69.9,3.165e-05,0.001608,**
