model,response,n_predictors,n_pairs,RMSE,MAE,R2
M1_12m,GPPsat,143,414,7.71160806433017,6.19483011299554,0.263255750350056
M1_24m,GPPsat,286,414,7.6104930873374,6.10067695740595,0.282449537291322
M2_12m,GPPsat,278,414,6.68874391370002,5.26706432337589,0.445736863827053
M2_24m,GPPsat,421,414,6.76217460409121,5.32481751584657,0.433500386481819
M3_12m,GPPsat,164,414,7.2999537725484,5.67011014407584,0.339812834563454
M3_24m,GPPsat,307,414,7.30761843232352,5.69743333632652,0.338425766473605
M4_12m,GPPsat,299,414,6.63220627299323,5.11607702163909,0.455067252664754
M4_24m,GPPsat,442,414,6.72103688781628,5.23204981362522,0.440372026219149
M5_raw_12m,GPPsat,144,414,6.29042329793266,4.88704497468125,0.509784996052906
M5_raw_24m,GPPsat,288,414,6.00907591524249,4.64242172278149,0.552655359520632
M5_anom_12m,GPPsat,144,414,7.72884805892979,6.2140878624743,0.259957951910102
M5_anom_24m,GPPsat,288,414,7.61330489665093,6.10370418577056,0.281919220064911
M6_raw_12m,GPPsat,279,414,5.9982750359446,4.6533197895104,0.554262053529807
M6_raw_24m,GPPsat,423,414,5.82182862067524,4.52892230448314,0.580100177751082
M6_anom_12m,GPPsat,279,414,6.68394987614899,5.25881834381406,0.446531095475595
M6_anom_24m,GPPsat,423,414,6.76035583416357,5.33927035076366,0.43380507956093
M7_raw_12m,GPPsat,165,414,6.37391383398756,4.85796688865792,0.496685741858029
M7_raw_24m,GPPsat,309,414,6.06915135091166,4.6231399642249,0.54366603656741
M7_anom_12m,GPPsat,165,414,7.32855274089013,5.68327487891044,0.334629882243724
M7_anom_24m,GPPsat,309,414,7.2895983296806,5.68288995578314,0.341684539963977
M8_raw_12m,GPPsat,300,414,6.08129076882934,4.61287075017364,0.541838707338274
M8_raw_24m,GPPsat,444,414,5.88364381271726,4.45217238745351,0.571135988298016
M8_anom_12m,GPPsat,300,414,6.64356882181078,5.11088851483811,0.453198454040539
M8_anom_24m,GPPsat,444,414,6.69849882174928,5.16998437641794,0.444119002941863
M1_12m,NEPmax,143,414,7.63004921099452,5.86070809912849,0.269378076414599
M1_24m,NEPmax,286,414,7.55295306006497,5.77078153314464,0.284068298958078
M2_12m,NEPmax,278,414,6.40901080583917,4.90700123445291,0.484510255601092
M2_24m,NEPmax,421,414,6.44855515868096,4.92984943985024,0.478129365636614
M3_12m,NEPmax,164,414,7.23081843376283,5.43045953174452,0.343835191033598
M3_24m,NEPmax,307,414,7.13862273805771,5.34874393457281,0.360461220520192
M4_12m,NEPmax,299,414,6.32454101854362,4.7625005642508,0.498008863507579
M4_24m,NEPmax,442,414,6.40756270245914,4.83146270652861,0.484743177070794
M5_raw_12m,NEPmax,144,414,5.98916988700359,4.43525031527873,0.549835455473109
M5_raw_24m,NEPmax,288,414,5.79693344117274,4.2447478437772,0.57826985062144
M5_anom_12m,NEPmax,144,414,7.68116737999619,5.90977624519853,0.259555554389268
M5_anom_24m,NEPmax,288,414,7.5503076622822,5.78837282060903,0.28456971673442
