model,response,n_predictors,n_pairs,RMSE,MAE,R2
M1_12m,GPPsat,143,395,7.64285025899144,6.06548639991238,0.229888839573815
M1_24m,GPPsat,286,395,7.68105107216454,6.0946015694493,0.222171196840818
M2_12m,GPPsat,243,395,6.97321555040026,5.48028346991479,0.358924919628006
M2_24m,GPPsat,386,395,7.07992370539103,5.5659178660389,0.339154600654559
M3_12m,GPPsat,164,395,7.65006919545234,5.99634663175865,0.228433359259142
M3_24m,GPPsat,307,395,7.62863230857304,5.97453626268376,0.23275144118704
M4_12m,GPPsat,264,395,7.03754043970299,5.41426443154623,0.347043089678426
M4_24m,GPPsat,407,395,7.06592670105573,5.476728755989,0.341764999530227
M5_raw_12m,GPPsat,144,395,6.33080878215436,4.91667564822442,0.471602069719426
M5_raw_24m,GPPsat,287,395,6.75042297846044,5.24642822945282,0.399234909878814
M5_anom_12m,GPPsat,144,395,7.64265546660928,6.04530048573428,0.229928094529943
M5_anom_24m,GPPsat,287,395,7.71465757840849,6.09353267173072,0.215349918602284
M6_raw_12m,GPPsat,244,395,6.21432556926317,4.82048223188779,0.490867618006029
M6_raw_24m,GPPsat,387,395,6.46609745154375,5.02828094751717,0.448777156833464
M6_anom_12m,GPPsat,244,395,6.9793821491861,5.47879031662994,0.357790579016668
M6_anom_24m,GPPsat,387,395,7.09555551726638,5.59354125750169,0.336233208994637
M7_raw_12m,GPPsat,165,395,6.55576355048395,5.03378761358194,0.433383420402993
M7_raw_24m,GPPsat,308,395,6.74386737429206,5.21448306246542,0.400401197023717
M7_anom_12m,GPPsat,165,395,7.63705130569085,5.96748315162274,0.231057027957493
M7_anom_24m,GPPsat,308,395,7.57724994082189,5.93620779322128,0.243052181813789
M8_raw_12m,GPPsat,265,395,6.28951561947337,4.76898642257552,0.478472617767912
M8_raw_24m,GPPsat,408,395,6.49672945156113,4.97784067787099,0.443542143514945
M8_anom_12m,GPPsat,265,395,7.00378138625316,5.41585895801036,0.353292527769973
