response,mtry_frac,mtry,min_node,ntrees,cv_rmse,n_pred
GPPsat,0.2,88,3,500,5.16376263491804,444
GPPsat,0.2,88,3,1000,5.1583673178219,444
GPPsat,0.2,88,5,500,5.16892515038677,444
GPPsat,0.2,88,5,1000,5.16647528039222,444
GPPsat,0.2,88,10,500,5.16715929303875,444
GPPsat,0.2,88,10,1000,5.16568229290288,444
GPPsat,0.33,146,3,500,4.83947128810218,444
GPPsat,0.33,146,3,1000,4.84868798003651,444
GPPsat,0.33,146,5,500,4.85312779921674,444
GPPsat,0.33,146,5,1000,4.85545976662992,444
GPPsat,0.33,146,10,500,4.82994606579428,444
GPPsat,0.33,146,10,1000,4.84377046436705,444
GPPsat,0.5,222,3,500,4.67557116976228,444
GPPsat,0.5,222,3,1000,4.67776194672605,444
GPPsat,0.5,222,5,500,4.674263518069,444
GPPsat,0.5,222,5,1000,4.68415190587753,444
GPPsat,0.5,222,10,500,4.66817107933398,444
GPPsat,0.5,222,10,1000,4.67167323703388,444
GPPsat,0.7,310,3,500,4.6293717137019,444
GPPsat,0.7,310,3,1000,4.62463318555294,444
GPPsat,0.7,310,5,500,4.62581498864645,444
GPPsat,0.7,310,5,1000,4.62201235260593,444
GPPsat,0.7,310,10,500,4.62275089821378,444
GPPsat,0.7,310,10,1000,4.61761642597913,444
GPPsat,1,444,3,500,4.61805549839735,444
GPPsat,1,444,3,1000,4.6257651675223,444
GPPsat,1,444,5,500,4.61979242668487,444
GPPsat,1,444,5,1000,4.62516268792214,444
GPPsat,1,444,10,500,4.6185478121734,444
GPPsat,1,444,10,1000,4.62053474939754,444
NEPmax,0.2,88,3,500,4.65709844456542,444
NEPmax,0.2,88,3,1000,4.64534816277141,444
NEPmax,0.2,88,5,500,4.67782743221061,444
NEPmax,0.2,88,5,1000,4.65684751784895,444
NEPmax,0.2,88,10,500,4.66168115895153,444
NEPmax,0.2,88,10,1000,4.64704933224011,444
NEPmax,0.33,146,3,500,4.29260515993848,444
NEPmax,0.33,146,3,1000,4.30135508802652,444
NEPmax,0.33,146,5,500,4.29382187591465,444
NEPmax,0.33,146,5,1000,4.30108179786065,444
NEPmax,0.33,146,10,500,4.29168975960389,444
NEPmax,0.33,146,10,1000,4.30338708178387,444
