model,response,R2_base,RMSE_base,R2_e1,RMSE_e1,R2_e2,RMSE_e2,dataset,mem
M1_12m,ETmax,0.292716186169521,0.0585917635374193,0.277779685479884,0.0592072050626801,0.292716186169521,0.0585917635374193,All sites (112),none
M1_12m,GPPsat,0.263255750350056,7.71160806433017,0.275800730466231,7.64567111641128,0.263255750350056,7.71160806433017,All sites (112),none
M1_12m,NEPmax,0.269378076414599,7.63004921099452,0.265751516311053,7.64896226229873,0.269378076414599,7.63004921099452,All sites (112),none
M1_12m,WUE,0.204507529299701,1.09639165259024,0.198519256814811,1.10051059943238,0.204507529299701,1.09639165259024,All sites (112),none
M1_12m,uWUE,0.115175095009128,1.03522140128829,0.0858293774254908,1.05224822788894,0.115175095009128,1.03522140128829,All sites (112),none
M1_24m,ETmax,0.318279652836527,0.0575231736073209,0.308054060595181,0.057952982672998,0.318279652836527,0.0575231736073209,All sites (112),none
M1_24m,GPPsat,0.282449537291322,7.6104930873374,0.280356557281493,7.62158430135707,0.282449537291322,7.6104930873374,All sites (112),none
M1_24m,NEPmax,0.284068298958078,7.55295306006497,0.277514286187864,7.58744613686229,0.284068298958078,7.55295306006497,All sites (112),none
M1_24m,WUE,0.203637469763585,1.09699107078355,0.178693585322998,1.11403873396552,0.203637469763585,1.09699107078355,All sites (112),none
M1_24m,uWUE,0.106349196930062,1.04037162211632,0.0717529553035229,1.06031855207709,0.106349196930062,1.04037162211632,All sites (112),none
M2_12m,ETmax,0.398622987542821,0.0540272822746984,0.385269980413545,0.0546238014910792,0.398622987542821,0.0540272822746984,All sites (112),none
M2_12m,GPPsat,0.445736863827053,6.68874391370002,0.437416850128228,6.73875910399412,0.445736863827053,6.68874391370002,All sites (112),none
M2_12m,NEPmax,0.484510255601092,6.40901080583917,0.493538049084401,6.35264228232492,0.484510255601092,6.40901080583917,All sites (112),none
M2_12m,WUE,0.184527677818251,1.11007493428331,0.159391732014275,1.12705344881757,0.184527677818251,1.11007493428331,All sites (112),none
M2_12m,uWUE,0.133333234324709,1.02454407006184,0.123782781875351,1.0301737137973,0.133333234324709,1.02454407006184,All sites (112),none
M2_24m,ETmax,0.396334395493135,0.0541299873936691,0.384254941813823,0.0546688801405374,0.396334395493135,0.0541299873936691,All sites (112),none
