response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0404,0.0359,-3.46,55.4,0.0911,0.1822, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0388,0.0353,-1.39,50.9,0.1116,0.1914, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.034,0.0352,-3.49,55.4,0.06763,0.1561, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0331,0.0355,-0.89,50.9,0.2318,0.3073, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0385,0.0379,-4.17,53.6,0.08239,0.1822, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.038,0.0364,-2.1,51.8,0.09795,0.1896, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0328,0.0328,-1.81,53.6,0.3165,0.3723, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0328,0.0336,0.37,49.1,0.5548,0.5937, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0269,0.0262,-3.22,54.5,0.1036,0.1914, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0258,0.028,-1.86,53.6,0.2658,0.3247, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0247,0.0248,0.64,48.2,0.3676,0.4242, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0253,0.024,-0.69,52.7,0.2407,0.3073, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.9682,5.083,-15.56,67.9,5.348e-06,6.418e-05,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.8801,5.2031,-18.43,67,1.288e-05,0.0001192,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.0357,4.4413,-12.92,70.5,2.945e-06,5.889e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.0758,4.2963,-12.95,70.5,2.711e-06,5.889e-05,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.8293,4.835,-18.42,71.4,6.75e-07,4.05e-05,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.7295,5.0402,-16.85,71.4,4.74e-06,6.418e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.0282,4.5707,-11.9,66.1,2.009e-05,0.0001339,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.1214,4.523,-12.95,65.2,1.391e-05,0.0001192,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.4769,3.2463,-0.25,51.8,0.238,0.3073, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.6172,3.4455,-3.09,55.4,0.1768,0.272, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.2754,3.2245,-1.52,54.5,0.2028,0.3042, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2043,3.323,2.71,41.1,0.7726,0.7857, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.6538,4.4606,-20.1,67,7.62e-05,0.0003517,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.6038,4.4699,-16.02,67,4.633e-05,0.0002401,***
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.3012,4.3128,-14.37,62.5,0.0002513,0.0009946,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.3925,4.0438,-10.63,63.4,0.0001167,0.0005003,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.7042,4.3507,-20.05,66.1,4.803e-05,0.0002401,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,5.0403,4.193,-19.31,65.2,1.863e-05,0.0001339,***
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.2824,4.3127,-12.23,63.4,0.0002652,0.0009946,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.4248,4.2493,-15.31,67.9,2.515e-05,0.0001509,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.8564,2.7135,-1.1,52.7,0.238,0.3073, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.0633,2.9356,-2.49,55.4,0.4337,0.491, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.5349,2.4987,-1.47,57.1,0.2204,0.3073, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.5739,2.4997,-2.62,57.1,0.2706,0.3247, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7255,0.7023,-6.77,55.4,0.01323,0.04409,*
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.6869,0.7101,-10.56,59.8,0.005893,0.0208,*
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.738,0.7254,-4.12,58.9,0.08828,0.1822, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7766,0.7103,-4.69,58.9,0.01747,0.0524, ns
WUE,Anomaly / 24m,C vs C+D,112,0.6874,0.6961,-6.55,59.8,0.01836,0.05247, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7313,0.7061,-8.46,57.1,0.01556,0.04913,*
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.7492,0.7235,-4.02,56.2,0.04115,0.1087, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7697,0.712,-3.04,56.2,0.06688,0.1561, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4588,0.4539,-0.78,51.8,0.16,0.2527, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4536,0.4957,-0.68,52.7,0.4509,0.501, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.417,0.4165,-1.31,53.6,0.5594,0.5937, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4127,0.4185,-0.12,50,0.8678,0.8678, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.6356,0.6541,-4.69,55.4,0.1094,0.1914, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.6495,0.6185,-0.71,51.8,0.2178,0.3073, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.6821,0.6609,-4.7,54.5,0.0911,0.1822, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7211,0.6701,-1.88,52.7,0.2545,0.3181, ns
uWUE,Anomaly / 24m,C vs C+D,112,0.7037,0.6469,-3.86,53.6,0.1173,0.1954, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.6677,0.6575,-6.15,57.1,0.05063,0.1266, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,112,0.7249,0.701,-1.69,53.6,0.04166,0.1087, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7052,0.6728,-3.16,54.5,0.11,0.1914, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4184,0.4579,0.24,50,0.564,0.5937, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4357,0.4646,-2.92,56.2,0.1443,0.234, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,112,0.3793,0.4117,-0.42,50.9,0.7049,0.7292, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.3862,0.414,-1.12,58,0.217,0.3073, ns
