unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00267,54.1,0.3093,0.3712,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.27433,59.5,0.04851,0.09702,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.2058,62.2,0.01008,0.0275,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.04596,54.1,0.1421,0.1853,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.03809,40.5,0.7168,0.7168,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00147,56,0.1049,0.143,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.96708,72,1.566e-05,0.0004697,***
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.14462,69.3,0.001365,0.008187,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.04399,56,0.01935,0.04466,*
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.06872,62.7,0.03172,0.06797,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00037,54.1,0.3474,0.4009,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.15084,59.5,0.005164,0.01676,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.2058,64.9,0.003623,0.01553,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03279,56.8,0.05324,0.09889,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.00082,51.4,0.3814,0.4238,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00233,56,0.08285,0.1243,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.63567,72,6.951e-05,0.0006951,***
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-1.14462,68,0.003141,0.01553,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.05404,54.7,0.05628,0.09889,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,-0.06522,57.3,0.09121,0.1303,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00037,51.4,0.4105,0.4398,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-1.19395,59.5,0.004528,0.01676,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.30898,67.6,0.001213,0.008187,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,0.00607,48.6,0.1867,0.2334,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.03809,48.6,0.4579,0.4737,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00153,57.3,0.06998,0.1105,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.63567,72,5.486e-05,0.0006951,***
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-1.0785,66.7,0.005585,0.01676,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.05404,58.7,0.01591,0.03979,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,-0.06522,58.7,0.05933,0.09889,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.0015,55.7,0.07488,0.1376,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.78687,68.9,5.491e-06,0.0001647,***
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-1.14485,67.9,0.0001735,0.001076,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.04446,55.7,0.01211,0.0519,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,-0.03262,56.6,0.08766,0.1376,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,0.00085,50,0.7353,0.7353,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,-0.0429,50,0.3375,0.405,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,-0.81475,50,0.2008,0.2739,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,-0.05231,50,0.5,0.5357,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,0.06608,33.3,0.6625,0.6854,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00147,55.8,0.08998,0.1376,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-0.71991,68.3,1.167e-05,0.0001751,***
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-1.14485,67.3,0.0001794,0.001076,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,-0.04282,54.8,0.03845,0.09592,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,-0.02271,52.9,0.2515,0.3281,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,-0.00108,50,0.4168,0.4631,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,8,-1.15119,62.5,0.117,0.1671,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,8,-1.13393,62.5,0.09172,0.1376,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,8,-0.3493,62.5,0.05366,0.115,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,8,-0.28076,87.5,0.04003,0.09592,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,102,-0.00147,55.9,0.09089,0.1376,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,102,-0.67335,67.6,2.358e-05,0.0002358,***
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,102,-1.11156,66.7,0.0003875,0.001938,**
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,102,-0.03722,53.9,0.06398,0.128,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,102,-0.01838,52,0.3177,0.3972,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,10,-0.00108,50,0.3799,0.4383,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,10,-1.53759,70,0.04157,0.09592,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,10,-2.30203,70,0.02639,0.07918,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,10,-0.3493,70,0.02075,0.06915,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,10,-0.24431,90,0.02075,0.06915,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,29,-0.00267,55.2,0.4144,0.4604,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,29,-0.27433,62.1,0.05723,0.09836,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,29,-1.27937,65.5,0.007274,0.02182,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,29,-0.01898,51.7,0.2445,0.2879,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,29,0.08069,41.4,0.7555,0.7555,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,83,-0.00147,55.4,0.08272,0.1241,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,83,-0.9592,69.9,1.246e-05,0.0003348,***
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,83,-1.05029,67.5,0.001619,0.009711,**
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,83,-0.04492,56.6,0.01181,0.03221,*
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,83,-0.06623,60.2,0.02453,0.06131,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,86,-0.00193,58.1,0.05272,0.09836,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,86,-0.71991,70.9,2.232e-05,0.0003348,***
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,86,-1.14485,66.3,0.002334,0.01167,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,86,-0.04544,55.8,0.05902,0.09836,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,86,-0.02483,54.7,0.2495,0.2879,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,0.00129,46.2,0.5505,0.5695,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-0.87999,57.7,0.03373,0.07783,ns
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,High,26,-1.17963,69.2,0.003288,0.01307,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,High,26,-0.02589,53.8,0.05479,0.09836,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,High,26,-0.07133,57.7,0.0933,0.1272,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,ETmax,Low+Mid,88,-0.0015,56.8,0.06955,0.1098,ns
M1vsM2_12m,natural_breaks,Relative Disturbance,GPPsat,Low+Mid,88,-0.56971,68.2,9.255e-05,0.0009255,***
