response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.039,0.0388,1.88,44.6,0.8841,0.9459, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0376,0.038,1.55,43.1,0.846,0.9417, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0388,0.0374,-2.46,55.4,0.09341,0.7006, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0381,0.0374,-3.02,56.9,0.1619,0.7025, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.04,0.042,1.58,46.2,0.9229,0.9459, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0404,0.0416,4.56,43.1,0.9547,0.9547, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0374,0.0404,0.12,49.2,0.4661,0.8797, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0393,0.0393,1.79,46.2,0.6903,0.9417, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0265,0.0266,2.8,40,0.9301,0.9459, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0264,0.0256,1.2,41.5,0.7475,0.9417, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0267,0.0254,0.43,47.7,0.5156,0.8797, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0259,0.0255,0.72,46.2,0.7777,0.9417, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.2109,5.0026,-0.44,50.8,0.4223,0.8737, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.3398,4.8492,-0.31,50.8,0.2546,0.7275, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1087,5.0018,-2.93,53.8,0.07808,0.6775, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.2523,4.9319,-0.28,50.8,0.2242,0.708, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.0624,4.8057,0.38,49.2,0.1942,0.7025, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.3427,4.9023,-0.57,52.3,0.3427,0.8469, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.4731,4.898,-1.51,53.8,0.07619,0.6775, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.1868,5.0213,-3.17,55.4,0.1224,0.7025, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.6613,3.6977,0.42,46.2,0.6645,0.9417, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.374,3.4449,1.99,46.2,0.846,0.9417, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.4586,3.4365,-1.59,53.8,0.3969,0.8667, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4864,3.362,-0.57,56.9,0.3427,0.8469, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4913,4.6997,-10.36,61.5,0.2089,0.7025, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4748,4.6298,-8.71,55.4,0.2381,0.7144, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,5.1618,4.4348,-8,66.2,0.006876,0.4126, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0198,4.4373,-7.71,52.3,0.05396,0.6775, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.4893,4.6168,-4.61,52.3,0.1836,0.7025, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.3598,4.7431,-5.17,58.5,0.2089,0.7025, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.7913,4.6233,-4.9,60,0.02694,0.6775, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.9324,4.4344,-5.78,55.4,0.07904,0.6775, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.3243,3.0499,-2.14,53.8,0.3572,0.8469, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.0173,2.9946,-1.59,56.9,0.4045,0.8667, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.0877,3.1263,-1.18,56.9,0.1733,0.7025, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,2.8152,3.1961,-2.32,56.9,0.2108,0.7025, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6806,0.6849,1.37,44.6,0.7017,0.9417, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6457,0.6787,-0.05,50.8,0.7619,0.9417, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.7001,0.688,2.4,41.5,0.9022,0.9459, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6683,0.6931,2.47,43.1,0.7967,0.9417, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6279,0.6417,-0.12,50.8,0.5468,0.8797, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6277,0.635,-1.13,56.9,0.5182,0.8797, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6469,0.6739,0.85,46.2,0.6501,0.9417, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6542,0.6779,0.01,49.2,0.4713,0.8797, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4923,0.5215,-0.19,50.8,0.367,0.8469, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.5224,0.5237,-0.71,53.8,0.2014,0.7025, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4809,0.4884,-2.45,63.1,0.05396,0.6775, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4962,0.4837,-1.28,53.8,0.1667,0.7025, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5462,0.5937,0.2,49.2,0.5339,0.8797, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.5728,0.5786,-0.33,52.3,0.5287,0.8797, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.6074,0.6024,1.08,47.7,0.8476,0.9417, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5943,0.6548,2.24,47.7,0.7454,0.9417, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.5467,0.5869,-1.9,56.9,0.2695,0.735, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5312,0.607,-1.06,53.8,0.5572,0.8797, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5558,0.6383,1.32,47.7,0.724,0.9417, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6126,0.601,-0.01,50.8,0.487,0.8797, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4362,0.4464,1.53,44.6,0.83,0.9417, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4612,0.4482,0.75,44.6,0.5854,0.9006, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4509,0.4423,0.98,36.9,0.9247,0.9459, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4603,0.4496,-0.26,50.8,0.7738,0.9417, ns
