unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00021,50,0.7313,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.29147,59.1,0.3365,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.82444,77.3,0.05958,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01265,40.9,0.7523,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.00432,50,0.4741,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00049,47.6,0.7109,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,0.10409,47.6,0.2545,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,0.31544,47.6,0.8169,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,0.00603,47.6,0.431,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.02688,42.9,0.8881,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00112,36.4,0.7724,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.33085,45.5,0.7625,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.42014,59.1,0.3017,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.01356,45.5,0.6516,0.8973,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.00578,54.5,0.1279,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00103,40.9,0.8973,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.18197,59.1,0.3017,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.60997,68.2,0.2179,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.00858,45.5,0.6869,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.00432,50,0.5517,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,-3e-05,52.4,0.5139,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.46074,38.1,0.6989,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.10926,52.4,0.8076,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,0.00854,47.6,0.3011,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.02688,42.9,0.8946,0.8973,ns
