response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0376,0.0392,0.24,50,0.4099,0.539, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0351,0.0399,2.24,46.4,0.6968,0.7488, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0338,0.0357,2.7,44.6,0.6938,0.7488, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0351,0.0361,-1.18,53.6,0.3975,0.539, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0355,0.0397,-0.1,50,0.3311,0.462, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0354,0.0385,3.61,44.6,0.6989,0.7488, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.036,0.0351,-0.28,51.8,0.5935,0.6874, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0352,0.0355,2.14,48.2,0.6978,0.7488, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0275,0.0285,2.7,45.5,0.7914,0.8331, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0293,0.0289,2.01,40.2,0.9361,0.9361, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0274,0.0275,2.7,46.4,0.904,0.9194, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0274,0.0274,1.73,48.2,0.4406,0.5507, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.6033,5.3186,-10.89,66.1,1.621e-05,0.0004862,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.5672,5.2142,-17.48,67,4.258e-05,0.0008516,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.3434,5.0352,-10.62,62.5,0.0005315,0.002658,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.7593,4.5966,-10.63,62.5,0.0001323,0.001368,**
GPPsat,Anomaly / 24m,C vs C+D,112,5.3233,5.3758,-9.38,58.9,0.001361,0.005104,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.3406,5.5134,-11.49,66.1,0.0004232,0.002539,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.3352,5.0406,-9.18,61.6,0.0009424,0.00377,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.3664,5.0024,-10.3,63.4,0.0001128,0.001368,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.6128,3.4627,-2.36,54.5,0.0103,0.03253,*
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.3889,3.5836,-7.26,60.7,0.03274,0.08928, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.4367,3.3465,-1.75,53.6,0.115,0.2225, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.1819,3.4251,-1.59,50.9,0.4133,0.539, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.7879,4.735,-16.64,61.6,0.0006071,0.002802,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.806,4.6539,-15.12,62.5,0.0007354,0.003152,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.5691,4.7287,-14.43,67.9,1.356e-05,0.0004862,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.0549,4.6217,-11.98,61.6,0.0005315,0.002658,**
NEPmax,Anomaly / 24m,C vs C+D,112,4.9025,4.6657,-18.58,62.5,0.000187,0.001603,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.8462,4.6503,-17.6,64.3,0.0002229,0.001672,**
