unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00112,51.4,0.696,0.696,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.89291,70.3,0.007573,0.02524,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.2026,54.1,0.06765,0.1691,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.12903,59.5,0.108,0.2493,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.01831,51.4,0.5241,0.5823,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,0.00029,49.3,0.3145,0.3933,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.8651,64,0.0003527,0.009488,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.31689,65.3,0.003295,0.01977,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.01504,50.7,0.4716,0.5441,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.01575,52,0.1729,0.3365,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00291,56.8,0.1908,0.3365,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.89291,75.7,0.001631,0.01224,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.68813,62.2,0.01868,0.05093,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03194,54.1,0.1991,0.3365,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.04987,43.2,0.4282,0.5138,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,0.00072,46.7,0.6132,0.6344,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.8651,61.3,0.001068,0.01068,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-1.09993,61.3,0.007087,0.02524,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.04566,53.3,0.2887,0.3933,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,-0.02455,56,0.1729,0.3365,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00291,54.1,0.2345,0.3365,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.89291,70.3,0.004528,0.02119,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.08912,64.9,0.004944,0.02119,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.03194,54.1,0.2299,0.3365,ns
