response,model,max_depth,min_child_weight,cv_rmse,cv_r2
GPPsat,M2_12m,1,1,6.95706578673898,0.400375903059674
GPPsat,M2_12m,1,3,6.94150774230697,0.403054775865894
GPPsat,M2_12m,1,5,6.98150740382588,0.396155294134123
GPPsat,M2_12m,1,10,6.91163390913417,0.408181808521279
GPPsat,M2_12m,2,1,6.76286359609318,0.433384940309531
GPPsat,M2_12m,2,3,6.82259616399995,0.423331553719554
GPPsat,M2_12m,2,5,6.73299790550503,0.438378382557562
GPPsat,M2_12m,2,10,6.70117500270021,0.443674743609993
GPPsat,M2_12m,3,1,6.67837117592805,0.447454605861673
GPPsat,M2_12m,3,3,6.6624587661987,0.450084544758173
GPPsat,M2_12m,3,5,6.60466979224937,0.459582908090489
GPPsat,M2_12m,3,10,6.59074496530481,0.461859261609885
GPPsat,M2_12m,4,1,6.67114262072112,0.448650089971542
GPPsat,M2_12m,4,3,6.61876535696785,0.457273750212495
GPPsat,M2_12m,4,5,6.61618613235682,0.457696650884425
GPPsat,M2_12m,4,10,6.62421180390809,0.45638018600522
GPPsat,M6_raw_12m,1,1,5.0619454571379,0.682559905495864
GPPsat,M6_raw_12m,1,3,5.00234739048082,0.689990820503646
GPPsat,M6_raw_12m,1,5,4.90207731571194,0.702294285861888
GPPsat,M6_raw_12m,1,10,4.93229661407208,0.698612504871426
GPPsat,M6_raw_12m,2,1,5.11448269590888,0.675936376047347
GPPsat,M6_raw_12m,2,3,5.09984811597786,0.677788273939903
GPPsat,M6_raw_12m,2,5,4.97558689328207,0.693298791359536
GPPsat,M6_raw_12m,2,10,5.03167651715803,0.68634495099939
GPPsat,M6_raw_12m,3,1,4.92137442239517,0.699945825843705
GPPsat,M6_raw_12m,3,3,4.95028860074359,0.696409697375244
GPPsat,M6_raw_12m,3,5,4.95359218338691,0.696004359266433
GPPsat,M6_raw_12m,3,10,4.96808473114245,0.69422297883174
GPPsat,M6_raw_12m,4,1,4.88184336050982,0.704746851076699
GPPsat,M6_raw_12m,4,3,4.87599310457484,0.705454072256472
GPPsat,M6_raw_12m,4,5,4.90075253696809,0.70245517312841
GPPsat,M6_raw_12m,4,10,4.96162398294451,0.695017757461304
NEPmax,M2_12m,1,1,6.37259063641274,0.490352305401949
NEPmax,M2_12m,1,3,6.37063581984533,0.49066493020693
NEPmax,M2_12m,1,5,6.38925041834873,0.487684091358399
NEPmax,M2_12m,1,10,6.38929355352816,0.487677173829175
NEPmax,M2_12m,2,1,6.21756820937057,0.514846533807744
NEPmax,M2_12m,2,3,6.18971533885899,0.519183486545166
NEPmax,M2_12m,2,5,6.21456955864433,0.515314387131739
NEPmax,M2_12m,2,10,6.20448221878673,0.516886570192333
NEPmax,M2_12m,3,1,6.20190427715179,0.517287950821202
NEPmax,M2_12m,3,3,6.19564978419974,0.518261070242215
NEPmax,M2_12m,3,5,6.16824894373161,0.522512718669487
NEPmax,M2_12m,3,10,6.19109346379303,0.518969357476039
NEPmax,M2_12m,4,1,6.35427037660211,0.493278417444554
NEPmax,M2_12m,4,3,6.24989636401237,0.509788321202191
NEPmax,M2_12m,4,5,6.21876928182396,0.514659077642903
NEPmax,M2_12m,4,10,6.2790524351084,0.505203930143177
NEPmax,M6_raw_12m,1,1,4.11891698272617,0.787086058674337
NEPmax,M6_raw_12m,1,3,4.0998216706708,0.789055622016153
NEPmax,M6_raw_12m,1,5,4.07843657715828,0.791250498047007
NEPmax,M6_raw_12m,1,10,4.04809011034134,0.794345430122524
NEPmax,M6_raw_12m,2,1,4.17522255328261,0.781225207102212
NEPmax,M6_raw_12m,2,3,4.16237882408462,0.782569117424149
NEPmax,M6_raw_12m,2,5,4.16372993189142,0.782427938423111
NEPmax,M6_raw_12m,2,10,4.16944812272718,0.781829929962429
NEPmax,M6_raw_12m,3,1,4.23698386774526,0.774704953716759
NEPmax,M6_raw_12m,3,3,4.23718606453098,0.774683450202666
NEPmax,M6_raw_12m,3,5,4.2766544060565,0.770466364689371
NEPmax,M6_raw_12m,3,10,4.29964171309984,0.767992215484924
NEPmax,M6_raw_12m,4,1,4.25441765321472,0.772847110348412
NEPmax,M6_raw_12m,4,3,4.28629682179632,0.769430155725923
NEPmax,M6_raw_12m,4,5,4.34873742197591,0.762663576752745
NEPmax,M6_raw_12m,4,10,4.3080592451795,0.767082909660945
ETmax,M2_12m,1,1,0.057236476017984,0.325058156489357
ETmax,M2_12m,1,3,0.0571787638582261,0.326418572649445
ETmax,M2_12m,1,5,0.0571052413242905,0.328149689956233
ETmax,M2_12m,1,10,0.0576527633188241,0.315204598059731
ETmax,M2_12m,2,1,0.0535932519486512,0.408246548424913
ETmax,M2_12m,2,3,0.0538151912370451,0.403335285433981
ETmax,M2_12m,2,5,0.0540877626457881,0.397275821399036
ETmax,M2_12m,2,10,0.0546549838806917,0.384567933988233
ETmax,M2_12m,3,1,0.0544000655000796,0.390295465789443
ETmax,M2_12m,3,3,0.0539544961012155,0.400242260054479
ETmax,M2_12m,3,5,0.054753358073303,0.382350492356338
ETmax,M2_12m,3,10,0.0548890074365993,0.379286294982979
ETmax,M2_12m,4,1,0.0538955813218001,0.401551337368535
ETmax,M2_12m,4,3,0.0540792124417365,0.397466363848396
ETmax,M2_12m,4,5,0.0546149445357769,0.385469314577356
ETmax,M2_12m,4,10,0.0546482621919025,0.384719301279862
ETmax,M6_raw_12m,1,1,0.037416158540683,0.711570967108494
ETmax,M6_raw_12m,1,3,0.0372102257524881,0.71473716809131
ETmax,M6_raw_12m,1,5,0.0373702173861689,0.712278823198334
ETmax,M6_raw_12m,1,10,0.0368707327870635,0.719918697320886
ETmax,M6_raw_12m,2,1,0.0368385003648594,0.720408177844152
ETmax,M6_raw_12m,2,3,0.0368911143470569,0.719608962676377
ETmax,M6_raw_12m,2,5,0.0369033279067028,0.719423273541926
ETmax,M6_raw_12m,2,10,0.0369582875332336,0.718586932991341
ETmax,M6_raw_12m,3,1,0.0370845420272443,0.716660958936753
ETmax,M6_raw_12m,3,3,0.037411050321461,0.711649716943471
ETmax,M6_raw_12m,3,5,0.0371433934502566,0.715760953921477
ETmax,M6_raw_12m,3,10,0.037493758899391,0.710373334459917
ETmax,M6_raw_12m,4,1,0.037926597923778,0.703647664192311
ETmax,M6_raw_12m,4,3,0.0376732218316965,0.707594117539477
ETmax,M6_raw_12m,4,5,0.0373212697457236,0.713032045980284
ETmax,M6_raw_12m,4,10,0.0376413849055659,0.708088122058823
uWUE,M2_12m,1,1,1.15772719214972,-0.10663225045664
uWUE,M2_12m,1,3,1.14633448310815,-0.0849596032726818
uWUE,M2_12m,1,5,1.11142676342207,-0.0198881735489065
uWUE,M2_12m,1,10,1.0874358109995,0.023666667361282
uWUE,M2_12m,2,1,1.11024475536346,-0.0177200144880929
uWUE,M2_12m,2,3,1.11029205361629,-0.0178067294285111
uWUE,M2_12m,2,5,1.100927969311,-0.000710980614675894
uWUE,M2_12m,2,10,1.07487788201621,0.0460862527129053
uWUE,M2_12m,3,1,1.09308626768553,0.0134939988333734
uWUE,M2_12m,3,3,1.09569455775111,0.00878043907375925
uWUE,M2_12m,3,5,1.07884224937573,0.0390368225230674
uWUE,M2_12m,3,10,1.07907335712586,0.038625066632937
uWUE,M2_12m,4,1,1.08302195468978,0.0315763741602837
uWUE,M2_12m,4,3,1.1005047262347,5.83023750451162e-05
uWUE,M2_12m,4,5,1.10140245872609,-0.00157376020425204
uWUE,M2_12m,4,10,1.08518375095426,0.0277064175138467
uWUE,M6_raw_12m,1,1,0.817014735006472,0.44887433839225
uWUE,M6_raw_12m,1,3,0.805974915656543,0.463667757870581
uWUE,M6_raw_12m,1,5,0.77780206968824,0.50050741702339
uWUE,M6_raw_12m,1,10,0.774017949120059,0.505355802818539
uWUE,M6_raw_12m,2,1,0.771353627565495,0.50875526655947
uWUE,M6_raw_12m,2,3,0.776654951094075,0.501979654582413
uWUE,M6_raw_12m,2,5,0.775443043047987,0.503532683925205
uWUE,M6_raw_12m,2,10,0.773164629725511,0.506445846841822
uWUE,M6_raw_12m,3,1,0.752182711154296,0.532870226549163
uWUE,M6_raw_12m,3,3,0.753821910241188,0.530832016854975
uWUE,M6_raw_12m,3,5,0.752888242702165,0.531993499779623
uWUE,M6_raw_12m,3,10,0.748893397486098,0.536946833655655
uWUE,M6_raw_12m,4,1,0.752760753002507,0.532151985337029
uWUE,M6_raw_12m,4,3,0.762824277427949,0.519559215463934
uWUE,M6_raw_12m,4,5,0.775693895877183,0.503211421451838
uWUE,M6_raw_12m,4,10,0.758000097833313,0.525616714961978
WUE,M2_12m,1,1,1.29309295559519,-0.106532373033369
WUE,M2_12m,1,3,1.26763092473849,-0.0633843974435799
WUE,M2_12m,1,5,1.21122131025387,0.0291511084283709
WUE,M2_12m,1,10,1.18443073877496,0.0716238554299693
WUE,M2_12m,2,1,1.17678804791559,0.0835661328521815
WUE,M2_12m,2,3,1.19622409216396,0.0530441691291949
WUE,M2_12m,2,5,1.16763031096116,0.097773968055502
WUE,M2_12m,2,10,1.14894524134175,0.126418769867432
WUE,M2_12m,3,1,1.15592753828464,0.115768762549857
WUE,M2_12m,3,3,1.20162729078444,0.0444702807069085
WUE,M2_12m,3,5,1.17953815780761,0.0792777841314768
WUE,M2_12m,3,10,1.16629202928884,0.0998409589531666
WUE,M2_12m,4,1,1.16297337580622,0.104956428658636
WUE,M2_12m,4,3,1.22191410417608,0.0119339248732195
WUE,M2_12m,4,5,1.22498063624404,0.00696837405632367
WUE,M2_12m,4,10,1.19552196560261,0.054155478821677
WUE,M6_raw_12m,1,1,0.917510163424327,0.442908669342826
WUE,M6_raw_12m,1,3,0.877335872025296,0.490626430397387
WUE,M6_raw_12m,1,5,0.832851587049807,0.540971270325986
WUE,M6_raw_12m,1,10,0.801840725338422,0.574518332010713
WUE,M6_raw_12m,2,1,0.802129085968059,0.574212250717298
WUE,M6_raw_12m,2,3,0.807252086979762,0.568756079492385
WUE,M6_raw_12m,2,5,0.798161726673038,0.57841375758522
WUE,M6_raw_12m,2,10,0.782979096583428,0.594300036950241
WUE,M6_raw_12m,3,1,0.770336931810646,0.607295324773355
WUE,M6_raw_12m,3,3,0.788691080243424,0.588359126564661
WUE,M6_raw_12m,3,5,0.783300669659196,0.59396672287779
WUE,M6_raw_12m,3,10,0.79922719640073,0.577287451537152
WUE,M6_raw_12m,4,1,0.786116656699113,0.591042074043735
WUE,M6_raw_12m,4,3,0.816515770018935,0.558801744316898
WUE,M6_raw_12m,4,5,0.821684776941113,0.553197993527505
WUE,M6_raw_12m,4,10,0.797835457251857,0.578758355881474
