response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0413,0.0406,-0.07,50.8,0.6006,0.8736, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0374,0.0385,-2.5,53.8,0.4713,0.8413, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0341,0.0344,2.53,38.5,0.861,0.926, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0367,0.0327,1.92,44.6,0.8129,0.926, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0415,0.0436,-0.93,52.3,0.461,0.8413, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0383,0.0409,4.1,38.5,0.8551,0.926, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0338,0.0344,1.39,46.2,0.6833,0.8962, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.035,0.037,-0.89,55.4,0.6256,0.878, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0413,0.0406,-0.07,50.8,0.6006,0.8736, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0285,0.0284,2.08,46.2,0.8333,0.926, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0341,0.0344,2.53,38.5,0.861,0.926, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0279,0.0297,4.05,41.5,0.92,0.9678, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.0415,0.0436,-0.93,52.3,0.461,0.8413, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0276,0.0285,-0.39,53.8,0.5026,0.8413, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0338,0.0344,1.39,46.2,0.6833,0.8962, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0275,0.0262,-1.18,55.4,0.461,0.8413, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.4729,5.0473,1.81,49.2,0.5287,0.8413, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.6759,4.8932,-0.41,50.8,0.5287,0.8413, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.3559,5.1972,0.12,49.2,0.2915,0.7067, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.1402,4.802,-6.37,66.2,0.01502,0.3574, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.0777,4.9207,-2.25,53.8,0.09898,0.6091, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.9491,4.945,-5.71,58.5,0.1801,0.663, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.4912,5.1685,-0.47,53.8,0.1305,0.663, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.9305,4.8869,-8.85,66.2,0.0009756,0.07805, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.4729,5.0473,1.81,49.2,0.5287,0.8413, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.6831,3.6646,0.57,49.2,0.6833,0.8962, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.3559,5.1972,0.12,49.2,0.2915,0.7067, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.8083,3.5999,-3.42,63.1,0.02654,0.3574, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,5.0777,4.9207,-2.25,53.8,0.09898,0.6091, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.3995,3.4763,-0.09,50.8,0.4584,0.8413, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.4912,5.1685,-0.47,53.8,0.1305,0.663, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.8726,3.4896,-5.46,67.7,0.0109,0.3574, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.5619,5.0011,-7.26,58.5,0.1717,0.663, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.2942,4.6452,-9.52,61.5,0.08498,0.6091, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.7845,5.0326,-3.9,53.8,0.1906,0.663, ns
