unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00206,45.5,0.6753,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.20362,59.1,0.2179,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-1.08989,68.2,0.03708,0.9251,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.01671,54.5,0.3131,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.01688,40.9,0.7625,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00103,47.6,0.7109,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,0.22356,33.3,0.7565,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.12297,52.4,0.7778,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,0.00732,47.6,0.4039,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.00899,47.6,0.5826,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,-0.00162,59.1,0.3017,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,-0.1423,54.5,0.6983,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.12339,54.5,0.3247,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.01013,45.5,0.6273,0.9263,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.03847,31.8,0.858,0.9263,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00088,50,0.6149,0.9263,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.20362,59.1,0.2276,0.9263,ns
