response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0345,0.0378,-4.02,54.5,0.1219,0.2438, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0355,0.0389,-5.75,56.2,0.1127,0.2438, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0353,0.0328,-4.18,57.1,0.3062,0.4192, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0333,0.033,-1.65,51.8,0.4486,0.5608, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0381,0.0387,-2.1,52.7,0.2291,0.3333, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0382,0.0385,-3.39,53.6,0.3042,0.4192, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.034,0.0333,-3.38,55.4,0.1776,0.2841, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0337,0.0346,-3.5,57.1,0.03721,0.1191, ns
ETmax,Raw-lag / 12m,C vs C+D,112,0.0345,0.0378,-4.02,54.5,0.1219,0.2438, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0283,0.0277,-2.79,54.5,0.1303,0.2482, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,112,0.0353,0.0328,-4.18,57.1,0.3062,0.4192, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0268,0.0261,-1.8,51.8,0.1876,0.2886, ns
ETmax,Raw-lag / 24m,C vs C+D,112,0.0381,0.0387,-2.1,52.7,0.2291,0.3333, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0255,0.0247,-3.71,57.1,0.09845,0.2438, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,112,0.034,0.0333,-3.38,55.4,0.1776,0.2841, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0244,0.0257,0.09,50,0.4925,0.588, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.7681,5.3365,-12.8,60.7,8.077e-05,0.000718,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.7571,5.2495,-17.26,62.5,3.727e-05,0.0005963,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.7078,4.7277,-12.7,61.6,0.0001692,0.001154,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.2719,4.7994,-14.4,64.3,0.0004101,0.001711,**
GPPsat,Anomaly / 24m,C vs C+D,112,5.9198,5.134,-15.42,67.9,8.067e-06,0.0001678,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.6871,4.8928,-16.71,68.8,4.74e-06,0.0001678,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.4009,4.9932,-8.88,64.3,0.0002459,0.001405,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.2311,4.6922,-10.15,71.4,8.391e-06,0.0001678,***
GPPsat,Raw-lag / 12m,C vs C+D,112,5.7681,5.3365,-12.8,60.7,8.077e-05,0.000718,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.4319,3.5336,1.79,45.5,0.9098,0.9214, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,112,5.7078,4.7277,-12.7,61.6,0.0001692,0.001154,**
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.6277,3.6566,0.36,48.2,0.7483,0.7877, ns
GPPsat,Raw-lag / 24m,C vs C+D,112,5.9198,5.134,-15.42,67.9,8.067e-06,0.0001678,***
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.3142,3.359,-0.21,50.9,0.5514,0.6302, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,112,5.4009,4.9932,-8.88,64.3,0.0002459,0.001405,**
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.4244,3.4521,1.01,48.2,0.77,0.8, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.8208,4.578,-15.21,60.7,0.0004277,0.001711,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.8955,4.4807,-17.87,65.2,5.16e-05,0.000688,***
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.6348,4.7796,-14.43,59.8,0.000665,0.002217,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.358,4.2903,-16.15,64.3,6.167e-05,0.0007048,***
NEPmax,Anomaly / 24m,C vs C+D,112,5.0863,4.5723,-14.7,64.3,0.0004232,0.001711,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.8026,4.4316,-16.33,64.3,0.0003017,0.001609,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.2287,4.2661,-9.93,65.2,0.0005426,0.001973,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.3871,4.5945,-11.26,66.1,0.000173,0.001154,**
NEPmax,Raw-lag / 12m,C vs C+D,112,4.8208,4.578,-15.21,60.7,0.0004277,0.001711,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.7835,2.7644,4.3,45.5,0.5133,0.6039, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,112,4.6348,4.7796,-14.43,59.8,0.000665,0.002217,**
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,2.9422,2.8953,0.42,48.2,0.6003,0.6578, ns
NEPmax,Raw-lag / 24m,C vs C+D,112,5.0863,4.5723,-14.7,64.3,0.0004232,0.001711,**
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.6565,2.526,-2.1,54.5,0.1658,0.2775, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,112,4.2287,4.2661,-9.93,65.2,0.0005426,0.001973,**
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.6707,2.5666,-0.14,50,0.5468,0.6302, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7195,0.6824,-6.68,56.2,0.07033,0.2009, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7559,0.7073,-5.42,52.7,0.05093,0.1567, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7455,0.7464,-1.56,52.7,0.4076,0.5219, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7598,0.718,-4.22,57.1,0.1291,0.2482, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7636,0.7237,-3.61,55.4,0.09946,0.2438, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7771,0.7447,-4.28,54.5,0.119,0.2438, ns
