unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,0.00026,48.6,0.56,0.56,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,0.09272,48.6,0.09724,0.1701,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.59628,54.1,0.05833,0.1225,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.0659,51.4,0.37,0.4111,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.05046,59.5,0.212,0.318,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00235,57.3,0.04379,0.1225,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.32989,66.7,0.0001225,0.003308,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-1.36762,64,0.001764,0.01323,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.05103,58.7,0.06123,0.1225,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.00882,50.7,0.2606,0.3351,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00087,51.4,0.353,0.4073,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,0.18291,48.6,0.04701,0.1225,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.59628,59.5,0.02322,0.0774,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,0.00981,45.9,0.2681,0.3351,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.02787,54.1,0.1867,0.2948,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00235,56,0.102,0.1701,ns
