response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0379,0.0426,0.84,44.6,0.8429,0.9031, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.037,0.0424,2.83,47.7,0.7699,0.8716, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0356,0.0373,0.91,46.2,0.5287,0.7532, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0357,0.0373,3.03,41.5,0.6994,0.8309, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0377,0.0438,4.81,36.9,0.9482,0.9642, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0388,0.0445,4.79,44.6,0.921,0.9527, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0378,0.037,-1.19,55.4,0.2484,0.5134, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0354,0.0347,0.53,44.6,0.4558,0.7052, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0258,0.0273,4.27,40,0.9891,0.9891, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.027,0.0265,2.02,40,0.8976,0.9448, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0256,0.0268,-0.45,50.8,0.2484,0.5134, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0251,0.0268,-0.44,52.3,0.6573,0.8217, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.4038,4.5915,-3.57,53.8,0.2463,0.5134, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.3228,4.6585,-6.81,61.5,0.1084,0.4682, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.5867,5.459,-6.74,63.1,0.01712,0.3061, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.5577,5.2947,-5.73,58.5,0.06558,0.3935, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.9407,4.7839,-4.39,55.4,0.1072,0.4682, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.974,4.8371,-5.97,58.5,0.2089,0.5134, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.5313,5.3572,-2.19,53.8,0.0623,0.3935, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.2708,5.3158,-4.7,55.4,0.03828,0.3828, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.7386,3.6997,0.09,49.2,0.4584,0.7052, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.7552,3.7972,0.36,47.7,0.5546,0.7532, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.9006,3.8635,-0.89,53.8,0.2402,0.5134, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.5441,3.779,0.26,49.2,0.5494,0.7532, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.7605,4.5403,-10.96,61.5,0.1405,0.4682, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4216,4.5471,-13.02,58.5,0.125,0.4682, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.9949,4.9287,-5.98,55.4,0.05185,0.3935, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.8458,4.8092,-4.21,58.5,0.05468,0.3935, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.6671,4.6036,-10.22,61.5,0.01712,0.3061, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.6572,4.203,-7.74,60,0.02041,0.3061, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,5.0419,4.5814,-6.75,61.5,0.01657,0.3061, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.805,4.7893,1.17,49.2,0.2567,0.5134, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.2216,3.2753,-1.38,53.8,0.3645,0.6249, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.3493,2.928,-1.44,56.9,0.139,0.4682, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.0606,3.208,0.18,49.2,0.6181,0.7891, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.0855,2.9063,-2.03,53.8,0.1264,0.4682, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6777,0.7087,1.3,43.1,0.793,0.8811, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.691,0.7381,3.87,40,0.8182,0.8925, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.7296,0.7677,1.34,47.7,0.4197,0.6806, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.7221,0.7624,2.66,49.2,0.7218,0.8328, ns
WUE,Anomaly / 24m,C vs C+D,65,0.7129,0.7194,-2.12,55.4,0.1767,0.5134, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6969,0.7171,-1.12,50.8,0.2381,0.5134, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.7193,0.7387,-0.36,50.8,0.1635,0.5134, ns
