response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0367,0.04,-2.89,54.8,0.4195,0.4864, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0352,0.0376,-1.69,51.6,0.5458,0.5981, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0337,0.0349,-1.77,51.6,0.5998,0.6314, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0319,0.0347,1.51,49.5,0.7042,0.7316, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0382,0.0408,-0.55,53.8,0.5244,0.5827, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0387,0.0398,-3.66,51.6,0.3256,0.4134, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0309,0.0343,3.25,45.2,0.7939,0.8039, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0339,0.0322,-1.12,55.9,0.2464,0.3285, ns
ETmax,Raw-lag / 12m,C vs C+D,93,0.0367,0.04,-2.89,54.8,0.4195,0.4864, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0267,0.0263,-1.27,53.8,0.2357,0.3195, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,93,0.0337,0.0349,-1.77,51.6,0.5998,0.6314, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0267,0.0269,2.63,46.2,0.8583,0.8583, ns
ETmax,Raw-lag / 24m,C vs C+D,93,0.0382,0.0408,-0.55,53.8,0.5244,0.5827, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0254,0.0245,0.48,47.3,0.3565,0.4388, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,93,0.0309,0.0343,3.25,45.2,0.7939,0.8039, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0254,0.0256,-0.44,51.6,0.3622,0.4391, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.5283,5.5834,-12.88,66.7,3.659e-05,0.0004182,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.5181,5.4046,-15.32,68.8,5.947e-06,0.0001442,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,6.162,5.2268,-15.15,73.1,1.031e-06,4.122e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,6.1222,5.1154,-11.62,72,7.21e-06,0.0001442,***
GPPsat,Anomaly / 24m,C vs C+D,93,6.3909,5.598,-12.15,59.1,0.0006106,0.002714,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.5307,5.4746,-7.15,57,0.003616,0.01113,*
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.3512,5.6126,-9.8,66.7,0.0003581,0.002046,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.1586,5.8003,-8.31,60.2,0.001235,0.004491,**
GPPsat,Raw-lag / 12m,C vs C+D,93,6.5283,5.5834,-12.88,66.7,3.659e-05,0.0004182,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6064,3.6633,-3.14,59.1,0.1681,0.2319, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,93,6.162,5.2268,-15.15,73.1,1.031e-06,4.122e-05,***
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.5534,3.6987,-1.15,53.8,0.3694,0.4411, ns
GPPsat,Raw-lag / 24m,C vs C+D,93,6.3909,5.598,-12.15,59.1,0.0006106,0.002714,**
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.5449,3.7941,-0.11,50.5,0.5244,0.5827, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,93,6.3512,5.6126,-9.8,66.7,0.0003581,0.002046,**
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.6069,3.6394,0.72,49.5,0.2906,0.3811, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.1718,4.8088,-12.47,65.6,0.0002308,0.001539,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.2902,4.9766,-13.08,60.2,0.0003893,0.002076,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.3907,4.7043,-8.52,65.6,5.53e-05,0.0004565,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.3815,4.7366,-15.72,71,1.722e-05,0.0002755,***
NEPmax,Anomaly / 24m,C vs C+D,93,5.0483,4.9614,-14.5,67.7,0.0007757,0.003103,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.2353,4.8023,-14.73,65.6,0.0004918,0.002459,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.4144,4.9392,-7.54,63.4,0.00184,0.006134,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.3259,4.5315,-11.03,66.7,5.706e-05,0.0004565,***
NEPmax,Raw-lag / 12m,C vs C+D,93,5.1718,4.8088,-12.47,65.6,0.0002308,0.001539,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,3.0339,3.0077,-3.55,54.8,0.1115,0.1683, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,93,5.3907,4.7043,-8.52,65.6,5.53e-05,0.0004565,***
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.3638,3.1969,-4.39,60.2,0.03102,0.06531, ns
NEPmax,Raw-lag / 24m,C vs C+D,93,5.0483,4.9614,-14.5,67.7,0.0007757,0.003103,**
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,2.786,3.0129,0.75,48.4,0.3339,0.4174, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,93,5.4144,4.9392,-7.54,63.4,0.00184,0.006134,**
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.2163,3.2175,-3.52,53.8,0.04481,0.08147, ns
WUE,Anomaly / 12m,C vs C+D,93,0.7759,0.7365,-7.47,54.8,0.01927,0.04486,*
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7771,0.7315,-4.72,58.1,0.007565,0.02162,*
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.8275,0.7522,-5.42,55.9,0.04778,0.0831, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7884,0.7798,-2.03,54.8,0.0542,0.09225, ns
WUE,Anomaly / 24m,C vs C+D,93,0.807,0.766,-4.29,57,0.0152,0.038,*
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.8639,0.7438,-5.97,61.3,0.002801,0.008962,**
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.8257,0.7874,-6.04,58.1,0.04268,0.07941, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7835,0.7888,-5.79,57,0.02894,0.06257, ns
WUE,Raw-lag / 12m,C vs C+D,93,0.7759,0.7365,-7.47,54.8,0.01927,0.04486,*
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.5158,0.4783,-6.19,60.2,0.01108,0.02956,*
WUE,Raw-lag / 12m,C+T vs C+T+D,93,0.8275,0.7522,-5.42,55.9,0.04778,0.0831, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.5337,0.4887,-7.42,64.5,0.001074,0.00409,**
WUE,Raw-lag / 24m,C vs C+D,93,0.807,0.766,-4.29,57,0.0152,0.038,*
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.5153,0.5051,-2.49,57,0.1522,0.2137, ns
WUE,Raw-lag / 24m,C+T vs C+T+D,93,0.8257,0.7874,-6.04,58.1,0.04268,0.07941, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.5051,0.5089,-3.72,63.4,0.006174,0.01829,*
uWUE,Anomaly / 12m,C vs C+D,93,0.7422,0.7102,-1.75,58.1,0.03899,0.07608, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,93,0.7333,0.7384,-1.86,53.8,0.1108,0.1683, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,93,0.7444,0.725,-5.08,57,0.02019,0.04486,*
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7696,0.7096,-2.43,53.8,0.00867,0.02392,*
uWUE,Anomaly / 24m,C vs C+D,93,0.7836,0.7183,-4.43,54.8,0.1167,0.1698, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,93,0.793,0.7113,-3.7,53.8,0.05547,0.09246, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,93,0.7749,0.7217,-0.04,50.5,0.08508,0.1361, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7558,0.7352,-4.29,54.8,0.03867,0.07608, ns
uWUE,Raw-lag / 12m,C vs C+D,93,0.7422,0.7102,-1.75,58.1,0.03899,0.07608, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,93,0.4888,0.4668,-0.03,50.5,0.1058,0.166, ns
uWUE,Raw-lag / 12m,C+T vs C+T+D,93,0.7444,0.725,-5.08,57,0.02019,0.04486,*
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.504,0.4644,-0.68,51.6,0.1292,0.1845, ns
uWUE,Raw-lag / 24m,C vs C+D,93,0.7836,0.7183,-4.43,54.8,0.1167,0.1698, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,93,0.4838,0.4765,-0.28,50.5,0.5609,0.6064, ns
uWUE,Raw-lag / 24m,C+T vs C+T+D,93,0.7749,0.7217,-0.04,50.5,0.08508,0.1361, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.5118,0.4977,-0.77,51.6,0.2985,0.3851, ns
