cc,window,response,share,se,n_vars,per_var,learner
Combined index (rho = 0.97 with rel. mortality),12 months,ETmax,9.91808533236628,0.232838951169197,10,0.991808533236628,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,GPPsat,29.8386646986371,0.554282597607852,10,2.98386646986371,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,NEPmax,32.6416810208296,0.885094772975856,10,3.26416810208296,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,WUE,30.9565591474214,0.636407572472447,10,3.09565591474214,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,ETmax,16.1584338361648,0.484836335271288,10,1.61584338361648,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,GPPsat,24.1301489864052,0.554157068133482,10,2.41301489864052,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,NEPmax,37.208024611893,0.782323468004552,10,3.7208024611893,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,WUE,39.2156703741188,0.783860844799745,10,3.92156703741188,XGBoost (Optuna)
Standing mortality / deadwood,12 months,ETmax,52.5768804038546,0.626787708753458,70,0.751098291483638,XGBoost (Optuna)
Standing mortality / deadwood,12 months,GPPsat,44.2932644555306,0.647411684927863,70,0.632760920793295,XGBoost (Optuna)
Standing mortality / deadwood,12 months,NEPmax,41.4573039268383,0.924783822787483,70,0.592247198954832,XGBoost (Optuna)
Standing mortality / deadwood,12 months,WUE,49.5679462264182,0.789801308338235,70,0.708113517520259,XGBoost (Optuna)
Standing mortality / deadwood,24 months,ETmax,61.196979003061,0.486777418923128,70,0.874242557186585,XGBoost (Optuna)
Standing mortality / deadwood,24 months,GPPsat,51.8782981464093,0.623457653395313,70,0.741118544948704,XGBoost (Optuna)
Standing mortality / deadwood,24 months,NEPmax,24.9646531425526,0.803522760057448,70,0.356637902036465,XGBoost (Optuna)
Standing mortality / deadwood,24 months,WUE,48.3705662674514,0.865058667164724,70,0.69100808953502,XGBoost (Optuna)
Tree cover change,12 months,ETmax,37.5050342637791,0.650120203414899,30,1.25016780879264,XGBoost (Optuna)
Tree cover change,12 months,GPPsat,25.8680708458323,0.365278030947863,30,0.862269028194409,XGBoost (Optuna)
Tree cover change,12 months,NEPmax,25.9010150523322,0.594165279935182,30,0.863367168411072,XGBoost (Optuna)
Tree cover change,12 months,WUE,19.4754946261605,0.444141791712396,30,0.64918315420535,XGBoost (Optuna)
Tree cover change,24 months,ETmax,22.6445871607742,0.347588834584443,30,0.754819572025808,XGBoost (Optuna)
Tree cover change,24 months,GPPsat,23.9915528671855,0.327868342469896,30,0.799718428906185,XGBoost (Optuna)
Tree cover change,24 months,NEPmax,37.8273222455544,0.904811720166229,30,1.26091074151848,XGBoost (Optuna)
Tree cover change,24 months,WUE,12.4137633584298,0.282467269529145,30,0.413792111947659,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,ETmax,16.8339239325256,0.653885855353466,10,1.68339239325256,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,GPPsat,29.2789081549581,0.744226516576587,10,2.92789081549581,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,NEPmax,35.1216539350048,0.936756694623783,10,3.51216539350048,Random Forest (Optuna)
