SITE_ID,morans_i,rel_dist_mean,rel_dist_max,dist_cat,moran_cat
AT-Mmg,0.749926696355808,30.6132402836123,32.4385767678193,Low+Mid disturbance,Low+Mid clustering
AT-Zoe,0.738396276254843,18.3003754896374,21.5984151157366,Low+Mid disturbance,Low+Mid clustering
AU-APL,0.890338816131625,31.7120530960922,35.7942283291218,High disturbance,High clustering
AU-How,0.50809365710942,31.5077479198547,36.176311403237,High disturbance,Low+Mid clustering
BE-Bra,0.80453314693654,16.1252331579004,21.3563001131212,Low+Mid disturbance,Low+Mid clustering
BE-Maa,0.737751607009709,40.6181411630698,56.8051002615106,High disturbance,Low+Mid clustering
BE-Vie,0.661857210610075,18.0440107508209,21.0930639341371,Low+Mid disturbance,Low+Mid clustering
CA-DB2,0.739583369335152,28.698701129482,37.0479531024181,High disturbance,Low+Mid clustering
CA-DBB,0.879480574383127,57.7631254414734,61.9767983190106,High disturbance,High clustering
CA-Mer,0.905611975406647,20.4155994045169,25.8749570975753,Low+Mid disturbance,High clustering
CA-TP1,0.784923081006887,18.0497061873404,23.4935896348518,Low+Mid disturbance,Low+Mid clustering
CA-TP3,0.746469781641599,24.8164515385179,33.2769400213726,Low+Mid disturbance,Low+Mid clustering
CA-TPD,0.752540177565033,10.0084941928243,18.6960590680808,Low+Mid disturbance,Low+Mid clustering
CH-Lae,0.729997898462497,15.0639921617406,20.5253203940515,Low+Mid disturbance,Low+Mid clustering
CL-SDP,0.876028439941368,28.5460789070157,31.2972664844258,Low+Mid disturbance,High clustering
CZ-BK1,0.723226287698862,17.180727386249,24.7095767705599,Low+Mid disturbance,Low+Mid clustering
CZ-Lnz,0.71352242863992,14.2454389926009,16.6862193023619,Low+Mid disturbance,Low+Mid clustering
CZ-RAJ,0.803974746878434,30.5898097126481,40.071365584562,High disturbance,Low+Mid clustering
CZ-Stn,0.75449482806648,10.9600879843693,13.5992380768256,Low+Mid disturbance,Low+Mid clustering
DE-Akm,0.823192345021633,33.8660520183938,48.3331526091812,High disturbance,High clustering
DE-Hai,0.708105347822592,10.1751554397055,11.8658534992752,Low+Mid disturbance,Low+Mid clustering
DE-Har,0.874932228064669,28.2901958570193,30.6140330826609,Low+Mid disturbance,High clustering
DE-HoH,0.762200476040312,12.8706498449298,15.9013539079256,Low+Mid disturbance,Low+Mid clustering
DE-Msr,0.906719066979955,23.3471670560485,25.7305133541077,Low+Mid disturbance,High clustering
DE-Obe,0.740398409822073,22.3215747640546,31.9655094188424,Low+Mid disturbance,Low+Mid clustering
DE-RuC,0.790126153120255,26.1611068134308,31.6907945128338,Low+Mid disturbance,Low+Mid clustering
DE-Tha,0.742904853049268,28.4087502575946,31.0190396220924,Low+Mid disturbance,Low+Mid clustering
DK-Sor,0.748802505053069,12.2510683217151,14.9594409131653,Low+Mid disturbance,Low+Mid clustering
EE-Stg,0.699317825611024,17.8914940799571,21.4831753981277,Low+Mid disturbance,Low+Mid clustering
ES-Crg,0.774753269209388,21.2485407850139,23.2664032500417,Low+Mid disturbance,Low+Mid clustering
ES-Yst,0.823950425650442,17.5505840796146,19.9548650904821,Low+Mid disturbance,High clustering
FI-Hyy,0.783336445801046,16.086896390221,24.2519317550624,Low+Mid disturbance,Low+Mid clustering
FI-Let,0.727821605378536,13.5984133226038,22.0694778824831,Low+Mid disturbance,Low+Mid clustering
FI-Rk2,0.862808449443453,21.4816367675249,26.4587601162703,Low+Mid disturbance,High clustering
FR-Bil,0.928909906794208,37.6292255484469,55.2341798941799,High disturbance,High clustering
FR-FBn,0.708609644812414,27.1978628665265,33.3058431003508,Low+Mid disturbance,Low+Mid clustering
FR-Fon,0.71195699459181,7.63402419218293,8.80409224304427,Low+Mid disturbance,Low+Mid clustering
FR-Pue,0.715978411489028,23.0490379417182,25.0952654342252,Low+Mid disturbance,Low+Mid clustering
IT-Arz,0.736343552100808,25.7292918108696,29.6060769198572,Low+Mid disturbance,Low+Mid clustering
IT-BFt,0.812828133245713,25.1975438925376,27.2956293278089,Low+Mid disturbance,High clustering
IT-BsB,0.773377424999575,19.4442624155578,20.9292265706328,Low+Mid disturbance,Low+Mid clustering
IT-Cp2,0.908751467738835,34.1261714877281,43.6044927694871,High disturbance,High clustering
IT-Lav,0.876976201391775,35.4896173117461,35.7741650934797,High disturbance,High clustering
IT-Ren,0.8017638817492,27.4766201389313,29.9980425698505,Low+Mid disturbance,Low+Mid clustering
IT-SR2,0.77639579431564,22.901022905692,26.1674892331029,Low+Mid disturbance,Low+Mid clustering
JP-Api,0.785557652496952,14.7979166257699,23.1791734338289,Low+Mid disturbance,Low+Mid clustering
JP-Yms,0.629484008793777,45.1089636662023,45.1089636662023,High disturbance,Low+Mid clustering
KR-Kw1,0.768052694382837,32.7232584600852,34.5636053355067,High disturbance,Low+Mid clustering
KR-Kw2,0.796313917379106,18.1849374899957,18.1885541487542,Low+Mid disturbance,Low+Mid clustering
NL-Loo,0.664202095247152,35.8873339013257,47.6959695717612,High disturbance,Low+Mid clustering
RU-Fy2,0.5607197376664,10.8567368243466,12.9462417320694,Low+Mid disturbance,Low+Mid clustering
RU-Fyo,0.78076151603454,14.0800218771159,17.0556306187744,Low+Mid disturbance,Low+Mid clustering
SE-HfM,0.800446045973394,26.8005259963585,26.8005259963585,Low+Mid disturbance,Low+Mid clustering
SE-Hmr,0.800446045973394,26.8005259963585,26.8005259963585,Low+Mid disturbance,Low+Mid clustering
SE-Htm,0.789712914925308,16.5012329107317,20.2204750864728,Low+Mid disturbance,Low+Mid clustering
SE-Nor,0.850969229773006,36.7262279073169,48.5089453633603,High disturbance,High clustering
SE-Ros,0.813417993432486,16.9424878138881,17.2463514941923,Low+Mid disturbance,High clustering
SE-Svb,0.684750874360166,14.6258539491577,17.2301362689278,Low+Mid disturbance,Low+Mid clustering
US-Bar,0.716065564476371,7.76079939248973,9.17963672431069,Low+Mid disturbance,Low+Mid clustering
US-CS2,0.745717530498859,17.8476090383379,19.47246033372,Low+Mid disturbance,Low+Mid clustering
US-GLE,0.870541769419732,55.7051141666381,59.1574354081118,High disturbance,High clustering
US-HB2,0.792978116836065,17.0758615114994,27.7369930905942,Low+Mid disturbance,Low+Mid clustering
US-HB3,0.726333006342186,18.5312593174529,19.4207476838472,Low+Mid disturbance,Low+Mid clustering
US-HBK,0.706137947917798,11.4140869191183,15.157512418203,Low+Mid disturbance,Low+Mid clustering
US-KPL,0.733853032865129,21.2055147409292,26.5494109615531,Low+Mid disturbance,Low+Mid clustering
US-MBP,0.758076774806212,14.6994008054532,16.5540715102355,Low+Mid disturbance,Low+Mid clustering
US-MOz,0.899822302830479,24.1820551406008,29.781785255337,Low+Mid disturbance,High clustering
US-Me6,0.692022007841476,34.9495613989758,41.8231655998333,High disturbance,Low+Mid clustering
US-MtB,0.726412327979207,31.5126655739648,32.9991385331269,Low+Mid disturbance,Low+Mid clustering
US-NC2,0.716507899268473,42.0520826993744,71.3915363083517,High disturbance,Low+Mid clustering
US-NC3,0.811117643897946,27.2894681269003,30.0242074092638,Low+Mid disturbance,High clustering
US-Rpf,0.844048598698665,18.5152794963127,26.3116685475244,Low+Mid disturbance,High clustering
US-SHC,0.758176044114244,35.904117737784,39.4031353794811,High disturbance,Low+Mid clustering
US-Vcp,0.765750184789617,35.4884121824591,40.8103941361448,High disturbance,Low+Mid clustering
US-xAB,0.827106996203181,15.5192828110099,16.8678371582245,Low+Mid disturbance,High clustering
US-xBL,0.902616919133626,31.2040715901165,42.4904898181558,High disturbance,High clustering
US-xBN,0.818707972506473,13.7598299520965,17.37079224315,Low+Mid disturbance,High clustering
US-xBR,0.729206712380898,7.34120988768475,8.74811858955813,Low+Mid disturbance,Low+Mid clustering
US-xDJ,0.817002698356525,28.3740358590976,30.2295420001923,Low+Mid disturbance,High clustering
US-xDL,0.740030068267308,14.901335007446,16.4324109725435,Low+Mid disturbance,Low+Mid clustering
US-xGR,0.780482371815894,23.6471642823285,32.0012544300382,Low+Mid disturbance,Low+Mid clustering
US-xJE,0.716161104723757,29.6718734737632,30.2139905190774,Low+Mid disturbance,Low+Mid clustering
US-xML,0.866354294011126,23.1449340173388,28.4591133636894,Low+Mid disturbance,High clustering
US-xRM,0.810355339200189,40.2050500182817,47.4431989544586,High disturbance,High clustering
US-xRN,0.804984234863063,14.6797042383349,17.7747909887626,Low+Mid disturbance,Low+Mid clustering
US-xSB,0.74514415314483,24.2617968661061,29.4763291788031,Low+Mid disturbance,Low+Mid clustering
US-xSC,0.782592712007402,32.2126612957064,47.8316721445218,High disturbance,Low+Mid clustering
US-xSE,0.665382640820671,10.6876018552895,13.5418500918695,Low+Mid disturbance,Low+Mid clustering
US-xST,0.644349370894982,7.27072114147774,8.0487572689521,Low+Mid disturbance,Low+Mid clustering
US-xTR,0.738705990105965,6.95782191665579,7.44133426443092,Low+Mid disturbance,Low+Mid clustering
US-xUK,0.879794695005205,29.7115804394093,36.7417877218872,High disturbance,High clustering
US-xUN,0.82966296458755,9.5314740510664,10.3630916113619,Low+Mid disturbance,High clustering
US-xWR,0.66333309910992,15.2237760360897,17.4942271916477,Low+Mid disturbance,Low+Mid clustering
