cc,window,response,share,se,n_vars,per_var,learner
Combined index (rho = 0.97 with rel. mortality),12 months,ETmax,18.1221760549463,0.320116202701311,20,0.906108802747313,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,GPPsat,43.8555094844414,0.643905450982854,20,2.19277547422207,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,NEPmax,45.8796372695203,0.970775242260163,20,2.29398186347602,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,WUE,41.2017529471013,0.731629606289165,20,2.06008764735507,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,ETmax,22.3544349477644,0.413799741020298,20,1.11772174738822,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,GPPsat,35.8975608204449,0.627553942374973,20,1.79487804102224,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,NEPmax,58.8338115869033,0.83553399213252,20,2.94169057934517,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,WUE,44.671935524481,0.803464519372057,20,2.23359677622405,XGBoost (Optuna)
Mortality (deadwood),12 months,ETmax,52.5768804038546,0.626787708753458,70,0.751098291483638,XGBoost (Optuna)
Mortality (deadwood),12 months,GPPsat,44.2932644555306,0.647411684927863,70,0.632760920793295,XGBoost (Optuna)
Mortality (deadwood),12 months,NEPmax,41.4573039268383,0.924783822787483,70,0.592247198954832,XGBoost (Optuna)
Mortality (deadwood),12 months,WUE,49.5679462264182,0.789801308338235,70,0.708113517520259,XGBoost (Optuna)
Mortality (deadwood),24 months,ETmax,61.196979003061,0.486777418923128,70,0.874242557186585,XGBoost (Optuna)
Mortality (deadwood),24 months,GPPsat,51.8782981464093,0.623457653395313,70,0.741118544948704,XGBoost (Optuna)
Mortality (deadwood),24 months,NEPmax,24.9646531425526,0.803522760057448,70,0.356637902036465,XGBoost (Optuna)
Mortality (deadwood),24 months,WUE,48.3705662674514,0.865058667164724,70,0.69100808953502,XGBoost (Optuna)
Tree cover loss,12 months,ETmax,29.3009435411991,0.625003189406758,20,1.46504717705996,XGBoost (Optuna)
Tree cover loss,12 months,GPPsat,11.851226060028,0.307135115416203,20,0.592561303001401,XGBoost (Optuna)
Tree cover loss,12 months,NEPmax,12.6630588036414,0.360879450118661,20,0.633152940182071,XGBoost (Optuna)
Tree cover loss,12 months,WUE,9.23030082648052,0.253170723278755,20,0.461515041324026,XGBoost (Optuna)
Tree cover loss,24 months,ETmax,16.4485860491746,0.298132290626559,20,0.822429302458731,XGBoost (Optuna)
Tree cover loss,24 months,GPPsat,12.2241410331458,0.248594471229313,20,0.611207051657291,XGBoost (Optuna)
Tree cover loss,24 months,NEPmax,16.2015352705441,0.799886196769688,20,0.810076763527206,XGBoost (Optuna)
Tree cover loss,24 months,WUE,6.95749820806758,0.19097426812422,20,0.347874910403379,XGBoost (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,ETmax,22.3521555624916,0.655550532943362,20,1.11760777812458,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,GPPsat,42.1551003495034,0.789536059758853,20,2.10775501747517,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,NEPmax,47.3008636412478,0.937887719748181,20,2.36504318206239,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,WUE,53.154215350842,0.788750654982787,20,2.6577107675421,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,ETmax,21.3788539670097,0.607886626486995,20,1.06894269835049,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,GPPsat,42.7478456443102,0.828390451323873,20,2.13739228221551,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,NEPmax,49.571222369042,0.908556164207356,20,2.4785611184521,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,WUE,54.5325659942488,0.767358577471029,20,2.72662829971244,Random Forest (Optuna)
Mortality (deadwood),12 months,ETmax,61.9893613014702,0.845990510190255,70,0.885562304306718,Random Forest (Optuna)
Mortality (deadwood),12 months,GPPsat,45.9758700823146,0.805338900404989,70,0.656798144033065,Random Forest (Optuna)
Mortality (deadwood),12 months,NEPmax,37.8107207850986,0.834987990659976,70,0.540153154072837,Random Forest (Optuna)
Mortality (deadwood),12 months,WUE,41.1150762713233,0.802001201746665,70,0.587358232447476,Random Forest (Optuna)
Mortality (deadwood),24 months,ETmax,64.5265804945133,0.693228853552498,70,0.921808292778761,Random Forest (Optuna)
Mortality (deadwood),24 months,GPPsat,46.0359495236025,0.839717315897399,70,0.657656421765749,Random Forest (Optuna)
Mortality (deadwood),24 months,NEPmax,37.4217047876433,0.840194081364394,70,0.534595782680618,Random Forest (Optuna)
Mortality (deadwood),24 months,WUE,40.6785809277967,0.799566893646852,70,0.581122584682809,Random Forest (Optuna)
Tree cover loss,12 months,ETmax,15.6584831360382,0.404601160456879,20,0.782924156801911,Random Forest (Optuna)
Tree cover loss,12 months,GPPsat,11.8690295681821,0.355956132154501,20,0.593451478409103,Random Forest (Optuna)
Tree cover loss,12 months,NEPmax,14.8884155736536,0.512073410434247,20,0.744420778682679,Random Forest (Optuna)
Tree cover loss,12 months,WUE,5.73070837783472,0.167025416321383,20,0.286535418891736,Random Forest (Optuna)
Tree cover loss,24 months,ETmax,14.094565538477,0.326557503463417,20,0.704728276923851,Random Forest (Optuna)
Tree cover loss,24 months,GPPsat,11.2162048320873,0.357386480851091,20,0.560810241604366,Random Forest (Optuna)
Tree cover loss,24 months,NEPmax,13.0070728433147,0.519235107146176,20,0.650353642165736,Random Forest (Optuna)
Tree cover loss,24 months,WUE,4.78885307795451,0.148133921364225,20,0.239442653897726,Random Forest (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,ETmax,21.8576764007186,0.587702098977744,20,1.09288382003593,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,GPPsat,36.6757064670663,0.893706126920032,20,1.83378532335332,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,NEPmax,44.5483117510125,0.947038042475136,20,2.22741558755062,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),12 months,WUE,42.4536092042076,0.809425227543011,20,2.12268046021038,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,ETmax,22.4074510109961,0.371555638365318,20,1.12037255054981,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,GPPsat,42.903131718661,0.802063539239769,20,2.14515658593305,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,NEPmax,39.8923252851782,0.743751449629465,20,1.99461626425891,LightGBM (Optuna)
Combined index (rho = 0.97 with rel. mortality),24 months,WUE,44.6092717924114,0.778190011592453,20,2.23046358962057,LightGBM (Optuna)
Mortality (deadwood),12 months,ETmax,57.5786103903645,0.721274641368773,70,0.822551577005208,LightGBM (Optuna)
Mortality (deadwood),12 months,GPPsat,45.2648115612665,0.81028953421141,70,0.64664016516095,LightGBM (Optuna)
Mortality (deadwood),12 months,NEPmax,43.7450116409206,0.842991336910992,70,0.624928737727436,LightGBM (Optuna)
Mortality (deadwood),12 months,WUE,47.5325373415401,0.84524581464159,70,0.679036247736288,LightGBM (Optuna)
Mortality (deadwood),24 months,ETmax,62.9014100768893,0.468365422769204,70,0.898591572526991,LightGBM (Optuna)
Mortality (deadwood),24 months,GPPsat,43.9962965490995,0.773114336985939,70,0.628518522129993,LightGBM (Optuna)
Mortality (deadwood),24 months,NEPmax,45.3754576395162,0.677160244473868,70,0.64822082342166,LightGBM (Optuna)
Mortality (deadwood),24 months,WUE,48.8561311545246,0.792333176822905,70,0.697944730778923,LightGBM (Optuna)
Tree cover loss,12 months,ETmax,20.5637132089169,0.576417967886497,20,1.02818566044584,LightGBM (Optuna)
Tree cover loss,12 months,GPPsat,18.0594819716672,0.475960247708599,20,0.90297409858336,LightGBM (Optuna)
Tree cover loss,12 months,NEPmax,11.706676608067,0.314783523047043,20,0.585333830403348,LightGBM (Optuna)
Tree cover loss,12 months,WUE,10.0138534542522,0.221727922399876,20,0.500692672712612,LightGBM (Optuna)
Tree cover loss,24 months,ETmax,14.6911389121145,0.261747566095061,20,0.734556945605726,LightGBM (Optuna)
Tree cover loss,24 months,GPPsat,13.1005717322395,0.4143680517322,20,0.655028586611975,LightGBM (Optuna)
Tree cover loss,24 months,NEPmax,14.7322170753055,0.338403001795687,20,0.736610853765277,LightGBM (Optuna)
Tree cover loss,24 months,WUE,6.53459705306398,0.193594247855324,20,0.326729852653199,LightGBM (Optuna)
