unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00097,51.4,0.1258,0.193,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.512,67.6,0.03069,0.07673,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.43903,67.6,0.01182,0.03224,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05004,56.8,0.1354,0.1934,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.03023,51.4,0.1908,0.2385,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00042,53.3,0.1148,0.193,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.7928,68,0.0006443,0.01545,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.71068,64,0.003091,0.01545,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.03934,61.3,0.1287,0.193,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.00514,49.3,0.3647,0.4052,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,4e-04,45.9,0.3254,0.3755,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.89733,70.3,0.004732,0.02028,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.82019,73,0.001979,0.01545,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.06759,56.8,0.1227,0.193,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.03022,51.4,0.212,0.2544,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00097,56,0.04528,0.09704,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.73541,66.7,0.003042,0.01545,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.54872,61.3,0.01104,0.03224,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.03792,61.3,0.1179,0.193,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.00514,49.3,0.3787,0.4057,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,4e-04,45.9,0.4223,0.4223,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.89733,67.6,0.006678,0.02504,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.0251,70.3,0.002753,0.01545,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.06759,54.1,0.1709,0.228,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.03588,51.4,0.1748,0.228,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00273,56,0.03325,0.07674,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.73541,68,0.001952,0.01545,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.60665,62.7,0.009193,0.03064,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.03934,62.7,0.06928,0.1386,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,0.00514,49.3,0.4092,0.4223,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00059,52.8,0.04996,0.1263,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.75146,67.9,0.000116,0.002377,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.63781,65.1,0.000317,0.002377,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.04874,61.3,0.04122,0.1247,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,-0.02924,50.9,0.2601,0.3309,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,-0.00204,50,0.5,0.5186,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,-0.74254,66.7,0.2647,0.3309,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,-0.72368,66.7,0.2647,0.3309,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,0.07439,33.3,0.6625,0.6625,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,0.01516,33.3,0.5,0.5186,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00059,52.9,0.05695,0.1263,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-0.75146,67.3,0.0002378,0.002377,**
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-0.68313,65.4,0.0003136,0.002377,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,-0.03648,58.7,0.1463,0.2439,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,0.01064,48.1,0.3958,0.4567,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,-0.00283,50,0.312,0.3744,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,8,-0.80056,75,0.09172,0.1619,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,8,-0.28717,62.5,0.2206,0.3309,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,8,-0.2472,75,0.05366,0.1263,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,8,-0.25206,75,0.09172,0.1619,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,102,-0.00059,52.9,0.06232,0.1263,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,102,-0.74052,66.7,0.0004116,0.00247,**
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,102,-0.63781,64.7,0.0006606,0.003303,**
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,102,-0.03461,57.8,0.1992,0.3145,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,102,0.01181,47.1,0.5013,0.5186,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,10,-0.00258,50,0.2378,0.3309,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,10,-1.18162,80,0.04157,0.1247,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,10,-0.82726,70,0.06314,0.1263,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,10,-0.2472,80,0.02075,0.08891,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,10,-0.28699,80,0.04157,0.1247,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,29,-0.00309,55.2,0.1707,0.2269,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,29,-0.97307,69,0.03811,0.08794,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,29,-0.99689,69,0.01895,0.0517,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,29,-0.05004,55.2,0.2118,0.2542,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,29,0.01024,48.3,0.1877,0.2346,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,83,-0.00036,51.8,0.09134,0.137,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,83,-0.74563,67.5,0.0005442,0.01467,*
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,83,-0.62004,63.9,0.002013,0.01467,*
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,83,-0.03934,61.4,0.07537,0.119,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,83,-0.02826,50.6,0.3506,0.4046,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,86,-0.00118,55.8,0.0425,0.09107,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,86,-0.74052,66.3,0.001085,0.01467,*
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,86,-0.57769,62.8,0.004366,0.02183,*
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,86,-0.03461,59.3,0.1739,0.2269,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,86,0.01354,46.5,0.6119,0.6119,ns
