unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00177,54.5,0.2687,0.4751,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.41148,59.1,0.2375,0.4751,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.7106,68.2,0.02571,0.4494,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.00315,50,0.5388,0.5773,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01757,54.5,0.5388,0.5773,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-0.00014,53.5,0.5024,0.5773,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.01071,51.2,0.4069,0.5087,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.67949,58.1,0.181,0.4751,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.02064,60.5,0.05481,0.4494,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-0.01062,55.8,0.2007,0.4751,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.0032,63.6,0.1348,0.4494,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.33538,54.5,0.3131,0.4751,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.55377,63.6,0.1212,0.4494,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.00315,50,0.4483,0.538,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.01757,54.5,0.3484,0.4751,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00113,48.8,0.679,0.679,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.1022,53.5,0.321,0.4751,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.67965,60.5,0.07623,0.4494,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,-0.02064,60.5,0.09713,0.4494,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,-0.01062,55.8,0.275,0.4751,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00188,59.1,0.2179,0.4751,ns
