response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0356,0.0418,1.11,47.3,0.8504,0.8522, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0339,0.0389,-1.76,51.6,0.4558,0.5581, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0336,0.0336,1.89,46.2,0.8522,0.8522, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0367,0.0358,1.06,46.2,0.8261,0.8522, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.036,0.0385,0.99,44.1,0.7438,0.8115, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0345,0.0391,2.54,47.3,0.5183,0.6098, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0353,0.0334,2.04,45.2,0.8191,0.8522, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0354,0.0345,0.39,49.5,0.6478,0.7333, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0271,0.0262,0.22,48.4,0.3781,0.48, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0279,0.0287,0.92,49.5,0.5092,0.6098, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0268,0.0278,1.29,44.1,0.813,0.8522, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0279,0.027,-1.46,54.8,0.1094,0.1875, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.1002,5.5066,-4.86,59.1,0.006949,0.02532,*
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.8895,5.2301,-3.99,55.9,0.01287,0.03752,*
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.3841,5.0961,-4.7,62.4,0.009813,0.03271,*
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.325,5.2504,-6.82,64.5,0.002578,0.0119,*
GPPsat,Anomaly / 24m,C vs C+D,93,5.887,5.4687,-8.94,65.6,0.0006617,0.004841,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.2902,5.3868,-8.16,65.6,0.0009937,0.005962,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,5.7867,5.1412,-4.82,59.1,0.01657,0.04143,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.717,5.2651,-3.54,60.2,0.0277,0.06391, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.5286,3.7323,-1.75,55.9,0.116,0.188, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.4674,3.6234,-1.14,51.6,0.1341,0.2011, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.7337,3.6666,-2.58,52.7,0.187,0.2672, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.6937,3.7624,0.81,48.4,0.5775,0.6663, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.3498,4.491,-11.11,65.6,0.0004002,0.004002,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.4451,4.3457,-12.73,63.4,0.0004918,0.004216,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.5021,4.9164,-12.07,65.6,1.506e-05,0.0003011,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.5455,4.8612,-9.87,72,2.563e-06,0.0001165,***
NEPmax,Anomaly / 24m,C vs C+D,93,5.012,4.4618,-17.46,62.4,0.0007261,0.004841,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,4.9487,4.3671,-14.14,64.5,0.000149,0.001788,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.32,4.6732,-9.93,65.6,2.209e-05,0.0003313,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.342,4.6903,-12.53,71,3.884e-06,0.0001165,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,2.8659,2.7872,-3.14,58.1,0.09699,0.1712, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,2.8978,2.8208,-0.94,53.8,0.384,0.48, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,3.003,2.9269,-7.84,60.2,0.01565,0.04081,*
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.0718,2.9638,-0.15,51.6,0.2217,0.3094, ns
WUE,Anomaly / 12m,C vs C+D,93,0.7348,0.6678,-7.16,62.4,0.003185,0.01365,*
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7549,0.6714,-5.69,59.1,0.007175,0.02532,*
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.7472,0.7324,-2.22,55.9,0.13,0.2, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7578,0.7101,-5.79,57,0.01963,0.04712,*
WUE,Anomaly / 24m,C vs C+D,93,0.7672,0.6822,-4.57,57,0.04165,0.08329, ns
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.7905,0.6854,-4.92,59.1,0.03156,0.06758, ns
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.7225,0.7477,-4.8,55.9,0.05854,0.1133, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7642,0.6927,-2.75,57,0.06957,0.1304, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.5182,0.4959,-5.56,66.7,0.002401,0.0119,*
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.5328,0.4903,-3.23,57,0.03183,0.06758, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.4988,0.4968,-0.13,50.5,0.1205,0.1903, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.5188,0.5046,-0.67,52.7,0.2789,0.3637, ns
uWUE,Anomaly / 12m,C vs C+D,93,0.7451,0.6966,-8.81,63.4,0.001159,0.006322,**
uWUE,Anomaly / 12m,C+M vs C+M+D,93,0.7253,0.7209,-5.64,58.1,0.01237,0.03752,*
uWUE,Anomaly / 12m,C+T vs C+T+D,93,0.7183,0.6939,-3.06,54.8,0.03266,0.06758, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7468,0.6976,-4.04,55.9,0.01313,0.03752,*
uWUE,Anomaly / 24m,C vs C+D,93,0.7476,0.6762,-4.52,55.9,0.1152,0.188, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,93,0.7525,0.6964,-5.76,61.3,0.01393,0.03798,*
uWUE,Anomaly / 24m,C+T vs C+T+D,93,0.7209,0.6884,-5.46,63.4,0.004486,0.01794,*
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.6836,0.6972,-1.92,53.8,0.1487,0.2176, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,93,0.4794,0.4696,-1.2,52.7,0.2649,0.3565, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.5108,0.4863,-1.61,59.1,0.07538,0.1371, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,93,0.4678,0.4527,-1.08,51.6,0.2674,0.3565, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.465,0.4707,0.43,48.4,0.7121,0.7912, ns
