unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,0.00103,45.2,0.8436,0.9038,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.07478,51.6,0.1384,0.1832,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.56865,61.3,0.02229,0.1066,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.09225,61.3,0.09965,0.1546,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04877,64.5,0.05089,0.109,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,0.00063,45.2,0.8821,0.9231,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.69085,67.7,0.03494,0.1066,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-0.8212,71,0.02679,0.1066,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.00196,54.8,0.09965,0.1546,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.07037,61.3,0.05734,0.1173,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00022,51.6,0.4493,0.5184,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.29261,58.1,0.08661,0.1546,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-0.59442,64.5,0.03648,0.1066,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.06373,71,0.01374,0.1066,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.0402,64.5,0.01674,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00189,41.9,0.9531,0.9747,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.2377,61.3,0.0432,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.56865,64.5,0.008633,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.02142,58.1,0.1141,0.1656,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.10381,74.2,0.02679,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-4e-05,51.6,0.3585,0.4245,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.79106,58.1,0.1472,0.1893,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.72839,67.7,0.05089,0.109,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.13691,67.7,0.006235,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.03286,58.1,0.03972,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,0.00014,48.4,0.6561,0.7381,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.29261,58.1,0.08355,0.1546,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.59442,64.5,0.0432,0.1066,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.05168,61.3,0.166,0.2019,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.0402,58.1,0.07488,0.1465,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00277,35.5,0.9833,0.9833,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.07478,54.8,0.1384,0.1832,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.56865,61.3,0.02029,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.00994,54.8,0.1612,0.2015,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.04877,67.7,0.04503,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00209,61.3,0.1218,0.1713,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.58298,61.3,0.03346,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.6354,71,0.01307,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.13188,67.7,0.006959,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.04421,61.3,0.02802,0.1066,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,0.00032,45.2,0.8137,0.8931,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.43191,61.3,0.1031,0.1547,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-0.62105,64.5,0.09296,0.1546,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.0539,64.5,0.09965,0.1546,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,31,-0.06066,61.3,0.04143,0.1066,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,35,0.00189,37.1,0.9518,0.974,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,35,-0.15026,54.3,0.1345,0.2046,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,35,-0.56865,62.9,0.04987,0.1064,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,35,-0.09225,62.9,0.03151,0.07878,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,35,-0.07037,65.7,0.02926,0.07878,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,53,-0.00061,56.6,0.3069,0.3836,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,53,-0.64534,66,0.005965,0.02991,*
