response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0374,0.0376,-7.2,54.5,0.01722,0.06077, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0362,0.0381,-4.16,55.4,0.04064,0.106, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0343,0.0331,1.11,45.5,0.4326,0.5522, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0336,0.0328,0.02,50,0.4821,0.5753, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0365,0.0362,-1.68,57.1,0.04377,0.1077, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0369,0.0377,-1.09,52.7,0.05154,0.1145, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0337,0.0329,-2.56,57.1,0.07515,0.1427, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0337,0.0333,0.04,50,0.3001,0.4093, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.027,0.0262,-2.87,58.9,0.02871,0.0783, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0256,0.026,-2.13,53.6,0.4705,0.5753, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.025,0.0247,-0.5,50.9,0.2526,0.3609, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0258,0.026,-1.92,57.1,0.1497,0.219, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.7992,4.9657,-19.35,74.1,2.172e-06,4.344e-05,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.8404,5.1415,-15.74,71.4,1.425e-06,4.344e-05,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.2086,4.6481,-11.53,67.9,4.74e-06,4.74e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.181,4.554,-15.53,67,6.194e-06,4.899e-05,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.5191,5.0887,-14.26,68.8,1.552e-06,4.344e-05,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.4086,5.2096,-16.91,67.9,4.085e-06,4.74e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.4242,4.717,-11.99,66.1,2.363e-05,0.0001182,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.4394,4.5315,-11.62,67,6.167e-05,0.0002313,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.4463,3.4654,-0.9,52.7,0.489,0.5753, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.4346,3.3346,-1.79,55.4,0.2862,0.3993, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.1588,3.2037,-0.07,50.9,0.6562,0.6907, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2221,3.2681,0.37,49.1,0.5353,0.6152, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.9779,4.4488,-17.1,66.1,1.075e-05,7.166e-05,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.9207,4.5381,-17.3,67.9,3.923e-06,4.74e-05,***
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.5503,4.4377,-14.36,67.9,2.034e-05,0.0001182,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.4867,4.4288,-14.88,67,2.61e-05,0.0001205,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.506,4.5083,-15.75,64.3,2.221e-05,0.0001182,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.6257,4.3766,-18.48,66.1,6.532e-06,4.899e-05,***
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.4928,4.278,-12.87,65.2,3.027e-05,0.0001297,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.6338,4.3221,-11.19,66.1,4.107e-05,0.0001643,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,3.0425,2.7587,-3.16,52.7,0.05436,0.1165, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,2.9536,3.0305,-3.57,55.4,0.1073,0.1609, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.6004,2.6376,-0.37,50.9,0.4636,0.5753, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.6479,2.7329,-0.73,51.8,0.3438,0.4584, ns
WUE,Anomaly / 12m,C vs C+D,112,0.728,0.7145,-5.95,59.8,0.02159,0.06612, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7276,0.7237,-5.54,57.1,0.02686,0.07674, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7327,0.7152,-4.96,58.9,0.07639,0.1427, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7256,0.7171,-3.64,51.8,0.09946,0.1546, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7738,0.7435,-7.34,58,0.02204,0.06612, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7705,0.728,-5.33,58.9,0.01943,0.06478, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.7575,0.7342,-4.34,55.4,0.07849,0.1427, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7693,0.7499,-2.54,52.7,0.09895,0.1546, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4841,0.5048,0.89,46.4,0.8093,0.823, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4867,0.5138,0.01,50,0.6887,0.7124, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4597,0.4741,2.57,41.1,0.8647,0.8647, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4579,0.4758,0.01,50,0.5525,0.6152, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.6722,0.675,-1.25,52.7,0.08239,0.1454, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.6761,0.6676,-1.28,50.9,0.0911,0.1526, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.7076,0.6956,-1.5,52.7,0.07271,0.1427, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.706,0.6883,-2.09,55.4,0.1005,0.1546, ns
uWUE,Anomaly / 24m,C vs C+D,112,0.6592,0.6827,-4.6,56.2,0.04973,0.1145, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.656,0.6789,-5.22,53.6,0.05899,0.122, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,112,0.7114,0.7068,-1.15,51.8,0.09158,0.1526, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.705,0.6788,-2.73,53.6,0.04486,0.1077, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4285,0.448,-1.41,55.4,0.3908,0.5097, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4287,0.4554,-0.39,50.9,0.5537,0.6152, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,112,0.3975,0.4228,-0.12,50.9,0.6291,0.674, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4156,0.4136,0.12,49.1,0.5686,0.6203, ns
