unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-2e-05,51.4,0.1787,0.2298,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.80601,73,0.005393,0.02206,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.29913,62.2,0.002883,0.01442,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05715,62.2,0.08969,0.1382,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.00788,45.9,0.44,0.4715,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00274,56.8,0.0803,0.1376,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.20483,75.7,0.008571,0.02724,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.82946,64.9,0.04851,0.09922,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.01671,56.8,0.1748,0.2298,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,0.02665,43.2,0.3254,0.3584,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.0028,55.3,0.09107,0.1382,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.91863,73.7,0.001698,0.01442,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-1.16644,71.1,0.002238,0.01442,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.0799,60.5,0.09591,0.1392,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.04223,68.4,0.03607,0.07728,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00274,59.5,0.08258,0.1376,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.93741,73,0.002883,0.01442,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.14574,64.9,0.001408,0.01442,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03375,51.4,0.08258,0.1376,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.00788,45.9,0.2884,0.3415,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-2e-05,51.4,0.09216,0.1382,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.52352,78.4,0.002753,0.01442,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-1.22861,64.9,0.009684,0.02724,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.07644,73,0.008571,0.02724,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,37,-0.08125,67.6,0.0167,0.04176,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,38,-0.0028,52.6,0.2298,0.2872,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,38,-0.88726,71.1,0.01276,0.03378,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,38,-0.89866,68.4,0.01774,0.04202,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,38,-0.01585,55.3,0.7042,0.7202,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,38,0.01952,44.7,0.7383,0.7383,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00274,59.5,0.07808,0.1376,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.8302,70.3,0.004332,0.0195,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.14574,64.9,0.001886,0.01442,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,0.01875,48.6,0.1787,0.2298,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.00788,45.9,0.2731,0.3322,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,37,-0.00663,62.2,0.008929,0.02724,*
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,37,-1.48525,81.1,0.0009425,0.01442,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,37,-1.49759,70.3,0.001713,0.01442,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,37,-0.0681,70.3,0.0093,0.02724,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,37,-0.03081,59.5,0.09986,0.1404,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,38,0.00176,42.1,0.603,0.631,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,38,-0.56226,71.1,0.01973,0.0444,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,38,-0.55627,63.2,0.07763,0.1376,ns
