unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00197,40.9,0.5772,0.7421,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.45487,54.5,0.2085,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.71441,63.6,0.07658,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.0322,40.9,0.8506,0.8506,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01302,54.5,0.5645,0.7421,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-0.00068,57.1,0.3383,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.22705,61.9,0.3011,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.33541,52.4,0.3772,0.6287,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.04413,61.9,0.3011,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.02354,42.9,0.6489,0.8111,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,-0.00116,63.6,0.2179,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.23076,31.8,0.7205,0.8506,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.62939,63.6,0.2581,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,-0.00453,50,0.2795,0.603,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.0141,54.5,0.09158,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00059,45.5,0.3247,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.16937,50,0.3247,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.71441,59.1,0.1571,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.01041,45.5,0.7821,0.8506,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02862,63.6,0.3484,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00076,47.6,0.8348,0.8506,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,-0.01765,52.4,0.6989,0.8501,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.03672,52.4,0.5139,0.7007,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.0427,61.9,0.174,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.02354,38.1,0.7565,0.8506,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-0.00171,68.2,0.09158,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,0.11437,45.5,0.1904,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.77452,68.2,0.07201,0.603,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.00839,45.5,0.4871,0.7007,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,-0.00018,50,0.2375,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00059,45.5,0.3247,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.16937,50,0.3017,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.40592,54.5,0.2375,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,0.01041,45.5,0.7625,0.8506,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02862,63.6,0.4355,0.6999,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,21,0.00076,47.6,0.8169,0.8506,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,21,-0.22705,57.1,0.5,0.7007,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,21,-0.64817,66.7,0.1187,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,21,-0.0427,61.9,0.212,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,21,0.02354,33.3,0.8076,0.8506,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,22,-0.00139,68.2,0.1027,0.603,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,22,0.16638,40.9,0.4612,0.7007,ns
