unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00106,61.3,0.3086,0.3754,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,0.14531,48.4,0.1811,0.262,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.78409,64.5,0.01757,0.07758,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02946,54.8,0.1299,0.2088,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.00635,54.8,0.1863,0.262,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,-0.00017,54.8,0.4649,0.5188,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-1.22343,77.4,0.002177,0.06637,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-1.06665,67.7,0.03648,0.08836,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.04782,58.1,0.1031,0.1778,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.01926,54.8,0.295,0.3687,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00118,61.3,0.3368,0.3988,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.45406,61.3,0.02679,0.07758,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-1.01733,64.5,0.01122,0.07758,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.09282,58.1,0.02127,0.07758,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.06239,54.8,0.04143,0.08836,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00135,58.1,0.5351,0.5682,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.81306,67.7,0.01757,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.97893,67.7,0.01518,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.02946,54.8,0.2433,0.3128,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.00635,54.8,0.2253,0.306,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,-0.00106,61.3,0.07488,0.1457,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.08587,51.6,0.08974,0.1615,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-1.06665,64.5,0.02931,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.1367,61.3,0.01518,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,-0.03007,54.8,0.2312,0.306,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.00055,58.1,0.5429,0.5682,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.63161,67.7,0.02029,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.96803,64.5,0.01065,0.07758,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.02146,54.8,0.176,0.262,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.05954,54.8,0.07769,0.1457,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,-0.00026,54.8,0.6488,0.6561,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.81306,61.3,0.0432,0.08836,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.97893,64.5,0.02679,0.07758,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.02059,45.2,0.4727,0.5188,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,0.0033,48.4,0.4032,0.4653,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00309,71,0.02335,0.07758,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.1742,58.1,0.01844,0.07758,ns
