response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0374,0.0365,-7.48,60.7,0.004035,0.01424,*
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0372,0.0383,-6.46,63.4,0.007342,0.02447,*
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0313,0.0322,1.71,48.2,0.4728,0.5562, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0329,0.0319,-0.37,52.7,0.3698,0.4721, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0389,0.037,-1.21,53.6,0.04884,0.1395, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0391,0.0382,-2.79,56.2,0.06106,0.1665, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0339,0.0321,-1.21,52.7,0.2282,0.3913, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0339,0.0328,-0.8,52.7,0.2793,0.4337, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0276,0.0255,-2.76,58,0.03698,0.1168, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0269,0.0269,0.62,46.4,0.8254,0.8321, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.025,0.0248,-0.33,51.8,0.2891,0.4337, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0248,0.0254,0.56,47.3,0.7049,0.7595, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.9089,5.0171,-19.15,67,1.58e-05,6.32e-05,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,6.1131,5.0548,-21.2,67.9,2.495e-06,2.897e-05,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.0664,4.2914,-14,69.6,3.197e-06,2.897e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.161,4.3771,-16.72,65.2,6.112e-06,2.897e-05,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.992,5.1337,-17.5,69.6,3.197e-06,2.897e-05,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.9436,4.96,-17.25,68.8,5.277e-06,2.897e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,4.9222,4.6321,-11.78,68.8,4.141e-06,2.897e-05,***
