unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00336,62.2,0.05005,0.09384,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-1.05589,62.2,0.04138,0.08631,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-1.09731,67.6,0.001979,0.01747,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.083,59.5,0.1321,0.1918,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.0202,54.1,0.2164,0.2782,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,-0.00239,67.6,0.0657,0.1137,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-1.16295,67.6,0.01734,0.0459,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-1.25878,62.2,0.01609,0.0459,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.01223,51.4,0.1634,0.2298,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.0235,59.5,0.09724,0.1563,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00225,52.6,0.06954,0.1159,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-1.11863,71.1,0.0004974,0.008854,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-1.06978,71.1,0.003201,0.01747,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.0948,65.8,0.2001,0.2649,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,-0.00233,52.6,0.5634,0.5762,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00431,62.2,0.06193,0.1115,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.3982,62.2,0.01734,0.0459,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-1.25878,70.3,0.0005902,0.008854,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01574,54.1,0.2832,0.3354,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.02006,51.4,0.2781,0.3354,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,37,-0.00292,62.2,0.03752,0.08443,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,37,-1.14926,70.3,0.006134,0.02509,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,37,-1.07758,70.3,0.003963,0.01783,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,37,-0.11132,70.3,0.01092,0.0378,*
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,37,-0.04718,62.2,0.03285,0.07779,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,38,-0.00161,57.9,0.1035,0.1606,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,38,-0.97746,68.4,0.003494,0.01747,*
