response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0376,0.0383,1.42,47.7,0.6379,0.8321, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0361,0.037,2.47,46.2,0.8639,0.9256, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0351,0.0365,0.89,47.7,0.8916,0.9356, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0322,0.0348,2.15,44.6,0.9109,0.9356, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.04,0.0391,0.06,49.2,0.6645,0.8483, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0387,0.0394,0.56,47.7,0.6949,0.8686, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0344,0.0355,-0.08,50.8,0.793,0.9256, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0337,0.0362,-0.91,56.9,0.7758,0.9256, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0258,0.0275,2.2,40,0.7986,0.9256, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0261,0.0255,-0.01,50.8,0.593,0.8155, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0264,0.0255,-0.69,53.8,0.6281,0.8321, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0255,0.0258,4.78,41.5,0.9446,0.9446, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.0783,5.0874,-4.37,56.9,0.1942,0.5775, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.234,5.1567,-2.92,53.8,0.2695,0.5775, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.2889,5.0239,-2.54,52.3,0.3427,0.6539, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.1805,4.9577,-2,55.4,0.2983,0.6171, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.2477,5.1323,1.75,47.7,0.3894,0.6675, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.3359,5.1773,-2.94,55.4,0.1871,0.5775, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1631,5.3076,-2.64,50.8,0.2504,0.5775, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.0904,5.0361,0.19,49.2,0.2652,0.5775, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.9077,4.0214,0.69,46.2,0.8551,0.9256, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.7868,3.849,0.84,47.7,0.92,0.9356, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.6854,3.7581,0.75,43.1,0.8397,0.9256, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.6494,3.695,-0.72,52.3,0.5879,0.8155, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.5254,5.0096,-2.82,55.4,0.2525,0.5775, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.9182,4.7271,-5.79,53.8,0.1405,0.5775, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.4002,4.2033,-5.53,58.5,0.06985,0.4918, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.4608,4.3303,-10.22,66.2,0.008842,0.4733, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.7326,4.6421,-3.15,58.5,0.1717,0.5775, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.8545,4.7424,-4.26,55.4,0.2402,0.5775, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.5241,4.1585,-5.7,58.5,0.05689,0.4876, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.3369,4.2722,-5.95,67.7,0.03828,0.4876, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.2587,3.2618,-0.11,50.8,0.2262,0.5775, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.2453,3.2067,-2.46,53.8,0.1906,0.5775, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.3873,3.3307,0.41,49.2,0.2463,0.5775, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.2591,3.0976,-2.37,60,0.01578,0.4733, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6564,0.6877,0.7,49.2,0.513,0.7508, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6889,0.6682,1.06,47.7,0.4948,0.7508, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6762,0.6842,0.73,47.7,0.5026,0.7508, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6921,0.7009,-1.13,53.8,0.3596,0.6539, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6649,0.6831,-3.32,60,0.08197,0.4918, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6879,0.6835,-1.36,55.4,0.0322,0.4876, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.7026,0.6729,-3.21,60,0.04224,0.4876, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6645,0.6572,-1.3,56.9,0.1108,0.5775, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4944,0.5116,-1.3,60,0.2184,0.5775, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.512,0.5001,-1.09,52.3,0.1684,0.5775, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4776,0.5011,-2.27,61.5,0.05185,0.4876, ns
