unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00199,45.5,0.7821,0.7821,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.34895,59.1,0.2687,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.08687,54.5,0.3365,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.00506,50,0.7205,0.7454,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.02055,54.5,0.2687,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,0.00044,48.8,0.4353,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,-0.17491,55.8,0.2831,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.30686,55.8,0.3563,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,0.00291,48.8,0.3341,0.6721,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,0.01174,46.5,0.5552,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00073,50,0.6273,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.30139,63.6,0.2687,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.08687,54.5,0.4355,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.00515,54.5,0.4871,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.0075,45.5,0.4483,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00089,46.5,0.5884,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,-0.08992,53.5,0.2955,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.30686,55.8,0.2437,0.6721,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,0.0062,46.5,0.5361,0.6721,ns
