unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00072,51.6,0.2312,0.2775,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.20537,54.8,0.2194,0.2743,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.90581,71,0.02335,0.06368,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,0.02596,48.4,0.3156,0.3641,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.07186,58.1,0.05963,0.1247,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.002,59.7,0.1614,0.2201,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.68713,64.5,0.00151,0.01185,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.88476,64.5,0.00158,0.01185,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.03844,59.7,0.03012,0.07531,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.0249,51.6,0.09027,0.16,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,-0.00043,51.6,0.3957,0.4396,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.43361,61.3,0.1067,0.16,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.91211,67.7,0.01844,0.05533,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,0.03163,45.2,0.5892,0.5892,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.06505,58.1,0.09626,0.16,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00324,59.7,0.1047,0.16,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.54896,61.3,0.004939,0.02469,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.86204,66.1,0.001476,0.01185,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,62,-0.04424,61.3,0.01336,0.05011,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,62,-0.0249,51.6,0.06234,0.1247,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00057,48.4,0.4883,0.5232,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.59702,58.1,0.1218,0.174,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-1.14966,64.5,0.01844,0.05533,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,0.04775,41.9,0.5584,0.5777,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,-0.06505,54.8,0.1709,0.223,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,62,-0.00324,61.3,0.09611,0.16,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,62,-0.45232,62.9,0.003779,0.02267,*
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,62,-0.86204,67.7,0.001228,0.01185,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,62,-0.04556,62.9,0.008247,0.03535,*
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,62,-0.03838,53.2,0.03922,0.09051,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,88,-0.00183,58,0.08848,0.118,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,88,-0.58331,63.6,0.001269,0.006347,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,88,-0.90896,67,0.0001828,0.003656,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,88,-0.03844,58,0.01632,0.04662,*
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,88,-0.03872,54.5,0.02063,0.05158,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,0.00107,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,0.185,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,-0.54637,60,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.14373,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.01339,40,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,86,-0.002,58.1,0.08545,0.118,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,86,-0.54896,62.8,0.002668,0.00949,**
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,86,-0.90084,66.3,0.0004167,0.004167,**
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,86,-0.03326,57,0.02994,0.06653,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,86,-0.03838,53.5,0.03911,0.0711,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,0.00107,42.9,0.7229,0.7229,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.04625,42.9,0.3363,0.3737,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.91211,71.4,0.07539,0.116,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.03163,42.9,0.4663,0.4909,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.17178,57.1,0.1359,0.1599,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,88,-0.00183,56.8,0.09604,0.1201,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,88,-0.48096,61.4,0.002847,0.00949,**
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,88,-0.86204,64.8,0.0006829,0.004553,**
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,88,-0.02796,55.7,0.04992,0.0832,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,88,-0.03838,53.4,0.03902,0.0711,ns
