response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0363,0.0361,-2.59,56.2,0.06284,0.1571, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0356,0.0362,-2.11,54.5,0.1005,0.1945, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0345,0.0341,0.16,48.2,0.5191,0.6771, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0346,0.0332,0.55,48.2,0.6465,0.8254, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0328,0.0355,-1.22,56.2,0.1366,0.241, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0333,0.0354,-1.15,54.5,0.09845,0.1945, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0344,0.0336,0.6,46.4,0.4613,0.6447, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0338,0.0335,1.95,43.8,0.8421,0.9533, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0313,0.0332,2.94,44.6,0.9491,0.9885, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0308,0.0316,2.92,44.6,0.9848,0.9885, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.029,0.0305,1.12,45.5,0.8647,0.9554, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0292,0.031,2.8,41.1,0.9878,0.9885, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.7355,5.1455,-13.86,66.1,0.0001674,0.002348,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.7904,5.2007,-12.66,65.2,0.000187,0.002348,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,4.7872,4.8942,-6.93,63.4,0.0002406,0.002348,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.587,4.9431,-9.44,64.3,0.0003502,0.002488,**
GPPsat,Anomaly / 24m,C vs C+D,112,5.5971,5.4852,-12.57,66.1,0.0002181,0.002348,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.5558,5.4522,-11.3,65.2,0.000274,0.002348,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,4.9059,5.0182,-7.14,61.6,0.0003731,0.002488,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.8111,4.8822,-7.23,62.5,0.0002279,0.002348,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,4.6445,4.7332,-5.99,59.8,0.05631,0.1469, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,4.2236,4.4452,-5.05,60.7,0.02852,0.1007, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,4.4415,4.5581,-6.58,63.4,0.03148,0.1049, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.8069,4.2785,-2.48,57.1,0.04739,0.13, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.9574,4.7926,-12.39,62.5,0.0008207,0.003283,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.9389,4.8074,-13.57,61.6,0.0009061,0.003398,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.3593,4.4738,-12.22,64.3,0.0001809,0.002348,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.2651,4.5962,-9.67,66.1,0.0004946,0.002967,**
NEPmax,Anomaly / 24m,C vs C+D,112,4.6804,4.6622,-11.54,65.2,0.0007281,0.003283,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.6335,4.5415,-11.33,62.5,0.0007887,0.003283,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.2619,4.3231,-9.18,62.5,0.0005828,0.003066,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.3767,4.3508,-7.76,63.4,0.0006133,0.003066,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,4.0354,4.1894,-4.13,55.4,0.08736,0.1872, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.6817,4.0963,-3.81,59.8,0.04767,0.13, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,3.7355,3.8938,-3.32,60.7,0.03988,0.1197, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.4367,3.7172,-3.3,58,0.03425,0.1082, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7009,0.7064,-4.17,55.4,0.07681,0.1772, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7011,0.6917,-2.53,56.2,0.06688,0.1605, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7258,0.7142,-2.69,55.4,0.11,0.2062, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.722,0.7091,-2.69,55.4,0.08152,0.1811, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7354,0.7026,-2.58,53.6,0.1531,0.2624, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7126,0.7117,-1.44,53.6,0.1636,0.2727, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.7419,0.7146,-2.83,54.5,0.09595,0.1945, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7287,0.7265,-2.56,54.5,0.1201,0.2184, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.6035,0.5782,2.6,47.3,0.814,0.9533, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.6324,0.6109,1.92,46.4,0.7437,0.8924, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.6114,0.567,1.86,47.3,0.6615,0.8269, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.6153,0.5866,0.52,49.1,0.7275,0.8908, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.6597,0.665,-0.41,50,0.3975,0.6097, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.6461,0.6734,0.52,49.1,0.4065,0.6097, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.7297,0.658,1.38,47.3,0.4486,0.6447, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7151,0.6641,0.67,49.1,0.4647,0.6447, ns
uWUE,Anomaly / 24m,C vs C+D,112,0.685,0.6811,-0.35,50.9,0.4878,0.6505, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.6948,0.6716,-0.48,50.9,0.3819,0.603, ns
