response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0364,0.0382,-0.5,53.8,0.4428,0.6714, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0353,0.0393,0.77,47.7,0.3844,0.6489, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0372,0.035,0.15,49.2,0.5777,0.7454, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0366,0.0352,-0.13,50.8,0.6573,0.7733, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.036,0.0392,-0.87,50.8,0.4532,0.6714, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0362,0.0404,-0.21,53.8,0.3744,0.6489, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0372,0.0355,0.65,46.2,0.7369,0.8303, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0371,0.0364,-0.6,53.8,0.3769,0.6489, ns
ETmax,Raw-lag / 12m,C vs C+D,65,0.0364,0.0382,-0.5,53.8,0.4428,0.6714, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.033,0.0344,3.15,44.6,0.9668,0.975, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,65,0.0372,0.035,0.15,49.2,0.5777,0.7454, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0326,0.0314,0.87,43.1,0.9692,0.975, ns
ETmax,Raw-lag / 24m,C vs C+D,65,0.036,0.0392,-0.87,50.8,0.4532,0.6714, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0331,0.0355,0.07,49.2,0.6031,0.7659, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,65,0.0372,0.0355,0.65,46.2,0.7369,0.8303, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0327,0.034,0.66,47.7,0.7639,0.8488, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.6935,4.4624,-2.73,52.3,0.2089,0.5586, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.8136,4.5677,-0.73,52.3,0.1978,0.5586, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1287,4.3198,-0.43,52.3,0.139,0.5586, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0851,4.2247,-1.6,56.9,0.1001,0.4931, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.63,4.4481,-1.22,52.3,0.207,0.5586, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.7111,4.3311,-2.91,56.9,0.1464,0.5586, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1042,4.1036,-0.72,53.8,0.1048,0.4931, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.1135,4.1194,-0.86,55.4,0.196,0.5586, ns
GPPsat,Raw-lag / 12m,C vs C+D,65,4.6935,4.4624,-2.73,52.3,0.2089,0.5586, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,4.0425,4.1059,-1.77,52.3,0.6452,0.7733, ns
GPPsat,Raw-lag / 12m,C+T vs C+T+D,65,5.1287,4.3198,-0.43,52.3,0.139,0.5586, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,4.0347,3.9307,0.67,46.2,0.5494,0.736, ns
GPPsat,Raw-lag / 24m,C vs C+D,65,4.63,4.4481,-1.22,52.3,0.207,0.5586, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,4.1648,4.177,-2.07,52.3,0.3097,0.6194, ns
GPPsat,Raw-lag / 24m,C+T vs C+T+D,65,5.1042,4.1036,-0.72,53.8,0.1048,0.4931, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,4.2014,3.8918,-0.35,52.3,0.3355,0.6391, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4646,4.2528,-5.92,58.5,0.0584,0.3594, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4672,4.3472,-7.15,63.1,0.03721,0.2977, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.5638,4.5563,-6.92,67.7,0.008999,0.18, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.7256,4.6581,-4.63,61.5,0.03364,0.2977, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.4673,4.3285,-8.43,61.5,0.02574,0.2942, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.426,4.3425,-8.03,63.1,0.03668,0.2977, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.4608,4.3628,-4.18,66.2,0.004921,0.18, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.3206,4.5606,-4.83,64.6,0.01229,0.1966, ns
NEPmax,Raw-lag / 12m,C vs C+D,65,4.4646,4.2528,-5.92,58.5,0.0584,0.3594, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.728,3.6889,-1.72,55.4,0.1853,0.5586, ns
NEPmax,Raw-lag / 12m,C+T vs C+T+D,65,4.5638,4.5563,-6.92,67.7,0.008999,0.18, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.8154,3.8663,-3.12,56.9,0.1767,0.5586, ns
NEPmax,Raw-lag / 24m,C vs C+D,65,4.4673,4.3285,-8.43,61.5,0.02574,0.2942, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.9187,3.8356,-6.91,63.1,0.07342,0.4196, ns
NEPmax,Raw-lag / 24m,C+T vs C+T+D,65,4.4608,4.3628,-4.18,66.2,0.004921,0.18, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.5831,3.9091,-2.6,58.5,0.05764,0.3594, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6346,0.6291,0.39,47.7,0.3596,0.6489, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6236,0.6134,0.78,46.2,0.3894,0.6489, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6308,0.6392,0.02,49.2,0.2631,0.619, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6456,0.6366,-0.79,55.4,0.2422,0.6055, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6375,0.6258,-1.13,53.8,0.2165,0.5586, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6624,0.6352,-0.8,58.5,0.175,0.5586, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6508,0.6286,-1.17,56.9,0.3097,0.6194, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6436,0.6363,0.16,47.7,0.3355,0.6391, ns
WUE,Raw-lag / 12m,C vs C+D,65,0.6346,0.6291,0.39,47.7,0.3596,0.6489, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.5337,0.5429,1.98,36.9,0.8841,0.9307, ns
WUE,Raw-lag / 12m,C+T vs C+T+D,65,0.6308,0.6392,0.02,49.2,0.2631,0.619, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.5794,0.5745,0.61,44.6,0.6926,0.803, ns
WUE,Raw-lag / 24m,C vs C+D,65,0.6375,0.6258,-1.13,53.8,0.2165,0.5586, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.5455,0.5695,-0.32,55.4,0.4403,0.6714, ns
WUE,Raw-lag / 24m,C+T vs C+T+D,65,0.6508,0.6286,-1.17,56.9,0.3097,0.6194, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.5973,0.584,0.43,43.1,0.7777,0.8523, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5361,0.5753,-0.6,53.8,0.6404,0.7733, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.541,0.5719,0.26,49.2,0.5,0.7018, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.5516,0.5887,-0.5,53.8,0.5,0.7018, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5441,0.5632,-0.2,52.3,0.2893,0.6194, ns
