response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0347,0.0371,-2,54.5,0.07723,0.2432, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0356,0.0367,-0.95,54.5,0.06465,0.2282, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0334,0.0339,1.3,43.8,0.7109,0.7873, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0335,0.0344,0.43,49.1,0.6357,0.7335, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0327,0.0362,-0.32,50,0.1456,0.3121, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0321,0.0365,-1.72,53.6,0.1161,0.2593, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0333,0.0328,0.59,44.6,0.7069,0.7873, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0342,0.0328,0.58,45.5,0.6092,0.7335, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0275,0.0268,-0.37,53.6,0.2852,0.4889, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0281,0.0277,0.34,45.5,0.8085,0.8394, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0254,0.0252,-0.04,50.9,0.6247,0.7335, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0267,0.026,0.99,44.6,0.8906,0.8906, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.5312,5.4663,-12.49,69.6,8.66e-05,0.0004724,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.5818,5.4606,-12.9,68.8,9.721e-05,0.000486,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.2864,4.8296,-9.17,72.3,4.491e-06,7.303e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.3108,4.8045,-8.8,73.2,4.491e-06,7.303e-05,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.6038,5.5495,-11.82,69.6,5.412e-05,0.0003247,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.5971,5.5763,-12.14,69.6,4.861e-05,0.000324,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.3838,5.0144,-8.03,69.6,2.676e-05,0.0002007,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.3889,5.0253,-7.59,69.6,2.578e-05,0.0002007,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.431,3.3286,0.48,48.2,0.3364,0.5455, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.2165,3.128,0.11,50,0.4371,0.6086, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.1202,3.1436,0.64,45.5,0.5924,0.7335, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.0501,3.1476,0.57,46.4,0.628,0.7335, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.546,4.4962,-13.84,64.3,0.0002652,0.001084,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.5582,4.4907,-12.05,65.2,0.0002769,0.001084,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.7104,4.3422,-10.79,69.6,4.614e-06,7.303e-05,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.8486,4.3991,-10.35,69.6,4.869e-06,7.303e-05,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.5268,4.5281,-13.27,63.4,0.000254,0.001084,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.5666,4.5644,-14.6,63.4,0.0002891,0.001084,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.7474,4.3955,-8.75,67,2.086e-05,0.0002007,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.8513,4.3867,-9.1,69.6,9.439e-06,0.0001133,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.7691,2.742,-0.27,52.7,0.3227,0.5378, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,2.6336,2.6686,0.87,47.3,0.8254,0.8394, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.48,2.4279,-0.04,50,0.4463,0.6086, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.417,2.4139,0.54,46.4,0.7217,0.7873, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7079,0.7179,-3.66,56.2,0.1005,0.2593, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7043,0.7178,-3.34,58,0.09997,0.2593, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7344,0.7107,-3.26,55.4,0.08108,0.2432, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7358,0.7051,-4.2,58,0.08021,0.2432, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7502,0.7111,-3.63,56.2,0.1068,0.2593, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7495,0.7074,-3.42,58,0.1111,0.2593, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.762,0.7054,-4.14,55.4,0.1084,0.2593, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7749,0.7112,-3.74,55.4,0.1167,0.2593, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4382,0.4375,-1.24,56.2,0.1723,0.3566, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.438,0.4481,-0.34,52.7,0.489,0.6378, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4084,0.4111,-0.53,52.7,0.2128,0.4255, ns
